ParlaMint-NL_2015-01-20-tweedekamer-7.u1	I propose that we also vote this afternoon on the motion for a resolution Dik-Faber (31793, No. 72)................................................................................................................................................................................... At the request of the applicant, I propose that the 30-member debate on the letter on the consequences of the rejection of the Market Organisation Bill by the First Chamber be removed from the list. I also propose, at the request of the applicant, that the debate on the report that UWV is sending job seekers into the arms of crooks and the debate on the report that child allowances should not be reduced abroad be removed from the list. At the request of Mr Dik-Faber and Mr Geurts, I propose their motion (34000-XIII, No. 79), as last amended by Directive 79/7/EEC. This means that the two-month period provided for in Rule 69 (2) of the Rules of Procedure for this motion is to run again. I propose to add to the agenda: the VAO Future-oriented foundation education held on 15 January following a general consultation, with Mr Van Meenen of D66 as the first speaker; VAO Culture in the picture and BIS following a general consultation held on 15 January, with Mr Jasper van Dijk as the first speaker.
ParlaMint-NL_2015-01-20-tweedekamer-7.u2	Mr Van Dijk is standing by the microphone to say something. Mr. Van Dijk, go ahead.
ParlaMint-NL_2015-01-20-tweedekamer-7.u3	Mr. Chairman. I would like to add that, in view of the procedure with the request for an opinion from the Culture Council, it would be very nice if this VAO could be held this week and, more importantly, the votes will take place this week. That's my request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u4	In view of the urgency of the motion to be tabled, we are going to take care of it. I call Mr Van Dekken of the Labour Party.
ParlaMint-NL_2015-01-20-tweedekamer-7.u5	Mr. Chairman. On behalf of the Group of the Party of Labour, I would like to request a debate on an article in the Volkskrant last Saturday concerning one of the biggest dangers for football in the Netherlands, namely match fixing. Before that debate, I would very much like to receive a letter from the Minister for Security and Justice.
ParlaMint-NL_2015-01-20-tweedekamer-7.u6	You ask for support for a letter and a subsequent debate with the Minister of Security and Justice on match fixing.
ParlaMint-NL_2015-01-20-tweedekamer-7.u7	I support the request for a debate. I do have a few questions for that letter, but we can do that by procedure.
ParlaMint-NL_2015-01-20-tweedekamer-7.u8	I'll conclude that at the end.
ParlaMint-NL_2015-01-20-tweedekamer-7.u9	Through good research by the Volkskrant we now know what we suspected, namely that there is match fixing. I would like to support Mr Van Dekken's request for a debate, but I think we should also see whether we can do this sooner, in general consultation. It would be a shame if this had to wait six months before it could be scheduled.
ParlaMint-NL_2015-01-20-tweedekamer-7.u10	But basically support both requests.
ParlaMint-NL_2015-01-20-tweedekamer-7.u11	Support from D66 for the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u12	Support for the request. I also ask that we look at ways of dealing with this earlier. I have a question I would like to put with regard to that letter. What kind of light does that shed on the liberalisation of gambling?
ParlaMint-NL_2015-01-20-tweedekamer-7.u13	We will shortly, at the request of Mrs Bruins Slot, arrange an inventory for the questions, and then your question can be taken into account.
ParlaMint-NL_2015-01-20-tweedekamer-7.u14	Then this is a pre-announcement of that.
ParlaMint-NL_2015-01-20-tweedekamer-7.u15	There has also been a report, so we support a letter and a debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u16	Mr Van Dekken, you have broad support for holding a debate and also broad support for a letter. At the request of Mrs Bruins Slot, I will ask the committee clerk to take stock of the questions which should at least be addressed. I will pass on the stenogram of this part of the meeting to the cabinet. The speaking time for the debate is four minutes per group.
ParlaMint-NL_2015-01-20-tweedekamer-7.u17	Thank you very much.
ParlaMint-NL_2015-01-20-tweedekamer-7.u18	Thank you, too. I call Mr Klaver van GroenLinks.
ParlaMint-NL_2015-01-20-tweedekamer-7.u19	Mr. Chairman. I would like to request a debate with the Secretary of State for Finance, but also with the Minister for Foreign Trade and Development Cooperation, about the report in the Volkskrant that the wealth gap is growing in the Netherlands, but actually throughout the world. I would like to receive a letter from the Cabinet which responds to this message, and specifically to the report that OXFAM Novib has issued on this subject.
ParlaMint-NL_2015-01-20-tweedekamer-7.u20	The request is for support for a letter and for subsequent debate on the growing capital gap in the Netherlands. Who can I give the floor to?
ParlaMint-NL_2015-01-20-tweedekamer-7.u21	Support for the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u22	I still don't see a lot of enthusiasm. I'm just gonna take a look at the PvdA's colleagues. In general, they like to talk about these kinds of topics. If it isn't, I'd like to hear it.
ParlaMint-NL_2015-01-20-tweedekamer-7.u23	I'm not from the PvdA, but let me just say something. We had an AO on income and wealth last week. I think it's okay if we get a letter in which the cabinet responds to these kinds of messages. Then we can see which AO we can involve at a later date.
ParlaMint-NL_2015-01-20-tweedekamer-7.u24	You support the request for a letter and not that for a debate, because it has been discussed recently.
ParlaMint-NL_2015-01-20-tweedekamer-7.u25	We agree with that. It would be good if we had a letter to update the case one more time. But we talked about it last week and we come to talk about it a lot, so not for a while.
ParlaMint-NL_2015-01-20-tweedekamer-7.u26	At the moment, you do not support this debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u27	We support the request for the letter. We do not support a separate debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u28	We support the request for the letter. A good time to talk about it would be when we talk about the new tax system, because that is where I think it should end. There will undoubtedly be a number of debates on this subject. It is excellent if there is another letter in preparation.
ParlaMint-NL_2015-01-20-tweedekamer-7.u29	Mr Klaver, you have broad support for the request for a letter which responds to the reports you mentioned. At the moment, you have no support for a debate. However, I have heard the promise of the Chamber that it will be discussed at another time.
ParlaMint-NL_2015-01-20-tweedekamer-7.u30	That's what I heard. I'm looking forward to that. I would like to ask whether the letter can be sent to the Chamber within three weeks.
ParlaMint-NL_2015-01-20-tweedekamer-7.u31	I will pass on the stenogram of this part of the meeting to the cabinet. I give the floor to Mrs Van Tongeren van GroenLinks.
ParlaMint-NL_2015-01-20-tweedekamer-7.u32	Mr. Chairman. This week we have the treatment of the Wet tasks meteorology and seismology on the plenary agenda. I would like to request that this be postponed. The measurement of earthquakes is related to the gas file in Groningen. In the leaked version of the report of the Research Council for Security we have read that there are new insights about how this is connected. If the Chamber is to be able to judge properly on how to ensure these public tasks, I think it would be wise for us to have the final, real report from the Research Council before we have this debate. That's why I'm asking you to postpone the legal process.
ParlaMint-NL_2015-01-20-tweedekamer-7.u33	It's a bill that's on the agenda next Thursday morning. You need the support of the majority of the Chamber to take it off the agenda.
ParlaMint-NL_2015-01-20-tweedekamer-7.u34	The final report of the Research Council for Security is likely to come soon. It would therefore be better for the CDA Group to be involved in the handling of this law. There could actually be issues that need to be involved; I do not know the report at the moment. We therefore support the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u35	The request shall be made on behalf of D66. First let's have the overall picture clear. Then we also know for sure that we are making the right decision about the law and that we would not want to change things afterwards. We would therefore like to postpone the debate.
ParlaMint-NL_2015-01-20-tweedekamer-7.u36	The Christian Union also wants careful decision-making. This requires information. Let us indeed postpone the debate. I support the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u37	On behalf of the Group of the Party of European Socialists, I support the request, on the understanding that we cannot involve everything in the extraction of gas. A separate debate must therefore be held in due course.
ParlaMint-NL_2015-01-20-tweedekamer-7.u38	I have heard that it is being postponed until after that debate, because I cannot imagine that we are going to deal with a legislative proposal in the gas debate. That's what you're saying, Mr. Fox?
ParlaMint-NL_2015-01-20-tweedekamer-7.u39	That's exactly what I'm saying, yes, thank you.
ParlaMint-NL_2015-01-20-tweedekamer-7.u40	The PVV Group also supports the request for a postponement.
ParlaMint-NL_2015-01-20-tweedekamer-7.u41	The bill has been waiting for some time, but for the reasons given by Mrs Van Tongeren, we support the request.
ParlaMint-NL_2015-01-20-tweedekamer-7.u42	Mrs Van Tongeren, you have the support of the majority of the Chamber to postpone the debate. I'll see if I can schedule something else by Thursday morning. I would ask the Members who are here to pay close attention to whether this is perhaps a debate in their portfolio. I give the floor again to Mrs Van Tongeren for another request.
