ParlaMint-NL_2021-11-23-tweedekamer-17.u1	In this two-minute debate on building regulations, the first speaker is Mrs Beckerman, SP.
ParlaMint-NL_2021-11-23-tweedekamer-17.u2	Mr. Chairman. It's a housing crisis. This means not only that there are too few houses and that houses are too expensive, but also that too many houses are of poor quality. At least 80,000 social rentals have serious defects. Then the maintenance condition is moderate to very bad. In several cities, more than 30% of the social housing has mold. And so there are more problems. That's why I have a number of motions. The first is partly on behalf of Mr Koerhuis. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the quality of more than 80,000 social housing units in the Netherlands is seriously flawed;]] [[noting that many of the complaints that tenants have to do with moisture, draught and fungus in the home;]] [[Whereas every tenant must have the opportunity to have a well-maintained and healthy home;]] [[calls on the government to make the agreement with VNG and Aedes to make fungus and moisture problems standard part of performance agreements between municipalities, corporations and tenant organisations,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman and Mr Koerhuis.]] [[She's getting No. kst-28325-225]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u3	Then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Social and Cultural Planning Bureau indicates that the quality of the rental homes has not changed since 2008 and that the quality of living is highly dependent on income;]] [[Whereas everyone is entitled to a safe home;]] [[calls on the government to set up a nationwide rental house apk,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman.]] [[She's getting No. kst-28325-226]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u4	And then the third motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is a growing number of registered health complaints from residents after isolation with purfoam;]] [[Whereas the isolation of homes should never be at the expense of the health of residents;]] [[calls on the Government to maintain a minimum requirement of two hours in the case of purfoam insulation and to inform industry and other stakeholders,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman.]] [[She's getting No. kst-28325-227]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u5	And the last one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there is currently no legal limit value for isocyanates;]] [[Whereas staff working with purmaterials should be well protected;]] [[calls on the Government to carry out research in the evaluation of work practice and to propose to set this limit value and to add the results to the results of the evaluation of work practice,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Beckerman.]] [[She's getting No. kst-28325-228]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u6	Thank you.
ParlaMint-NL_2021-11-23-tweedekamer-17.u7	Thank you to Mrs Beckerman. Then Mr Koerhuis, VVD.
ParlaMint-NL_2021-11-23-tweedekamer-17.u8	Mr. Chairman. The FC Twente Stadium, the AZ Stadium and now the NEC Stadium in Nijmegen; the Minister has agreed to publish a directive on the safety of stadiums next year. This is taking way too long. The collapse of the AZ stadium was already three years ago. I have previously been promised the use of provincial supervision. The Minister hasn't done this yet. Will the Minister do this now? Or have provinces not enough capacity and does the minister want to go to a national authority for stadiums, as in England? As a result of a fire at the Grenfell Tower in 2017, 72 victims were killed. The Grenfell Tower is no exception; research shows that the fire-threatening facades were also widely used at corporation flats in Nijmegen. As a Chamber we have been asking for three years to make an inventory of the fire-dangerous facades in the Netherlands. However, 31% of municipalities had not completed the inventory this spring and 9% had not even started. This is taking way too long. I would like to be promised that before the end of the year the Chamber, we, will be given an overview of the municipalities that have not yet done so. Thank you, Mr. Chairman.
ParlaMint-NL_2021-11-23-tweedekamer-17.u9	Thank you to Mr Koerhuis. Mrs Bromet, GroenLinks.
ParlaMint-NL_2021-11-23-tweedekamer-17.u10	Mr. Chairman. We have actually had quite a lot of debate over the past few months about nature including construction and there is also support for it in the Chamber. A real measure would be to adapt the Building Decision to that, but as an intermediate step I have this motion for the bats, the vulture swarms and the house sparrows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas further urbanization has led to the disappearance of more and more living space for so-called building-dependent animals, e.g. bats, vultures and domestic sparrows;]] [[Whereas it is important to take into account, as far as possible, nature-inclusive standards in new buildings;]] [[calls on the Government to consider whether building-dependent animal housing can be required in the Building Decree,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bromet.]] [[She's getting No. kst-28325-229]]
ParlaMint-NL_2021-11-23-tweedekamer-17.u11	Mr. Chairman. Building-dependent animals, that's something new.
