ParlaMint-FR_2021-12-01-O1080.u1	The next item is the debate on the bill to combat school harassment (No. 4658, 4712).
ParlaMint-FR_2021-12-01-O1080.u2	Mr Erwan Balanant, rapporteur of the Committee on Cultural Affairs and Education, has the floor.
ParlaMint-FR_2021-12-01-O1080.u3	No less than 700000: this is the number of child victims, each year, of school harassment. They are all children who lose confidence in themselves, in their comrades, who lose confidence in the school institution and ultimately in society. This often translates into a school drop-out but also a social one. We cannot allow these children to stay away from the Republic because they have been harassed by a comrade or by an adult in the school. While the phenomenon is not new, it is now significantly exacerbated by the development of new information and communication technologies, which offer new opportunities and new ways of harassing. Social networks and messaging groups increase the ability of attackers to reach their victims. The group effects, which can be a powerful spring of school harassment, are also amplified by the particular modalities of cyber-harassment. With social media, harassment no longer has a time or place limit. He doesn't give our children any more respite. The phenomenon is even more evident with the health crisis and the increased use of digital tools as a means of communication between young people or an instrument of continuity of teaching. A number of recent reports, including the one I submitted to the Government in October 2020, the Senate's fact-finding mission on school harassment and cyber-harassment, and the Human Rights Defender, call for greater attention to school harassment in public policies. The law of 26 July 2019 for a school of trust gave for the first time a legislative expression to the awareness generated by school harassment. Article L. 511-3-1 of the Education Code now states: "No pupil shall be subjected, on the part of other pupils, to acts of harassment which have as their object or effect a deterioration in his or her learning conditions which may affect his or her rights and dignity or impair his or her physical or mental health. » But government action against school harassment is not limited to the adoption of laws. It focuses on the day-to-day work of the many stakeholders, as close as possible to the victims, witnesses and perpetrators of such acts. The actions undertaken over the past decade have been amplified and widespread for the past four years, and I thank you, Mr. Minister of Education. In order to complement and sustain the instruments of this struggle, it is essential to include its main objectives and modalities in the law. We must do our part, take our responsibility as legislators and define the legal framework that empowers public authorities. This text is not, as I have heard on the socialist benches, a law of emotion; It is the result of a long work of legal analysis and a political choice assumed. We must ensure better prevention of situations that undermine the confidence of children and young people in themselves, towards the school and university institution and ultimately towards society as a whole. For this reason, the main aim of this bill is to provide the entire educational community, including pupils, teachers, supervisory staff, social workers, nurses, psychologists and school doctors, parents of pupils, with the means to prevent situations of harassment in schools more effectively. Article 1e r thus has a twofold scope, symbolic and legal, particularly strong. First, it makes the right to education without harassment a component of the right to education and extends it to private and higher education. Even more so, it creates an obligation of resources for educational institutions. They will have to take all appropriate measures to combat moral harassment in schools and universities. These provisions will accompany the deployment in our schools of the programme to combat harassment at school – the PHARE programme – which has been widespread since the beginning of 2021 and which has been an undeniable success. Clarifications on the content of these measures were introduced during the examination of the text by the Committee on Cultural Affairs. It is thus stated that they will aim "to prevent the occurrence of situations of school harassment, to encourage their detection by the educational community in order to provide a rapid response and to direct victims and perpetrators... to the appropriate services. This deliberately broad formulation makes it possible to include both health services, law enforcement, justice and specialized associations. In committee, Article 2 was supplemented by a new paragraph designed to make the right to education without harassment effective in institutions without a contract of association with the State. There is no justification for not providing such protection to all children in the Republic. Section 3 will allow institutions to better prevent, detect and treat situations of school harassment. The formalization of the institution's response, which will involve doctors, nurses, social workers and psychologists working in the institutions, seems essential. Their harmonization at national level is also necessary in order to increase efficiency and generalise the positive initiatives that have shown their interest here and there. Article 3 will also make it possible to improve the care of victims and perpetrators of harassment by ensuring adequate training for all professionals who may encounter this type of situation: national education staff, such as sports, cultural and leisure entertainment staff, who are at the forefront of this fight against harassment, but also, more broadly, the entire medical and paramedical corps, social workers, magistrates and law enforcement officials. All may have to intervene, to varying degrees, in the treatment of situations of school harassment. As a result of the exchange that we had in committee, I will propose to extend continuing training to all professionals involved in educational institutions, in order to reach out to both community and higher education staff. In addition, article 3 now provides for information on the risks of school harassment and cyber-harassment to be provided to the parents of students. The aim is to empower parents in relation to their child's digital relationship. In this sense, Bill No. 4646 of the chairman of the Bruno Studer Commission, aimed at facilitating the use of parental control, is perfectly complementary to the action we wish to take through this bill. [[Mr. Jimmy Pahun applauds]] Taking note of the evolution of forms of harassment in the digital age, the draft law seeks, in Article 7, to strengthen the obligations imposed on Internet actors. Its provisions target in particular social networks: they aim to force the most popular platforms of young people to combat situations of school harassment by allowing them to be reported by users and by bringing them to the attention of the public authorities, thus putting them in front of their responsibilities.
ParlaMint-FR_2021-12-01-O1080.u4	That's right!
ParlaMint-FR_2021-12-01-O1080.u5	That is also the meaning of Article 4, the scope of which I would like to clarify. First of all, I would like to use the expressive function of the Penal Code to impose a clear prohibition, which could form the basis for educational preventive action. Today, although school harassment can be apprehended through the offence of moral harassment provided for in article 222-33-2-2 of the Criminal Code, the absence of an independent qualification deprives some of its effectiveness of any communication that might be made about it. The primary purpose of Article 4 is thus to make the contours of this social rule perfectly explicit. It also makes it possible to make the punishment of moral harassment in schools or universities more consistent with other forms of moral harassment already punishable by the Penal Code. While maximum sentences are theoretically aggravated, they are not intended to be automatically applied. As you know, our juvenile criminal justice system takes into account not only the minority but the overall situation of the young person. If we get to this point, everything else will have failed, which I do not wish. With regard to Article 6, I have heard requests from my colleagues to call otherwise the internship I had proposed in my report. I am in no way opposed to this: we will also propose a new name, probably more in line with its content. It is not a question of punishing, but of enabling the perpetrators to grasp the consequences of their actions. [[Applause on the benches of the Dem and LaREM groups]] We all share, as members of national representation, a particular responsibility in the fight against these forms of violence. For the violence of which so many students and students are now victims is not unrelated to the state of our fragmented society, whose internal conflicts are expressed in an ever more aggressive and acute way, including, sometimes, on our benches. Our school and our children are certainly the future of our country: let us not forget that they are also the mirror of it.
ParlaMint-FR_2021-12-01-O1080.u6	The next speaker is the Minister for National Education, Youth and Sport.
ParlaMint-FR_2021-12-01-O1080.u7	The issue of school harassment is not a marginal issue for the French school system, nor for any other school system. We must fight against harassment not only in the name of the well-being of children, but also one of our greatest values: fraternity. Combating harassment is therefore a way of asserting the principles of the Republic: it must be reminded to those who believe that this issue would be secondary. It is for this reason that I welcome the tabling of this bill by Erwan Balanant, which I thank for his commitment on the subject – the report he has drafted already inspires our action. This text should allow us to make another big step forward. We have done a lot since 2017, extending initiatives started in the early 2010s – which was already a little late compared to what was happening in other countries. Above all, we have sought to improve the feeling of well-being in school by raising the respect of others to the rank of fundamental knowledge – as well as reading, writing and counting, so that this notion of respect permeates the entire course of the student, from primary school to bachelor's degree – by combating all forms of discrimination and by offering students and families all social or educational solutions – such as boarding schools of excellence or free breakfasts – that guarantee optimal conditions for learning and success in school and out-of-school. Promoting the school of trust is therefore the issue with which the fight against school harassment is linked. We will never get used to the fact that the lives of children or adolescents are broken, sometimes irremediably, by this real scourge of everyday life. We will therefore relentlessly fight harassment at school, wherever it is practised, conscious of its evolution to different forms such as cyberharassment. The actions taken since 2017, some of which are based on foreign practices – I will come back – have helped to contain in part the development of physical harassment, but it is more difficult to stem online harassment, the rapid progress of which must alert us and lead us to redouble our efforts. This goes through legislation, but also through regulation and, above all, through daily action in our schools and institutions. The fight against school harassment is a priority of my ministry, as I think of the National Assembly. It also requires the mobilization of the entire society. As Mr Balanant has just said, harassment is a reflection of society, and it is for this reason that it is found in virtually every country in the world. It is thus interesting to analyse its anthropological and social causes, but also to examine the answers that have been given to it in different countries, because some, effective, must inspire us. Since 2018, we have been implementing a proactive and ambitious plan to combat harassment, structured around three key verbs: prevention, intervention and training. As far as prevention is concerned, we have strengthened the legal framework in force with Article 5 of the Law for a school of trust. We banned mobile phones in college as early as 2017, as this was one of the vectors on which we had to act. We have strengthened media and information literacy through the Education and Information Media Liaison Centre, CLEMI. On the subject of cyber-harassment, in addition to the Conseil Supérieur de l'audiovisuel, we have worked with the main social media platforms, of which I have recently met representatives: they are part of the problem and must be part of the solution. We organize prevention campaigns every year, usually in November, which lead me to visit institutions frequently and in which the First Lady herself participated. Each time, a new theme is addressed – the role of witnesses, group dynamics, primary school, cyber-harassment – all of which unfortunately correspond to the daily reality of our children. We have also strengthened the scientific expertise with the installation within the ministry of an expert committee of researchers and partners. We have created awards: the "No to Harassment" competition, in which hundreds of schools and institutions participate, has included since 2017 a special prize dedicated to the fight against cyberharassment, and for the past two years, another special prize concerns elementary school. In accordance with the law for a school of trust, we also organized the assessment of schools by the School Evaluation Board. The latter began its work a year and a half ago and must, in five years, appreciate the school climate of all schools in France – 20% per year. This obviously concerns the fight against harassment. We expect much from this approach, which must result in greater accountability for each institution in this regard. We have also extended the multi-victim surveys conducted by the Directorate of Public Policy Evaluation, DEPP, to first-degree schools. Finally, we have encouraged associations – which I would like to welcome and some of which are represented today in the forums – as well as other actors in the fight against harassment. In this area, it is also – and above all – civil society that we must mobilize. The second key verb is "intervention". In this respect, my reasoning is always the same: whether you are a student or an adult, no one in the school system should feel alone in the face of acts contrary to the law and our principles. A number of actions have been taken in this direction, and this bill will also allow us to go further. The Ministry funded the creation of a number, 3020, where professionals are listening to students and families to inform them about all existing tools and, above all, to propose solutions related to academies. There were also 337 harassment references and 31 academic lines, as well as a number dedicated to the fight against cyber-harassment, on 3018, in partnership with the e-Enfance association. These two telephone numbers, 3018 and 3020, have been quite successful. Another very important innovation is the creation of mobile teams capable of intervening in institutions whenever necessary. This is part of what we have called the "regalian square", that is, the four subjects for which specialists are placed with each rector. Third key verb: "form". We are following an ambitious plan for teacher training, whether it is initial training – in application of the law for the school of trust, a module dedicated to the fight against harassment is now included in the training of any future teacher in France – or continuing training: three national seminars and a seminar of managers have already taken place, and 15,000 contacts in the academies are being trained, at a rate of eight days per person. Adult education, which is essential, requires a certain degree of technicality and knowledge. However, this also implies a state of mind, which this training is intended to disseminate. It is also about the training of pupils, particularly the PHARE programme, mentioned by Mr Balanant and to which I shall return. It produces capillary effects, hence the appointment of student ambassadors for peer-to-peer awareness.
ParlaMint-FR_2021-12-01-O1080.u8	All right!
ParlaMint-FR_2021-12-01-O1080.u9	I will also quote the publication of resources and guides for staff, students and their families, listed on the "No Harassment" page of education.gouv.fr. This is obviously very important: to combat harassment, to better identify the phenomenon of harassers, we need complicity between the school and the families and that the latter are responsible. We have also strengthened international cooperation. In November 2019, France, on my initiative, organized with UNESCO the first international conference on the subject, which led to the joint publication of scientific recommendations for the fight against harassment and cyberharassment. As the phenomenon is global, it requires sharing good practices among different countries and, with regard to cyber-harassment, accountability for social media platforms. Similarly, in November 2021, France participated in the second conference, organized this time by Mexico. In this regard, we need communication with all societies around the world. It was also in connection with Morocco and Mexico that our country was at the initiative of the International Day against Violence and Harassment in Schools, now celebrated under the auspices of UNESCO. Finally, I would like to stress the importance of the PHARE programme: it is the first comprehensive programme to combat school harassment among pupils. Since the fall of 2021 and after a successful experiment in six academies, we are moving towards its generalization to all academies, i.e. to all schools and colleges in France. This programme is based on what is best done in the world – particularly in Scandinavian countries – including the Finnish KiVa programme. In concrete terms, the aim is to provide each school and institution with a plan of prevention and action to measure the quality of the school climate, to inform on harassment phenomena, to train a protective community of professionals, staff and students, to intervene effectively in harassment situations, to involve parents and partners and to communicate on the programme, to mobilise bodies of school democracy – the College Life Council (CVC), the High School Life Council (CVL), the Education Committee for Health, Citizenship and the Environment (CESCE) – and to assess the impact of these actions and to make available, through a dedicated platform, the resources available in this field. This programme will be effective if it stimulates the mobilization of the educational community – and this is the case: we already see the first significant effects on the school climate. I very much believe in the contagion of good practice in this matter. As we speak, there are schools and schools in France where there is no school harassment. It is possible, therefore, that the same may be true everywhere.
ParlaMint-FR_2021-12-01-O1080.u10	Exactly!
ParlaMint-FR_2021-12-01-O1080.u11	So we need to disseminate good practices based on both the legal provisions – which you are going to strengthen today – and the resources I have mentioned. In this respect, the utility of the Regalian square should not be underestimated. In each field, the rectorates have a dedicated team ready to intervene quickly, increasingly expanded by young people in civic service. The training of stakeholders, who in turn will train adults and students, will have an impact on practices. On this and other points, we will show that force is on the right side, on the Republic side. [[Applause on the benches of the LaREM and Dem groups]] This bill is therefore an opportunity to go further on the legislative front, of course, but also to step up the mobilization: our exchanges, the improvements we will make, I hope, to the rule of law, will help us to make progress. We will broaden the legal basis of school harassment, remind the importance of initial and continuing training, assign the platforms a duty of vigilance in this area. By proposing to legislate on such a matter, the nation's representatives send a message of great power. I am sure that our work and our exchanges will be rich and constructive. We have already come a long way and done much for equality and freedom. Let's do the same for fraternity.
