ParlaMint-NL_2019-11-28-tweedekamer-8.u1	We will continue with the discussion of the budget for external trade and development cooperation.
ParlaMint-NL_2019-11-28-tweedekamer-8.u2	I'll give the Minister the floor.
ParlaMint-NL_2019-11-28-tweedekamer-8.u3	Thank you, Madam President. I shall deal with any questions and motions by group and then proceed directly to the amendments. There are no questions from the PVV, but motions. The motion in part No. I do not recommend a penny for development cooperation anymore. The motion in part No. 27. There has been extensive debate in letters and discussions. Dissuade. The motion in part No. 28 goes against EU law. Trade policy is an exclusive competence of the European Union. We cannot deviate from the principle, but we always answer the phones of all the countries involved who call us to talk about trade. Then the VVD. Let's start with the questions. I need to correct myself about the shift. The commitment was to spend one third more in the focus regions at the end of the cabinet period. Baseline is 2017. That one third will be within reach by 2020 if it goes well. That is my correction; I did not quite explain that correctly. A question from Mr Weverling on the international migration agenda. Each year 147 million has been earmarked for that agenda from BuHa-OS. That's the budget. That's not just for return. It's about the whole migration story. The question of which countries is committed depends very much on the tailor-made approach. There is also money to facilitate return from countries in North and West Africa, the countries of origin. A well-known example is Libya. People who were detained in detention centres are helped to go home through IOM and UNHCR. What OS funding settles in China and Kazakhstan? For China, this is a direct funding of 2.3 million in the last year, and for Kazakhstan it is 0.6 million. That comes from human rights projects from the Foreign Affairs budget. This is for clarity. It gives the wrong picture if it looks like we're treating China as a developing country. That is absolutely not the case. It certainly doesn't go to the Chinese government, but to the civil society that is under a lot of pressure. I think that's an interest we share. Mr Weverling also asked whether the Minister could consider whether we could get knowledge and skills of the start-ups at the WEF. You already know, I'm not about the invitation policy. It's quite competitive, but I'll be talking again soon and I'll see if they can just bring startups in another way, in our case from the Netherlands. I'll ask, but I can't do more than that. Which countries have an earmarked contribution to the CERF? The Kingdom of Saudi Arabia: $1.2 billion. The United Arab Emirates: $1.96 billion. Kuwait: 309 million dollars. As I mentioned earlier, the amounts are of a very different order of magnitude than we have at the CERF. But that's the way it's supposed to be. They make the highest humanitarian contribution in relation to their gross national income. The CERF has 57 donors, 52 of which are states. A name-and-shaming list. I mentioned that a little bit. Next year there will be an overview of the actions taken, as requested in a motion by VVD, CDA and D66 when the JenV budget is discussed. You will find our contribution in that. Mr Weverling's final question was what comfort I can give to the adoption of the Wörsdörfer motion. Steps have been taken. It's a trial, and we're going through with it. I'll take a sharp look at it, too. We need a helpline for SME funding. That's an example. He's already here. We need to get the back office better. Trade & Innovate is also working on a better customer system, so that the entrepreneur does not have to go to two counters. And one export rule guide is arranged. There will be a bundling of financial instruments for international activities through Invest International. These are, of course, the process changes.
ParlaMint-NL_2019-11-28-tweedekamer-8.u4	Mr Weverling for a brief question.
ParlaMint-NL_2019-11-28-tweedekamer-8.u5	I would like to ask you about the previous answer on the refusal of nationals and everything behind them. This morning, Mrs Broekers-Knol said in an AO that in February or March she will present a first overview, a smart list. I assume that is why you are making your contribution. You were just talking about JenV's budget handling, but that...
ParlaMint-NL_2019-11-28-tweedekamer-8.u6	Oh, that was the AO. Excuse me, I meant...
ParlaMint-NL_2019-11-28-tweedekamer-8.u7	Is it going to be on that February or March list?
ParlaMint-NL_2019-11-28-tweedekamer-8.u8	It's about that list and that commitment. Thanks for the clarification.
ParlaMint-NL_2019-11-28-tweedekamer-8.u9	Please continue.
ParlaMint-NL_2019-11-28-tweedekamer-8.u10	Mr Weverling's motion to item No. 29 I would like to judge Chamber if I may read the motion in such a way that I ask the IOB to include the question in the planned investigation into the effectiveness of the current PSD tools for the private sector. Because I don't want to do any double work. So we're taking the question into a planned investigation. Then GroenLinks. I didn't hear any questions. I do have a motion or it is possible afterwards to...
ParlaMint-NL_2019-11-28-tweedekamer-8.u11	Has there been a question left, Mrs. Diks?
ParlaMint-NL_2019-11-28-tweedekamer-8.u12	Oh, yeah. I did ask a question. Is the Minister prepared to double the contribution to the Green Climate Fund in the Spring Note?
ParlaMint-NL_2019-11-28-tweedekamer-8.u13	Excuse me, I was still with the questions. In principle, we are not going to double it now, because it is very good to take it with us. Countries are proud and want to show how much they give to one fund. But if you add up what they're all doing inside and outside the UN, we're really still one of the big donors. I'm not gonna see if a country happens to double or not in the Green Climate Fund and if that country doesn't do anything out there.
ParlaMint-NL_2019-11-28-tweedekamer-8.u14	But can you make that clearer next time, so that the Chamber can follow it better?
ParlaMint-NL_2019-11-28-tweedekamer-8.u15	What am I supposed to make insightful? The contributions of all donor countries around the world?
ParlaMint-NL_2019-11-28-tweedekamer-8.u16	The dots, so it's clear to us, too. You are now saying that the Netherlands actually does a lot of things when you put all the funds together. Well, I would like to see that better, because it seems that we have not been able to derive that from the budget.
ParlaMint-NL_2019-11-28-tweedekamer-8.u17	That's a very complex job. I do not think I am the Minister for Development Cooperation of all EU countries either. I'll see what we can bring with us useful information where that fits. But I'm not going to commit to doing research on donor behavior from other countries. That is also just public insight through the UN website or the World Bank. I've been asked to report back on the leverage. We report annually on mobilisation, so the leverage in the HGIS report. But as I said, I will see if we can give any more information on that. I don't see the lever as something that we can derive a lot of insights from year to year and maybe right away, but it will be interesting. It's an important exercise. I have been asked whether I am prepared to make more funds available for the contribution... We would have done that. I'm sorry. Then the motion to part No. 30 by Mrs Diks, Mrs Ouwehand and Mr Stoffer on setting up an experiment in one of the African focus countries. It's a nice motion, but there's a lot of cash transfer going on and we're already doing a lot, so there's no need. I don't want to set up an experiment either, because we're already doing it. So it's not an experiment anymore. I'm dissuading the motion.
ParlaMint-NL_2019-11-28-tweedekamer-8.u18	Yes, we are already doing a lot, very widely through the World Bank, but we see that other major donors are already doing it with bilateral cooperation. The motion for a resolution is very much in favour of this.
ParlaMint-NL_2019-11-28-tweedekamer-8.u19	The only thing we can do is to explore next year when the funds are discussed where in the focus countries there are opportunities to, for example, connect with a DFID or others. I don't want to reinvent the wheel while we can join others. This is inefficient and it is often the same population groups.
ParlaMint-NL_2019-11-28-tweedekamer-8.u20	Shall I amend the motion?
ParlaMint-NL_2019-11-28-tweedekamer-8.u21	No, we're not gonna negotiate any more.
ParlaMint-NL_2019-11-28-tweedekamer-8.u22	The motion in part No. 32 asks whether we can start a coalition with similar countries in order to promote the phasing out of fossils from the ECV. As Mrs Diks knows, cabinet policy is greening and not containment. We are also committed to greening internationally in the context of the level playing field. I've talked about what I'm doing within my policy frameworks. We stay alert to do more internationally. Apparently, a motion on this matter has also been discussed in the First Chamber this week, but I would advise against the motion. The motion in part No. 33 is about FMO. FMO is currently being evaluated, including in the field covered by these recommendations. We're not looking for an independent oversight et cetera. I think it is important to wait for the evaluation and then perhaps come back to this. As the motion has now been put forward, I must dissuade her. But I am very aware of all the situations that you and others expose, including in the media. I'm going to talk to FMO about it myself. That's a commitment anyway. Then the CDA. Mr Amhaouch asks if I can take care that we would not be ready for the difficult issues that are going to play on trade. If I said no, you'd have to be really worried. I think we're very alert about that. We are playing across the board with the other ministries, but of course also within the Ministry of Foreign Affairs itself. I think we are able to respond to all issues. If not, we'll ask for additional capacity. What is the ambition for the Task Force Invest International? I have already said that I want the law to be fully completed by the end of 2020, so that it is ready to start. The ambition for the task force's timeline strategy has been asked. The ambition is high and concrete. We are going to look with industry and knowledge institutions at three concrete trade opportunities on promising African markets. We hope to see results in 2020. Before then, I'm afraid to say much. They have to get to work first, so I don't want to commit to reporting yet. Maybe we can get back to AO's. Mr Amhaouch asks whether we are sufficiently equipped to promote trade. I would say: yes, The Hague and the posts. We are trying to get the people in the best places and, of course, we are working closely with the RVO network public-private cooperation task force Africa.
ParlaMint-NL_2019-11-28-tweedekamer-8.u23	A brief question, Mr Amhaouch.
ParlaMint-NL_2019-11-28-tweedekamer-8.u24	My question focused on VNO-NCW, SMEs and all those parties. They have created their own strategy as input for the task force. The task force is in progress, says the Minister. My question was about timing: when is the task force coming up with its strategy public-private?
ParlaMint-NL_2019-11-28-tweedekamer-8.u25	I'll get to that. Next week, on December 3, we have an AO Trade Promotion. I can look at the date. I think that's fair.
ParlaMint-NL_2019-11-28-tweedekamer-8.u26	Please continue.
ParlaMint-NL_2019-11-28-tweedekamer-8.u27	Mrs Kuik asks if I can inform the Chamber of progress on the inclusion of people with disabilities in the OS policy. I sent you a letter and I can do it again in the coming year. Hopefully we'll have the tightening that Mrs. Kuik and I are looking for. Can I take the Chamber with me in good time when it comes to combating diseases such as tuberculosis? The policy commitment to public health in os countries is in the budget. I'll give it to you every year. I will take the fight against diseases such as tuberculosis with me through the results report, but the question was also, of course, about the tropical diseases that have not yet been eradicated. That's the broader picture. Then there is the motion for a resolution on the fight against trafficking in human beings. If I may read the motion in such a way that no new strategy is required but an active implementation of and cooperation on prevention within the Strategy Against Trafficking in Human Beings, then I will leave the verdict on this motion to the Chamber. Then the SP. I don't seem to have any questions. The motion in part No. 35 I can take over. It's support policy. We're already doing this, I say. We are looking, in particular, with the EU, at how we can put our weight on the scale.
ParlaMint-NL_2019-11-28-tweedekamer-8.u28	Does anyone object to taking over the motion? Yeah, the PVV and the CDA.
ParlaMint-NL_2019-11-28-tweedekamer-8.u29	No, no, no, no.
ParlaMint-NL_2019-11-28-tweedekamer-8.u30	No? Sorry. Then the PVV objects to taking over the motion in part No. 35. She'll just get in the mood. What is the verdict on the motion in part No. 35?
ParlaMint-NL_2019-11-28-tweedekamer-8.u31	It's support policy, so take over, judge Chamber.
ParlaMint-NL_2019-11-28-tweedekamer-8.u32	Then she's redundant. If it is support policy, it is redundant and it is also discouraged. It's as simple as that.
ParlaMint-NL_2019-11-28-tweedekamer-8.u33	Yeah, but I'm not deceiving issues that are support policies. Then it is up to the Chamber not to table the motion, in my opinion, but I am not going to advise against what is good policy. Makes it look like I'm against it.
ParlaMint-NL_2019-11-28-tweedekamer-8.u34	We're going to discuss this separately sometime, because that's really the deal with the cabinet. Otherwise we will have a very strange assessment framework and one will find the Court of Justice and the other will find it superfluous. But we can discuss that separately sometime. Is that okay?
ParlaMint-NL_2019-11-28-tweedekamer-8.u35	I totally understand that. I often stand here on behalf of Minister Blok. I know I'll be doing other instructions. I understand that, but this is support policy. I'll leave it to the Chamber to decide how she's gonna take it. The motion in part No. 36 deals with investment protection in bilateral trade agreements. The agreements on investment protection contribute to investment in infrastructure and other long-term projects. We believe that arbitration systems are also accessible to SMEs. As you know, citizens and NGOs also have access to normal justice. I advise against this motion. The motion in part No. Thirty-seven I also advise against. It is too one-sided a focus on the negative effects of globalisation. The government analyses globalisation in all its aspects. Only looking at an assumption of purely negative consequences is not recommended. It's about the package and the balance. The motion in part No. 38 is about excluding Shell in Nigeria from trade missions and support. The oil pollution in the Niger delta is too complex for a one-sided good/fault. We advise against this motion on this basis. We'll check every case to see if companies can go on a mission or not. D66 had no questions, but a motion. Can the Minister indicate when an EU action plan will be drawn up? I can't, in principle, but I just made the call. We have given impetus to this in many countries. We'll keep talking about it and we'll keep pulling it.
ParlaMint-NL_2019-11-28-tweedekamer-8.u36	Just for the record, it wasn't a motion. Yes, it was just a question.
ParlaMint-NL_2019-11-28-tweedekamer-8.u37	Oh, excuse me. It'll be answered right away. Excuse me. He was behind the page motion with me. Then there are Mrs van den Hul's questions. In the case of detention centres in Greece, the implementation of this measure must be in line with applicable international European laws and regulations. At the moment, we do not have much more clarity as to what these reception centres will look like. It seems that closed centres can also form part of an expulsion procedure. It is also important to discuss this with Mrs Broekers-Knol. What is your response to the expulsion of Omar Shakir, the Human Rights Watch director in Israel/Palestinian territories? As Minister Blok has already pointed out, the cabinet considers it important that freedom of expression is respected, that there is scope for a diverse and inclusive civil society. We urge Israel to reverse the decision. That's the essence. There's been conversations. The message was also sent to the Israeli ambassador on 7 November by Minister Blok in his conversation with him. The motion in part No. 39 I can take over, because that is support policy. The motion in part No. 40 deals with the evaluation of anti-abuse provisions within tax treaties...
ParlaMint-NL_2019-11-28-tweedekamer-8.u38	I just have to ask if anyone has any objection to taking over the motion in part No. 39. That's the case. The PVV objects to this. Then the motion will be put to the vote. Please continue.
ParlaMint-NL_2019-11-28-tweedekamer-8.u39	The motion in part No. 40 calls on the government to inform the Chamber of the evaluation of the anti-abuse provisions in tax treaties. This requires cooperation between tax administrations in the Netherlands and OS countries. I don't know if it's real. Moreover, this is really a matter for the Secretary of State for Finance. I advise against this motion.
ParlaMint-NL_2019-11-28-tweedekamer-8.u40	Very briefly, Mrs Van den Hul.
ParlaMint-NL_2019-11-28-tweedekamer-8.u41	I realize that this is indeed interdisciplinary and also about other portfolios. We have already read in the Minister's written reply that tax legislation is not covered by this budget, but that is precisely the problem. Policy coherence requires a cross-policy perspective. So can the Minister at least now undertake to discuss this matter?
ParlaMint-NL_2019-11-28-tweedekamer-8.u42	I'm going to talk to my colleague from the Treasury. I'll convey the concerns and hand them over. In the motion in part No. 41 is asked about the commitment to the sustainable development goals within the Netherlands. The integrated balancing framework has already been adapted. It is indeed important for the House to monitor this. I'll give the motion judgment room. The motion in part No. 42 is standing policy. I'm just here thinking. Knowledge and commitment at embassies is already being strengthened in accordance with the new imvo guidelines. It calls for sustainable economic diplomacy and for information to be provided to the Court. I think we're having a lot of conversations about imvo, in all contexts. The role of the embassies is also involved, so I don't see what the extra question is.
ParlaMint-NL_2019-11-28-tweedekamer-8.u43	Very briefly, Mrs Van den Hul.
ParlaMint-NL_2019-11-28-tweedekamer-8.u44	Very briefly. As I pointed out and as the observation states, we now have the IOB opinion and the ESC opinion which say: there is still a need to improve economic diplomacy in the case of imvo and the SDGs. So my request is to optimise, in line with that advice, the knowledge and commitment to promoting the imvo and SDG impact and to inform us about how that is optimized.
ParlaMint-NL_2019-11-28-tweedekamer-8.u45	I understand that, but in the end, we talk about imvo all the time. I don't know if I should report specifically on how the embassies are doing their job. I consider this a support policy, so I can take over the motion. But there's not much news to report under the sun unless we're talking about imvo, embassies and what's going to happen.
ParlaMint-NL_2019-11-28-tweedekamer-8.u46	I'm not gonna ask anyone anymore about that. So: or take over...
ParlaMint-NL_2019-11-28-tweedekamer-8.u47	Then I'll go on to the Christian Union...
ParlaMint-NL_2019-11-28-tweedekamer-8.u48	...or judgment room or dissuade.
ParlaMint-NL_2019-11-28-tweedekamer-8.u49	Judgment Room.
ParlaMint-NL_2019-11-28-tweedekamer-8.u50	Okay. Then let's move on.
ParlaMint-NL_2019-11-28-tweedekamer-8.u51	Mr Voordewind asked if I could see any possibility of giving more funding to the DRA in the short term. There is no room at the moment, but when there is room, humanitarian aid is always looked at as a priority. The DRA is a good partner. Then the Party for Animals. I think we've already had a lot of exchanges. In the context of policy coherence, there was another question about circular agriculture. Does our trade policy fit in with the ambitions of circular agriculture? I think I have to say that the cabinet has a very different assessment of the geo-economic situation and has a different appreciation for it than Mrs Ouwehand, so that will also be reflected in my reply. I won't give her any satisfaction. Circularity, sustainability of agriculture and knowledge sharing remain of great importance, including for the SDGs. Efficient use of raw materials, climate and environmental protection, sufficient quality and good food production are also essential for a growing world population. Trade is part of that. We'll see how we can contribute. There are no binding international rules for sustainable agricultural production. Nor can the EU unilaterally impose this. We look at standards and sustainability in trade agreements to achieve a higher standard. The imvo component has also been extensively discussed. Technical assistance, such as the IDH, Sustainable Trade Initiative, also contributes to this. So as well as sustainable agriculture in third countries and a level playing field or level playing field for the sustainability of the agricultural sector in the Netherlands and the EU. That is a short answer, Madam President.
ParlaMint-NL_2019-11-28-tweedekamer-8.u52	Mrs. Ouwehand, very briefly.
ParlaMint-NL_2019-11-28-tweedekamer-8.u53	I think farmers will be very reassured. "We're looking at sustainable trade." I asked the Minister about a case I've been trying to get her to reflect on for about two years. She goes for circular farming, but what does a veal deal with China contribute to that goal? I find it significant that the Minister does not respond to that. This is a concrete case! We drag them into calves, put them here in calf farms, chop them up and go on a plane to China. Explain, what does that do with circular agriculture?
ParlaMint-NL_2019-11-28-tweedekamer-8.u54	Honestly, I think the time... Mrs Ouwehand is very good at taking pieces and particles from a much more complex geo-economic and trade issue. The cabinet strives for circular agriculture. We also aim to raise standards and values. That is what we are expressing in all policy areas. Is the world perfect? No. Do we want to go to a doughnut economy? No, I didn't. Because I've never heard a performance before. We have prosperity and stability. Even this building is completely dependent on the funding that is earned with everything that the Netherlands does, both in the Netherlands and abroad. I'm not doing too much of that, far from it. I do not think you can easily get away with this on a geo-economic level. We can talk about a couple of veal slices here and there, but I told you we were going to talk about that at CETA. We're talking about trade every AO. I can come back to the question you asked about how the veal fits the animal welfare ambitions. Recently it has been agreed that the Netherlands will gain more market access to China for veal. This is, according to our joint assessment, good news for Dutch farmers who, on the basis of Dutch legislation on food safety and animal welfare, prepare veal for export. People are not yet vegetarian or vegan in China. As you know, circular agriculture is about setting up the agricultural sector, making efficient use of raw materials and contributing to world food production. That doesn't mean we're not exporting anymore.
ParlaMint-NL_2019-11-28-tweedekamer-8.u55	Finally, Mrs Ouwehand.
ParlaMint-NL_2019-11-28-tweedekamer-8.u56	This is the Minister's reaction to the case that two-week-old young calves are being put in a lorry in Ireland and transported to France by boat, where, according to the images we have seen, they are being kicked together in an EU-approved assembly centre. And then it's up to a calf farm in the Netherlands, where they can catch pneumonia and get sick. The Minister says: that is animal welfare. All right, let's take note of that. I also asked about the woods. The Minister had promised that in the second term she would return to the actions taken by the Cabinet to better protect those forests.
ParlaMint-NL_2019-11-28-tweedekamer-8.u57	She'll come back to that, won't she?
ParlaMint-NL_2019-11-28-tweedekamer-8.u58	Yes. I am indeed looking for a lecture from my own reading about the forests. It should be in my pieces. I'm gonna see if they can send me those. Apart from that, there is no point in having a debate on the basis of selective examples that are put forward as soon as I have given a reply. Demand is changing all the time, too. I am a systematic person and I think it is important to be able to conduct this debate in an organised manner, especially when it comes to motions and questions. I'm just waiting for the answer in the deforestation letter. I have indeed promised it to Mrs Ouwehand. Then there is a motion from Mrs Ouwehand, Mrs Diks, Mr Alkaya, Mrs Van den Hul and Mr Kuzu. Are we going to gradually reduce the budget to 0.7%? You don't need a roadmap; that's a political decision. I'm gonna make a commitment to that. A roadmap is not necessary if there is political will and there are agreements. I've been kept to the state-wide priorities. We have also heard a lot today from various parties about the interests within the Netherlands and the agreed budgetary frameworks. That's what we need to look into. A roadmap is not necessary, so I advise against this motion.
