ParlaMint-NO_2012-10-11.ana.ud366e63	The representative Ivar Kristiansen, who has been licensed, has once again taken his seat.
ParlaMint-NO_2012-10-11.ana.ud366e69	The representative of Borghild Tenden will put forward a proposal for a representative.
ParlaMint-NO_2012-10-11.ana.ud366e72	I have the pleasure, on behalf of the representative, Trine Skei Grande and myself, to propose a representative on the redistribution of child rights.
ParlaMint-NO_2012-10-11.ana.ud366e77	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2012-10-11.ana.ud366e89	The President is asking for proposals. A new member of the Electoral Committee shall be elected.
ParlaMint-NO_2012-10-11.ana.ud366e92	I suggest Karin Yrvin.
ParlaMint-NO_2012-10-11.ana.ud366e97	Karin Yrvin has been proposed as a new member of the electoral committee. – Other proposals are not available, and the President assumes that they can be voted in the usual way.
ParlaMint-NO_2012-10-11.ana.ud366e119	No one has asked for the floor.
ParlaMint-NO_2012-10-11.ana.ud366e135	Statistics are exciting, and in most cases statistics can be useful — at least if used correctly. Statistics may also be an important prerequisite for policy-makers and others to make decisions, and hopefully correct decisions. The reason for this interpellation is to be able to make decisions. Minorities have their own language, as the Storting knows. We have more minorities in Norway. Samer, women, forest fins, Jews, romance and Norwegian romance are some of the minorities we have. These have a language in which they are entitled to receive training and which they can use in their daily activities. It is important to identify how many have different mother tongues in Norway. Among other things, it will be of great help to municipalities that plan their school days for students. In particular this applies to samical. The size is, as you know, little happy to plan for the long term. We have one-year budgets, or barely enough – we have half-year budgets, as well as that we have the revision – but with regard to the municipalities, we demand that they actually have four years of planning. In order to have four years of planning, it is also good to have a basis for planning. It is also important to have statistics to enable them to make this planning and take the decisions they will take for the four-year period. Today, there are no statistics on how many speak different mother tongues in Norway. Estimates are only available. In an article on minority and minority language users in Norway, published in the new language in 2003, Lars Kulbrandstad says something about why it is difficult to produce such statistics. I quote: ‘Neither in population censuses nor other similar public registration of persons in Norway is asked which language or languages are used in their daily lives. Nor have we developed a wide range of research that can provide us with direct information on such issues. Therefore, in most cases, tasks on the number of minority language users need to be based on judgement and on estimates based on sources primarily concerned with something else.’ In the same article, Kulbrandstad says that it is easier to estimate the number of those who speak minority languages in immigrant groups, but that there are also several uncertainties here. We have statistics, says Kulbrandstad, about who was born abroad, or who has parents where both are. We know where the parents come from, and we know the language conditions in that country. But then we have some challenges that some people have changed languages, so that they are no longer minority language users. The vast majority of first- and second-generation immigrants dominate minority languages. Carbon cities also say that it is difficult to estimate the number of users of Sami and those who speak the languages of other national minority groups. It is problematic to assess the size of the population groups, because we lack clear points of view to determine who can be counted as members of these groups. Everyone has it's called core members, i.e. persons with key characteristics relevant to membership of the group, but there are also many that are more marginal members. In St.meld. No 35 for 2007–08 Objectives and meaning — A holistic Norwegian language policy is the language situation of national minorities. The estimated number of Sami languages in Norway varies between 10 000 and 20 000. Reference is also made to a study carried out by the Sami Nutrition and Investigation Centre in 2000 on behalf of the Sami Language Council, where the number of Sami speakers is estimated at 25 000. About half of these talk, read and write samish, while for the others it's primarily a language of speech. Northern Sami is, as we know, the most common of the Sami languages. Those who speak lulesamically in Norway are estimated to be about 500, while southern Sami is spoken by a few hundred people together in Norway and Sweden. The 2009 Sámi Action Plan indicates that northern Sami is classified as a threatened language on the UNESCO Red List. South and Lulesamian are classified as seriously threatened languages, and eastern Sami, scholesamic, pitesamic and umesamic are characterised as being eradicated in Norway. This is worrying when we know that we also have other minorities who have their language — among others. female. It is estimated that there are between 10,000 and 15 000 women in Norway, and that the number of those using the language varies between 2000 and 8 000. We also have forest fins, and it is estimated that their language was lost approx. in the 1900s. Jews are also a minority with about 1,100 members. We have Romans, estimated at 300 to 400 people, and about 300 to 400 people. 90 pst. of these speaking romani, or romani čib, as it is also called. Norwegian romance is a minority language spoken in Norway, and there are about a few thousand who speak it. As I said, this is worrying. We see that especially Samer is entitled to learn languages when we know that in primary school Sami is part of the training plan. 928 primary school students received training in the first language of northern Sami and 1 145 received training in the second language of northern Sami in 2010/2011. 29 students were trained in Lulesamian as a first language, and 68 were trained in Lulesamian as a second language. It's not about many people, and the concern about the Sami language is that it will eventually die out, and that there won't be a lot of people who speak it at all. Then it is important, as I opened it, that the municipalities have the opportunity to plan for this language training. What is also worrying is that Norway has signed both ratifications and some pacts. The European Charter of Regional or Minority Languages was adopted in 1992. Norway ratified it in 1993, and it became effective from 1 March 1998. This is when Norway reports. We have also received comments that we do not have statistics on minority languages in Norway. I would quote from the fourth report that we received from the language pact: ‘Nordic authorities give only rough estimates of the number of persons speaking regional or minority languages in Norway. This is due to the lack of official statistics or other reliable data on the number of speakers. The estimates for female-speaking persons are not clear, as the authorities refer to estimates ranging from 10000 to 15000 female-speaking persons living in Norway.’ At the same time, Norway is an active member of the United Nations. CERD, the UN Committee on Racial Discrimination, has also been out criticising Norway for its lack of statistics. I want to refer here to what the committee says in its 17th and 18th periodic report from the CERD: ‘The Committee reiterates its concern about the lack of statistical data in the party’s report on the ethnic composition of its population. The Committee recommends that, in accordance with point 8 of the Reporting Guidelines, the Party provide information on the use of Parental Targets as an indication of ethnic inequality, as well as information derived from targeted societal studies carried out on a voluntary basis and with full respect for those concerned, with data protection and anonymity requirements, and recalls the Committee’s general recommendation No. 8 on self-identification of persons with a particular racial or ethnicity.’;» Which I opened with in my post: it's important to have this statistics. We're being criticized by international teams because we don't have it. And when Norway ratifys a pact such as the European Charter of Regional or Minority Languages and we are an active member of the UN, should we not then comply with what we have ratified and accept the criticism we are receiving, and perhaps also comply with it and try to meet the requirements we ourselves have agreed to by ratifying these different pacts?
ParlaMint-NO_2012-10-11.ana.ud366e176	Let me start by thanking you for the interpellation. It is true, as the representative Ørsal Johansen here points out, that there is no overall overview of how many individuals in Norway have other language or first language. I want to answer the question by discussing first what purpose such an overview should have, second, what we know about which languages are spoken in Norway, and thirdly, what we understand about native language or first language, and how it is possible to acquire knowledge. I would also like to explain the government's policy to ensure linguistic diversity. What is the purpose of an overview of the languages spoken in Norway? An overview of the languages spoken in Norway would document the linguistic diversity and the linguistic resources available, make important knowledge resources visible in the Norwegian community and document the use of regional and minority languages in Norway. Sami, female, romance and romance are defined in Norway as regional and minority languages and are thus covered by the European Charter for Regional or Minority Languages. What do we know about the linguistic resources of the population, and what languages are spoken in Norway today? Most of Norway’s native language is Norwegian, but there are significant elements of languages used by minority groups in the population, among national minorities and among immigrant populations. As there have been more immigrants in Norway, the representative of Ørsal Johansen is increasingly showing a different background and thus a different mother tongue or first language from Norwegian. Immigrants in Norway come from all corners of the world and from at least 200 different countries. We have an overview of the immigrant population, but there is no overall overview of how many people speak which languages. Studies among the immigrant population asking for linguistic skills have so far focused on the Norwegian skills of immigrants. Very many of the world’s languages are represented in Norway. At least 200 languages are represented in the immigrant population. Many countries have several official and unofficial languages and dialects, so that there may be more languages. There is no overall overview of which languages are controlled and spoken among national minorities. Due to a lack of information on the use of Sami languages, the Sametinget and the Ministry of Renewal, Administration and Church have launched a survey, Nordlandsforskning 2011–2012. The collected material did not provide a basis for quantifying the number of users of Sami languages, but it showed that there is an increase in the skills of young people in southern and lulesamic, which is joyous. There are some sources of information on languages from register statistics and reporting to the Statistical Central Bureau. These statistics are limited to the following: According to primary school statistics, 855 out of over 600,000 primary school students in 2011 had Sami as their mother tongue. In 2011, 20,721 primary school students had specific language and/or bilingual training. 6,471 of these students had native language training. In the autumn of 2011, language and/or bilingual vocational training was provided in 92 languages. If we also include organised training, the number of languages taught will be 125. Kindergarten statistics show that about 90 pst. children between the ages of 1 and 5 years have a children's gardening space. The proportion of minority-speaking children has increased in recent years. In 2011, 30,500 minority language children were registered in kindergarten, nearly 11 pst. by all children in kindergarten. So what do we understand by mother tongue or first language, and how is it possible to acquire such knowledge? Both the mother tongue and the first language are defined and used in different ways. It illustrates the dynamic and complex nature of language mapping in Norway. Parental goals are often defined in the language of parents. In some contexts, it is defined as the language spoken in the child’s home, either by both parents or by one of the parents in communication with the child. Thus, a child may have two mother tongues. The first language may refer to the language first learned, but also to the most widely used and closely related languages. It may designate the main oral, possibly written, language of a person. The first language can also be used as a language a teacher at a later stage in life, but which can eventually become the language with which he identifies himself. It takes time to learn a new language, and the use of the language also changes as time passes. A language mapping will therefore only provide a snapshot. The representative of Ørsal Johansen’s justification for making statistics on linguistic diversity available is, to quote him sjæl, ‘so that one can thus close some knowledge gaps’ — that is how it was produced in this interpellation. I am very concerned with the work of the Statistical Central Bureau on the development and maintenance of statistics and analyses on migration, integration and living conditions. This forms the basis for the work on analysis and policy-making in my department. But the assignments we give to the Statistical Central Bureau are linked to the need for knowledge in relation to one or more challenges to be solved, not knowledge for the sake of knowledge. An increase in the linguistic diversity of the population in Norway and the multilingualism of more and more inhabitants is a resource in a globalised world. Multilingualism represents communication skills, contributes to cultural understanding and strengthens the possibilities for international interaction. Promoting multilingualism can be a competitive advantage for Norway. A survey of language skills and practices per household, or at individual level, would be very comprehensive and resource-intensive. I don't think we should give priority to using a lot of resources to develop statistics on languages spoken in Norway when we don't need these statistics. Examples of full-counting per household or at individual level are the population and housing census of the Central Bureau in 2000. The SSB has disregarded such comprehensive full censuses and is now producing statistics based on the reporting and updating of registers or sample surveys. Therefore, it would be unrealistic to carry out a comprehensive survey of language skills and practices, but it would be realistic to carry out smaller studies focusing on some issues relevant to policy development, such as the survey carried out on the use of Sami languages. Knowledge of the linguistic diversity of the population will be obtainable through different sample surveys, such as community and community surveys and living conditions surveys. Let me say a few words at the end about what the government's policy to ensure linguistic diversity is. The purpose of the government is to pursue a language policy that strengthens cultural roots and counteracts cultural bias, where language protection is an element of the protection of minority rights and culture. Through the processing of St. Announcement. No 35 for 2007-2008 Objectives and meaning – A holistic Norwegian language policy in 2009 was behind a more active and comprehensive language policy. Language diversity is a central element and one of the five main objectives of the government’s language policy. Language diversity offers different perspectives in the world and helps to counteract cultural and political uniformity, cf. St. Report. No 35 and the Sámi Action Plan of 2009. Internationally, there is a strong political consensus that cultural and linguistic diversity needs to be protected. For example, the Sami languages, women's, romance and romance are recognised as regional and minority languages. They have been given special protection by the European Charter of Regional and Minority Languages, which has been ratified by Norway. Many immigrants have linguistic and other skills and are a resource for Norway. I will contribute to increased employment among immigrants and better use of the skills of immigrants in working life. These are important perspectives in the forthcoming major communication on integration policy, which will also be addressed precisely in languages, in particular the need to ensure good Norwegian knowledge and good Norwegian training, also for women and for those who do not have good knowledge from the countries from which they come – with a particular focus on children’s opportunities, on the cohesion of living conditions and with a view to believing that multilingualism is a resource.
ParlaMint-NO_2012-10-11.ana.ud366e244	I thank the Council of State for the article and for the good information. But I'm also a little worried, because as I interpret the Council of State, the Council of State will not know how languages and minority languages stand in Norway. I am also concerned that the Council of State does not at all take up the criticism from the international community and will not do anything to meet the criticism from the international community. It's worrying. The Council of State also says that such a recording of statistics will only give a snapshot. I'm a little uncertain about what the Council of State puts in a snapshot, but when a leader collects statistics and regularly collects information, it doesn't give a snapshot, it gives an idea of what it's like today and what it's going to look like in the future – not least how to plan for the future. The Council of State was also concerned with the difficulty and inadvisability of obtaining such statistics. Let me then tell you that several countries are conducting statistics like this, among other things. Finland, which is very careful and dedicated to complying with the requirements of the international community. However, the main reason why they do so is that local authorities should use these statistics for social planning, and these statistics are actively used in this way. They use, among other things: the Finnish Statistical Centre and it then passes through the People's Register. According to Finland, this is not particularly resource-intensive, and it is not particularly unrealistic. I see no reason why we in Norway should not be able to do the same in order to simplify the work in the municipalities. Today, we have a number of municipalities within the Sami administrative area, and we know after a while that there are councillors and politicians in the Sami administrative area in these municipalities who don't know how many – or whether there are any – speak minority languages in the municipalities. In fact, I believe that the municipalities need to know when they are planning, among other things. the day of school in the future. It is also interesting to note that one of the major critics that we do not have such statistics in Norway is the Anti-racist Centre, which questions the Norwegian approach and indicates that other countries have such statistics. So I hope that the Council of State will take this up to a closer assessment, and I hope that the municipalities will have the opportunity to obtain such statistics in order to improve their planning, which will also be resource-saving.
