ParlaMint-NO_2003-03-19.ana.ud31e28	The representative of Geir-Ketil Hansen will make a private proposal.
ParlaMint-NO_2003-03-19.ana.ud31e31	I would like, on behalf of the representatives of Hallgeir H. Langeland, Åsa Elvik, Heidi Grande Røys, Ågot Valle, Audun Bjørlo Lysbakken, Bjørn Jacobsen and myself, to propose a better identification of the race hazard in Norway, social consequences and concrete measures to prevent the loss of human lives and values.
ParlaMint-NO_2003-03-19.ana.ud31e36	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2003-03-19.ana.ud31e59	On Monday the Stortingen received notice from the Prime Minister's office that the following members of the Government would meet for oral Question Time: State Council Per-Kristian Fossstatsrådet Laila Dava State Council Torild Skogsholm The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. – We will then start with the first main questions, from the representative Hill-Marta Solberg.
ParlaMint-NO_2003-03-19.ana.ud31e78	I have a question for the Minister of Finance. Unemployment continues to increase, and we are approaching 100,000 unemployed. The increase is coming all over the country, and only in the industry there were 3,700 more unemployed last month. The government's response has been for a long time a tight budget, a lower interest rate and a lower exchange rate. The Labour Party agrees, but has always felt that the Government has been too passive in addition to having a tight budget adopted. The Government has now announced measures in the revised national budget to meet the increasing unemployment. My question is this: Does it mean that the Government now recognises that something needs to be done beyond the adoption of a tight budget, and does the Minister of Finance realise that labour market measures need to be increased, and that the State needs to contribute more actively to the creation of new jobs, among others. through regional and industrial policies, when unemployment increases?
ParlaMint-NO_2003-03-19.ana.ud31e87	There is no need to realise that, because it is written in the Government's budget document, the national budget, which was dealt with in the Stortingen last year, that the uncertainty about further unemployment rates is high, and that we will come back to the question, among other things. on the level of the employment measures, in the revised budget, which the Stortinget receives on 15 May of this year. Moreover, it is true that there has been a trend towards increasing unemployment. With regard to the figures published yesterday by Aetat, the Minister of Administration said in yesterday's opinion that the figures confirm a trend in the labour market that we have been concerned about for a long time. We come up with an assessment of the situation and possible measures in revision. In this context, it is important that the measures are within a framework that helps to solve the main problem that has now been pointed out by the representative Hill-Marta Solberg, namely a tight budget that can contribute to the continued reduction of the krone and interest rates.
ParlaMint-NO_2003-03-19.ana.ud31e94	I thank you for your answer. I must also remind you that when we in the Labour Party presented our concern for increasing unemployment during the examination of the year's budget, it was characterised as a black paint. Now, obviously, the government has also got a different view of it. Through the media today, the Minister of Finance tells us that he will give up fighting for the differentiated employer’s fee. It has been one of the best instruments available to the State in the field of district policy. Thus, when this scheme is under way, every four jobs in the private sector in Nord-Troms and Finnmark and every six jobs in the private sector in the rest of North Norway are threatened. This will be a very serious situation, and my question is: What will the Minister of Finance do to prevent a large number of jobs in the districts from disappearing when the Government now, as it is said, gives up the fight for the differentiated employer tax?
ParlaMint-NO_2003-03-19.ana.ud31e103	Reportedly – I did not express myself about this to the newspapers today, and what I am represented on there is correct. We have not given up the fight to maintain substantial parts of today’s differentiated employer’s fee, but with which the representative is well-known, this issue was dealt with by the EFTA Court in 1999. We lost there the opportunity to keep the change indefinitely. The deadline is now there. And let me put it this way: the statements that the representative Schjøtt-Pedersen, on behalf of the Workers' Party, I suppose, today have in today's newspapers about a complete cancellation of a differentiated employer's fee outside zone 5, i.e. the Nord-Troms and Finnmark action zone, are not correct. It is not necessary to go this far under EU rules.
ParlaMint-NO_2003-03-19.ana.ud31e110	There will be follow-up questions – Øystein Djupedal.
ParlaMint-NO_2003-03-19.ana.ud31e113	Worse waste in a society than having free hands, there is hardly. This loses the individual, it loses the community, it loses the business, it loses everyone. And that means that in such times as we are inside, the state must actively pursue counter-cyclical policies in order to get out of work. I record that the Prime Minister has now taken this problem more seriously. We and several other parties have been talking to the Prime Minister and his people, who were also present to the Minister of Finance. We appreciate that. We think a national effort is necessary to get free hands at work. We have a lot of unresolved problems in our society, many things that everyone sees need to be repaired, built or done, while we know that there are tens of thousands of free hands that can do the job. That's why it's necessary to combine here. Let me then ask two very specific questions: Many school buildings in Norway need to be built, repaired, improved, so that our children get better education, better growing-up conditions. Why can't we use construction workers for this? And the second is, we have a lot of racially dangerous distances in Norway where schoolchildren and others are on their way to school and kindergarten, why can't we fix these? It has a high employment effect and a low cost.
ParlaMint-NO_2003-03-19.ana.ud31e120	The president reminds us that speaking time is 1 minute.
