ParlaMint-BE_2015-01-21-54-commissie-ic061x.u1	Mr President, last time I surprised a lot of fellow Members by asking questions about music.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u2	I don't see you as a dancer, unless, perhaps, as a salon dancer?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u3	It is mainly about tango and Latin American dances, Mr President. You can't always see directly what gifts some colleagues have. (...): (...)
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u4	There was no problem for me. Everyone saw a wild dancer in me. Mr Minister, under the provisions of Article 44, § 2, 3° of the VAT Code, the services provided by operators of sports establishments and physical education establishments to persons engaged in physical development or sports are exempt from VAT, where those operators and establishments are non-profit-making institutions and where they use the revenue from the exempted activity exclusively to cover their costs. Since education in Belgium is free, everyone can basically teach dance. For example, there are dance teachers who can even teach dance with a limited education, which they often do, by using a non-profit association. In many cases, these non-profit organisations can rely on the provision of municipal halls, sports halls, schools or cultural centres to allow their activities to take place at a reduced price. In addition, non-profit organisations can often count on a free listing of their activities in municipal data sheets and newspapers. Because dance schools, which do not fall within the scope of Article 44, § 2, 3° of the VAT Lawbook, have to charge 21% VAT on all dance lessons they offer, there is a form of unfair competition against non-profit organisations that offer identical services and do not charge VAT. However, the problem raised does not concern academic schools, which remain outside the scope of this question. Mr Minister, do you agree with me that Article 44, § 2, 3° of the VAT Code creates unfair competition between the aforementioned categories of dancers, which is difficult to justify? Germany and the Netherlands apply a system whereby for the first year VAT is still charged by the dance schools, but if the students continue to take dance lessons, these lessons will be exempt from VAT in the following years, in the context of what is called vocational training. Another proposal would be that after the first year of lessons, the lessons from advanced students, from the second year onwards, should be regarded as sports lessons subject to a VAT rate of 6%. Can you express your views on these proposals? Furthermore, do you not consider that checks on the improper use of non-profit organisations should be increased, as their theoretical activities often differ from what is happening in reality? It is therefore a question of fair competition and equal tax treatment.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u5	Mr President, Mr Van Biesen, thank you for these questions with a certain rhythm. The exemption mentioned by you is based on the European directive which allows Member States to exempt certain services which are closely linked to the practice of sport or physical education and which are provided by non-profit institutions for persons engaged in sport and/or physical education. As you rightly point out, the same services will therefore be taxed or exempted according to the status of the provider. Operators and non-profit-making establishments do not charge VAT on the dance lessons provided, whereas commercial companies should, in principle, do so. I would point out that exempt taxable persons do not benefit from the right to deduct, while ordinary taxable persons can recover VAT according to normal legal rules. This does not prevent the administration from checking whether the exemption is justified. In its audit programme, the General Administration of Taxation already provides annually for the verification of non-profit organisations, including as regards their actual activity and whether or not to distribute any surpluses to its members. If irregularities are detected, the necessary correction will of course be made. Finally, as far as your specific proposals are concerned, I would like to point out that the exemption on vocational training and retraining is covered by another article of law, in particular Article 44 (2) of the VAT Code. It shall also apply only if such instruction is provided by a non-profit-making institution. There are also other conditions attached to it. My administration has therefore published the necessary clarifications. For the most common cases, my administration considers that the VAT Directive does not allow a reduced rate of VAT on the provision of dance lessons.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u6	Thank you, Minister, for your reply. I do hope that the controls will be so targeted that the non-profit-making associations of non-profit-making non-profit-making organisations are genuinely commercial non-profit-making organisations, because that happens very often. I hope that control will succeed in achieving equal tax treatment, both for non-profit organisations and for other forms of dance schools which have usually adopted a commercial form of company.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u7	Our country has been rightly represented at the World Bank for years. Belgium's contribution has evolved from 109 million in 2010 to 126 million in 2014. These financial contributions can be divided into two categories: compulsory and regular contributions to the agencies of the World Bank Group and voluntary contributions to a number of World Bank programmes. Most of the contributions are directly linked to the achievement of the Millennium Development Goals. Most of the compulsory contributions go to the International Development Association. The way in which we work shows that in recent years some of the countries around us have gradually evolved from development cooperation to a development economy, with the aim of not only supporting but also involving local businesses and businesses more in development cooperation. An information note from 2006 from the Directorate-General for Development Cooperation on the flowback of multilateral development cooperation in the period 2001-2004 shows that during that period of the Belgian contribution to the World Bank, on average 20.4 % returned to local activities in the form of contracts for goods, works and services. Are there more recent figures on the return on investment of the Belgian contribution to the World Bank? If so, can I get those numbers? If not, can we get those figures? Are these regularly updated? Does Belgium evaluate this expenditure on a regular basis? If so, can we get this evaluation? If not, isn't this the time to get started? The old director has just been appointed director of the World Bank for our electoral group. In what way will its follow-up be addressed within the IEFA?
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u8	The return on investment of the Belgian contribution to the World Bank Group should be calculated through the participation of our companies in the public procurement in the framework of World Bank projects, the so-called procurement. In order to assess this return on investment for Belgium, it is sufficient to look at the evolution of our share in the overall package of invitations to tender that is being made. The figures are as follows: 0.12 % in 2004, 0.78 % in 2006, 0.21 % in 2008, 0.33 % in 2011 and 0.17 % in 2013. In absolute terms, for the percentages just mentioned, the amounts involved are between USD 7.5 million and USD 15 million. If necessary, I can provide further detailed figures on this. The Belgian share, like most other countries, is subject to fluctuations, because Belgian companies focus on projects in Africa and on specific sectors such as energy, mining and transport. As far as your second question on evaluation is concerned, the Directorate-General for Development and Cooperation centralises the figures of a number of institutions to which our country contributes every year, including the World Bank. The figures for the World Bank are requested and discussed on a regular basis within that Directorate-General. Our Belgian representation in the World Bank Group's electoral group office is currently preparing a comprehensive note on these issues. In addition to an analysis of the latest figures on procurement, this note will include a number of recommendations on how Belgian companies can best act proactively and how they can be better supported and supported in these matters. As far as the director is concerned, the appointment of the successor of Mr Frans Godts as administrator of the administration of International and European Financial Affairs will be carried out in accordance with the rules and procedures in force. If necessary, I can, of course, deliver those procedures. It will be strictly according to those rules and procedures.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u9	Mr Minister, I do not wish to provoke you immediately, but may I conclude that we are underperforming, as we call it in beautiful Dutch, in relation to the contribution we make? I am aware that a contribution to the World Bank has a certain form of Benevolentia. It would be appropriate to strive for a normal, even equivalent return to what is being stopped.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u10	I can largely understand that. The problem, however, is that many of our companies, and especially our SMEs, do not know how to deal with it. I believe that we should, above all, improve the flow of information, for example through employers' organisations, so that we know what to do if we think we are to be eligible for certain things.
ParlaMint-BE_2015-01-21-54-commissie-ic061x.u11	Mr. Chair, Minister, a satisfaction survey was conducted among FPS Finance staff. The results of this investigation are not good. There's an important demotivation. Among the causes of this demotivation is the fact that staff do not feel involved in the changes that have been induced by the Coperfin reform. There is also a lack of career opportunity and a somewhat chaotic computerization process. These are the black spots identified in this survey. FPS Finance indicated that it would set up working groups to try to think about an improvement plan. It must be noted that staff remain sceptical, since if the survey is accurate, 70% of staff believe that no concrete action will be taken as a result of the survey. Minister, what lessons do you learn from this satisfaction survey? Do you intend to take action to address the weaknesses identified by this survey? Do you have a schedule that you could send to the members of the commission? How do you intend to restore trust between FPS Finance staff and the department's governing bodies?
