ParlaMint-FR_2019-02-15-O1151.u1	The next item is the continuation of the debate on the bill for a school of trust (No. 1481, 1629).
ParlaMint-FR_2019-02-15-O1151.u2	Last night, the Assembly continued its discussion of the articles of the bill, concluding with Amendment No. 379 to Article 6.
ParlaMint-FR_2019-02-15-O1151.u3	I have before me two identical amendments, Nos 379 and 839, to delete the article. I call Mr Bastien Lachaud to support Amendment No. 379.
ParlaMint-FR_2019-02-15-O1151.u4	Indeed, we propose the deletion of Article 6 which purports to create local public institutions of international education – EPLEI –, a beautiful name for a system that merely promotes two-tiered education, with this logic of excellence that often hides inequality. These are selective courses, open to donations and bequests, which clearly mark the establishment of this two-speed school. It is not desirable to set up schools that will attract the most favoured pupils, aggravating the already severe inequalities in our education system. On the pretext of promoting the openness and development of some, the unity of national education and the equality of all pupils will again be undermined, which is not acceptable.
ParlaMint-FR_2019-02-15-O1151.u5	I call Mr Molac to support Amendment No. 839.
ParlaMint-FR_2019-02-15-O1151.u6	We are somewhat concerned about this article. We can fear that there is little social mix within these institutions. If I have understood correctly, they will have a special, derogatory status, and will be destined rather for Anglophones: therefore, what is the reason of general interest that motivates their creation? Uniqueness is one thing, diversity is another, and I can understand that we have to adapt, but where is the general interest here? Certainly not in support of the English language, which does not need us to do well. Then, if I understand correctly, the connecting community can be a commune, since these institutions will be able to bring together the school, the college and the high school. I also note that a sort of sorting of children will have to be carried out since their abilities will have to be checked – I assume that certain subjects will be taught in languages other than French... Finally, could we not have imagined the creation of such a system within conventional establishments by strengthening, for example, support for certain foreigners, even if they are English-speaking? But you are going to suspect me of defending the minister because it is true that without the EPLEI, the children concerned could leave the public service and go to totally private schools. It is indeed a pitfall.
ParlaMint-FR_2019-02-15-O1151.u7	Mrs Fannette Charvier, rapporteur of the Committee on Cultural Affairs and Education, has the floor to give the Committee's opinion.
ParlaMint-FR_2019-02-15-O1151.u8	I would like to make it clear that the provisions proposed in this article largely reflect those already contained in the Education Code but concern only the European School in Strasbourg. The aim is to extend them to other European schools with derogatory status and to international or binational sections. The aim of European schools is to educate the children of staff of the European institutions and their agencies as a matter of priority in order to provide them with education in their mother tongue. I think we should be able to do this in public institutions. I was lucky enough to go to the European School in Strasbourg to prepare the report. Of the 967 students in the school, 156, called entitled persons, are concerned. This school is therefore very open to its environment, with a real concern for social mix, as I was able to see directly. As far as international sections are concerned, then seventeen languages are concerned, not just English. Open in France and in the network of the Agence pour l'enseignement français à l'étranger – AEFE – in the framework of binational agreements, they pursue three objectives. The first is to facilitate the integration of foreign pupils into the French school system, as well as their return to their original school system, since mobility is not necessarily permanent. The second is to create, thanks to the presence of these foreign students, an environment conducive to the learning, by French students, of a living foreign language at a high level. The third objective is to promote the transmission of cultural heritages in the countries concerned. Finally, the binational sections are created on the basis of bilateral agreements with Germany, Spain and Italy and therefore exist for the German, Spanish and Italian languages. The constitution of these public institutions, and I insist on the word "public", helps to strengthen the attractiveness of French territory in the context of Brexit. In July, moreover, the Prime Minister announced a special effort to create places in international and binational sections as well as the project to open a European school in Courbevoie to accompany the establishment of the European Banking Agency. Other projects are defended locally and are already on track; Some are more or less successful, such as that of the Montebello International High School in Lille or that of the international school city of Marseille. Their development is an opportunity that is not limited to the children of expatriates returning to France, since, in the case of public schools, they will of course be accessible to French students from all walks of life. That is why, in committee, we have adopted an amendment to ensure that the rector ensures that the social mix within these institutions is ensured when pupils are assigned. For all these reasons, I express an unfavorable opinion on these amendments.
ParlaMint-FR_2019-02-15-O1151.u9	The Minister for National Education and Youth has the floor to give the Government's opinion.
ParlaMint-FR_2019-02-15-O1151.u10	The rapporteur has just said the essentials with precision and eloquence, so I will not repeat it. The importance of this article should not be minimized. On this and other issues, I feel very much that we do not turn gold into lead. Article 6 promises a magnificent progress for the French school – for the public school, as the rapporteur pointed out. Yes, a philosophy behind the proposed scheme – one can oppose it, but it is explicit: it aims to draw the whole system upwards, especially for the benefit of the most disadvantaged. When we reinstated the balance sheets and the European sections in 2017, we did so in the same spirit: we believe that there is a positive effect for all when we propose particular routes, and especially in the most disadvantaged sectors. I recall that in 2017 95 % of the balance sheets were abolished in the Academy of Caen, whereas only 5 % were abolished in the Academy of Paris. I like real equality more than words a little easy. It is important, I repeat, to draw the system upwards, always bearing in mind, of course, the social mix. I have some credit to talk about it because, ten years ago, I had the same kind of debate, in the Academy of Creteil, about the creation of an international high school. Together with all the elected representatives of eastern Paris, we have therefore created an international high school in the area of Marne-la-Vallée. We can take a first look at this: not only are there children from international cadres – so what? Fortunately, we are able to attract them to France, and to the public! – but also, of course, and in the majority, children from the Academy of Créteil from Seine-Saint-Denis, Seine-et-Marne, Val-de-Marne and who find themselves very well. In addition, it operates in a networked manner. One of the characteristics of the EPLEI will be to include primary and secondary education and, in the case of primary education, to act in conjunction with schools in the territory. These locomotive schools will accommodate students from all walks of life. They will therefore promote social mix. The latter presupposes the mixing of children from the privileged classes with children from the disadvantaged classes: it is clear that social mix cannot be claimed and that it is not intended to attract children from management, including from international cadres. These institutions will also allow for a genuine territorial policy of languages, in line with the language policy that we are going to pursue and which will draw on the conclusions of the very interesting report written by Chantal Manes-Bonnisseau and Alex Taylor, our aim being that all students in France will have two languages in addition to their own. Through the creation of EPLEIs, we send the signal of a greater openness of our education system. It therefore meets not only a goal of social mix, which we will fully achieve, but also a challenge of territorial justice, because these EPLEI are intended to be a working tool for the state and local authorities to define ambitious, attractive projects – and this will also be realized. Again, let us not oppose the territories. Yesterday we talked about the launch of projects in Lille. I, who know this city well, which brings together all the social classes, am proud that an EPLEI is being set up there, as we do in Courbevoie, and that we will be proud to set up another one in such rural territory, in the form of a campus, in order to contribute to a local renaissance. [[Applause on several benches of the LaREM group]] Real social progress, true social mix will be born from a voluntarism underpinned by a logic of projects. That is why Article 6 is very important to me.
ParlaMint-FR_2019-02-15-O1151.u11	Mr Frédéric Reiss has the floor.
