ParlaMint-BE_2015-06-30-54-commissie-ic202x.u1	Mrs Claerhout is not here.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u2	The Asian Infrastructure Investment Bank is an international financial institution founded by the People's Republic of China. Many see it as a competitor for the IMF, the World Bank and the Asian Development Bank. The United States openly criticises the AIIB, as they fear that the institution is a way to combat the American-Western influence on the world. Despite this criticism, the institution is extremely successful. It has both Asian and European members, including our neighbours. On 15 April 2015, the People's Republic of China announced the definitive list of founding members. Until 31 March 2015, countries could apply for membership. Many countries see this bank as an interesting financial and economic opportunity. For example, the Netherlands, France, the United Kingdom and Germany have applied to become founding members. These countries have now also been recognised. Belgium has so far shown no interest in the institution. It is one of the few European countries that is not yet a member. What impact could the AIIB have on the IMF, the World Bank and the Asian Development Bank? What is the impact of AllB at the moment? What can be the influence of AllB? Why has Belgium, unlike its neighbouring countries, not applied for membership? Can the fact that Belgium is not a member of the AIIB have a negative impact on us in the future?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u3	It is still a little too early to draw conclusions on the impact that the AIIB could have on the World Bank, the IMF and the Asian Development Bank. The statutes and the basic rules of the AIIB are still being negotiated fairly intensively. The Chinese authorities explicitly set out for the AIIB a dynamic of cooperation and complementarity with the other multilateral development banks, in particular with the World Bank and the Asian Development Bank. Any accession to the AIIB will therefore not affect our position in the IMF or in the World Bank. In the meantime, these institutions have expressed their positive views on membership of the AIIB on several occasions. The proposal for the establishment of the AIIB was made by the Chinese authorities in the margins of the Asia-Pacific Economic Cooperation Summit in Bali in October 2013. The bank was officially launched a year later by a group of purely Asian countries. In order to ensure smooth establishment, China has approached many countries directly. These are both Asian and non-Asian countries, including several European countries. However, Belgium was not approached in that first movement. The question of accession was addressed at European level in January 2015, without at that time leading to a consensus on a common position from Europe. Although Belgium was not approached directly, the government decided at the Council of Ministers about two weeks ago to apply to join the AIIB. That application was formally sent to the Chinese authorities during the past state visit. The fact that Belgium has not applied to become prospective founding member before the deadline has no impact on our relations with China or with the Asian continent in general. There is no doubt that Belgium and China have common interests. This has been confirmed again during the royal mission, which has just ended, and with the visit that the Chinese Prime Minister is currently bringing to our country.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u4	Mr President, I would like to thank the Minister for his reply.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u5	My question concerns the implementation of Parliamentary Committee Recommendation 85. When we heard Mr. Philipsen, he noted that recommendation 85 had not been implemented, while Mr. Crombez had said that it was being implemented during his self-assessment. I wanted to know, minister, whether parliamentary initiatives need to be taken or whether you intend to implement them and how.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u6	Mr Piedboef, in August 2012, discussions on a cooperation agreement with OLAF, the European Anti-Fraud Office, were unilaterally interrupted by OLAF at the last moment. You will find explanations in this regard in the Parliamentary Written Question No 66 put by Mr Dispa on 26 March 2015. In the new draft protocol received from OLAF in January 2014, any idea of reciprocity had been withdrawn and reference had been made only to the European Union's financial interest. OLAF has informed us that it is not prepared to renegotiate its version of the draft in order to return to a less unilateral formulation of the interests to be protected. The discussions thus failed. I can only note the lack of willingness shown by OLAF to achieve real cooperation. ISI and I, of course, regret that such a rich source of information is not available.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u7	Thank you, Minister. This is, of course, regrettable because it is one of the fundamental elements of this communication of information.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u8	Mr President, I have two other questions, but they will be very quick, since I sum them up and, in my opinion, the minister will not be able to answer them for long, do you agree, ladies and gentlemen?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u9	They agree, but you have to be very concise, Mr. Piedboef.
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u10	Mr President, Minister, a circular from the Grand Duchy of Luxembourg made recommendations to Luxembourg agents for their control. I am not aware of a Belgian circular on this subject. I'd like to know what's going on. Are we meeting the commitments made in the Gaichel agreements? My other question about these agreements concerns the increase of the Reynders Fund in the province of Luxembourg. When will the municipalities be able to receive information on the supplementary revenue in order to be able to incorporate it into their budgetary changes?
ParlaMint-BE_2015-06-30-54-commissie-ic202x.u11	Mr President, the agreement reached on 16 March 2014 was published on 23 March 2015 in the news of my department's website and is accessible to all. For the implementation of this agreement, the General Administration of Taxation has drafted a circular, also public, whose electronic dissemination via the Fisconetplus tax and legal database is launched today. For the practical questions raised, I can already inform you of the following. Leave days are not taken into account in assessing whether the 24-day threshold is met. This 24-day agreement is delegatory and therefore strictly applicable. Therefore, if the 24-day limit is exceeded by one day, the agreement does not apply. The 25 days spent outside Luxembourg therefore become taxable in Belgium. Belgian residents, as well as their colleagues resident in Luxembourg, can use telework. It goes without saying that these days of activities outside Luxembourg are included in the count of 24 days. As for the documents admissible to prove the worker's presence in one or the other State, my Luxembourg counterpart and I agreed on a vade mecum in the matter of evidence. Published at the same time as the text of the agreement itself, this vade mecum will also be attached to the circular. The foreign salary control action organised in 2014 by the General Tax Administration concerned taxpayers who declared a remuneration for employees of foreign origin and who requested exemption from it. Apart from employees employed in the Grand Duchy of Luxembourg, it targeted workers employed in another country bordering Belgium, namely the Netherlands, Germany and France, or in a country with which Belgium has not signed a preventive double taxation agreement. The total number of cases checked was 5,075, of which 2,584 concerned workers working in the Grand Duchy of Luxembourg, i.e. slightly more than half. With regard specifically to workers employed in the Grand Duchy of Luxembourg, of the 2,584 cases under investigation, 1,817 were closed without further action, given the information provided by the taxpayer in response to the request for information. The total amount of basic taxable supplements is €23,897,027 for the remaining 767 cases, an average of just over €31,000 per case. Thanks to this agreement, the amount of financial compensation which Luxembourg pays to Belgium for the financing of Belgian municipalities with a significant number of residents working in Luxembourg has been increased to EUR 30 million. This amount will apply from 2015 and will be reviewed at a three-yearly rate. The effect of this revision for each municipality concerned can only be communicated after the calculation of the additional municipal cents for the 2014 tax year. Payment will be made in December 2015, as in previous years.
