ParlaMint-ES_2015-06-17-CD150617.u1	The meeting was resumed.
ParlaMint-ES_2015-06-17-CD150617.u2	Questions addressed to the Government. Firstly, questions to the President of the Government. Question by Mrs Rosa Díez, Member of the Parliamentary Group, Union Progreso y Democracia.
ParlaMint-ES_2015-06-17-CD150617.u3	Thank you, President. The latest report of the International Monetary Fund on the Spanish economy ignores waste, ignores the insulting concentration of wealth, the growing differences in income distribution, the destruction of the middle class, the increase in poverty and inequality, and also calls for more taxes, less unemployment benefits, co-payment in health and education, less pensions and more ease to fire people. I ask you, Mr Rajoy, what recommendations from the International Monetary Fund will you take into account.
ParlaMint-ES_2015-06-17-CD150617.u4	Thank you, honourable Member. Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u5	Thank you very much, Mrs. Díez. The report of the International Monetary Fund which concerns our country and which we have met last week basically says three things. The first sets the growth forecast for Spain in the year we are, 2015, at 3.1; that is, we will grow, according to the International Monetary Fund, more than double the euro area average and more than the government's own forecast, which is 2.9. This is a very important fact because, as you know, we have been in negative economic growth for several years. Last year we grew 1.4 and, if this year we grew 3.1, it would certainly be a good thing. The second statement made by the International Monetary Fund is something that I do share, which is that reversing economic policy and the reforms that have been carried out can be a mistake and would affect the economic growth and job creation that is already taking place in our country. With regard to the third, the recommendations - which it makes to us as well as to the other countries on which it reports, that is to say to all - I have to say that they are those, recommendations. And they are only recommendations because Spain is a country that at a certain point knew how to avoid the rescue, if we were not in the same situation as other countries and that you know very well. We therefore read these recommendations carefully, because they sometimes say very reasonable things, but we fix our own road map, our own economic policy because we maintain our economic sovereignty, for the reasons I have said before, and that is what will take us this year to have a very important figure of economic growth and to have about 600,000 jobs created in our country, as we have said in the draft General Budgets of the State that we have presented here. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u6	Thank you very much, Mr President. Mrs. Díez.
ParlaMint-ES_2015-06-17-CD150617.u7	Indeed, Mr President, in relation to the statements of the International Monetary Fund, there are two parts: that of the reflection in which it recognizes that the growth of the Spanish economy, the recovery, is mainly due to exogenous factors, from change to our environment and above all to a very hard adjustment in jobs and wages. But I do not want to refer to that reflection, which we share - the adjustment of wages and jobs and external factors are fundamental when it comes to the recovery that began in 2014 - and what I want to refer to is precisely the recommendations, because our parliamentary group is afraid that you, of the recommendations, will choose the worst, the ones that are bad for the citizens. I ask you to choose from the recommendations some that are positive, that there are also positive ones, for example, to end the duality of the labour market, with what the International Monetary Fund calls inclusive growth. The fund - the same as Piketty, by the way, recently - defends the single indefinite contract, a good way to combat temporality since a very protective system, as you know, affects very few workers and condemns particularly young people to wait to an old age to benefit; a formula - that of the single indefinite contract - that involves a balance that avoids garbage contracts. There is another important recommendation: to support competitiveness and SMEs by eliminating all fiscal privileges, legal barriers, duplicate public spending and waste, something that this parliamentary group is also demanding, always with its position against. There is a third recommendation, which is also a positive recommendation that you could address: reducing over-indebtedness by demanding responsibility for past bad practices; for example, in the case of Bankia: yes, we have to rescue, but we have to demand responsibilities from those who behaved badly, those who are responsible for the crisis and, in addition, a real law that defends a second chance. That is just by quoting three of the recommendations made by the International Monetary Fund to you, to the Government of Spain, for the Spanish economy and which this parliamentary group has been asking here, in this House...
ParlaMint-ES_2015-06-17-CD150617.u8	Thank you, honourable Member. Mr. President.
ParlaMint-ES_2015-06-17-CD150617.u9	Thank you very much, Mrs. Díez. Indeed, there are some things in which we can agree with the International Monetary Fund and with you and others in which we do not. I am already telling you that I am not going to raise taxes, on the contrary, I am going to lower them: the income and corporate tax has already been lowered in this year 2015, which affects 12 million taxpayers, and the average decrease of the IRPF is 8.07; in 2016 there will be another new decrease of the IRPF and corporate tax and we will study, if the level of collection permits, new tax reductions. I agree with what you and the International Monetary Fund say about SMEs and competitiveness; it has been very important and an inspiring principle of our government action and that is why jobs are being created in our country at a very good pace. I agree with the control of public expenditure, I also agree with the control of debt and, in general, with what I agree with is maintaining a reformist policy that has managed to overcome the crisis, although we still have a lot to do because the great goal is that at the end of the next parliamentary term there will be in Spain... [[Applauds]]
ParlaMint-ES_2015-06-17-CD150617.u10	Thank you, Mr. President. - OF THE DEPUTATE OF CAYO LARA MOYA, OF IU'S PARLIAMENTARY GROUP, ICV-EUIA, CHA: THE PLURAL INVESTIGATION, WHICH FORMULATES THE PRESIDENT OF THE GOVERNMENT: DOES IT HAVE FORWARD TO FOLLOW THE IMF'S LAST RECOMMENDATIONS FOR OUR COUNTRY? [[File number 180/001345]]
ParlaMint-ES_2015-06-17-CD150617.u11	Question by Mr Cayo Lara, Member of the Plural Left.
ParlaMint-ES_2015-06-17-CD150617.u12	Thank you, Mr. President. Mr Rajoy, today that the Government is going to reshape, we have put the questions to you easily, this is the same as the previous one: do you plan to follow the latest recommendations of the International Monetary Fund for our country? Let's face it, we haven't agreed.
ParlaMint-ES_2015-06-17-CD150617.u13	Thank you, Mr. Lara. Mr. President.
