ParlaMint-NO_2007-12-13-upper.ana.ud1991e91	There is no record.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e105	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e121	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e137	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e153	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e169	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e185	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e201	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e217	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e233	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
ParlaMint-NO_2007-12-13-upper.ana.ud1991e250	No one has asked for the floor. The decision of the Odelsting is therefore endorsed by the Laging. The bill will be sent to the King in accordance with the Constitution.
