ParlaMint-BG_2015-11-26.u1	I'm opening the meeting. Mr. Hristov's procedure.
ParlaMint-BG_2015-11-26.u2	Madam President, ladies and gentlemen of the House! I am making a procedural proposal that point one of today's programme, namely the Law on the Conservation of Agricultural Land, become point two of our tomorrow's programme.
ParlaMint-BG_2015-11-26.u3	A reverse opinion? I won't. I'm voting on this procedural proposal. 140 MPs voted: 101, against 32, abstention 7. The motion is accepted. Let's continue with: FIRST VOICE OF THE LAW FOR CHANGE AND CLEARANCE OF THE LAW FOR ANIMAL TREATMENT. The reports were presented yesterday and the debate was opened. Here you are, Mr. Bayraktarov, for your speech.
ParlaMint-BG_2015-11-26.u4	Thank you, Madam President. Dear colleagues, as you know, yesterday's meeting ended with a procedure on my part so that today we could enter into a debate on this so urgent bill. It is right to remind you that the bill was submitted to the National Assembly on November 23rd at the end of the working day. On 24 November, the Committee on Agriculture and Food was convened urgently, and at the 25th session yesterday, our bill was presented for consideration. First of all, the question arises: what is so urgent about this bill that such a desperate hurry? And second of all, what is the Bill itself? I'd call it a masterpiece. Secondly, I would call it a mockery of the MPs. To find out what this is about, I will give you a few concrete examples in the Bill itself. First of all, in the so-called 20-page project, art. is created. 8a, through which follow-up control (verification) must be carried out, someone clearly doesn't even know what the word and term verification............................................................................................................................................................................................................................................... Here immediately arises the first interesting question: who will carry out this ex post control of the state veterinarians, the so-called inspectorates and the so-called experts? Who? How and by what criteria? But then there's something even more interesting. In Article 4 (1) (b), point (c) is replaced by the following: 26 of the Act in force in some strange way is abolished para. 1 which actually treats what this miracle veterinary establishment is. Even more interesting colleagues is that veterinary establishments with the next amendment are defined under art. 25, para. 1. And now pay attention to what art. 25, para. One! I read it to you verbatim with the adjustments that are offered to us: "Search doctors can practice veterinary practice in a veterinary institution if they are entered in the register under art. 32 and members of the Bulgarian Veterinary Union. I'm asking you to see here somewhere a definition of a veterinary establishment under art. 25? Answer what is a veterinary establishment? I won't. They stay somewhere in the nothingness. And where and how the veterinarians will carry out their activities, the question remains open. But we're moving on. In Article 4 (1) (b), point (c) is replaced by the following: 27 The requirement for professional experience of a person who can be the manager of a veterinary institution is removed, and this professional experience under the current Law should be three years, which is absolutely normal. One person who will be responsible for human health in the first place, for dangerous diseases on animals, of course, should have such experience. However, Article 27 is removed, there remains an incredible confusion, as when registering a veterinary establishment, which we no longer know what it means, in art. 30, para. 2, p. 2 It is required to present the professional experience of the manager who will hold this position. Now tell me: once is not required, twice is required?! What should these individuals do to register such a veterinary establishment? So to speak, the masterpiece becomes total. But let's move on. The confusion becomes totally in art. 30, para. 4 where the Director of the Regional Food Safety Directorate within three days of the submission of the application determines by an order a commission which checks the submitted documents and compliance of the site referred to in the application with the veterinary requirements laid down by a regulation under art. 26, para. 2. Given that the same Article.................................................................................................. 2, it is already written, I read to you verbatim:..Requirements to the veterinary establishment under art. 25, para. One, and there, as you have found out, there is no mention of what the veterinary institution means at all, as well as the type and volume of animal health activity that can be carried out in it, as well as the requirements for good animal health practice, are defined. The question arises: which of all regulations will the Director of the Regional Food Safety Directorate perform a check? Which one? If anyone can answer me, I will be extremely pleased. How will he check the veterinary establishment after the cancellation of para. 1 in art. 26 We no longer know what a veterinary establishment is? In fact, you will need to check some unidentified object which the importer himself has already deleted through the cancellation of art. 26, para. 1. From here I can safely conclude that quick work is a shame to the master. I appeal to my colleagues from the Committee on Agriculture and these nine colleagues who voted with the........ for the adoption of this Bill without the most likely to read it at all that no such exercises should be done at any other time. Moreover: we have not heard the opinions, I have not been able to find written opinions from the professionally involved people in this activity, the veterinarians who have to take care of us. I will not ask you to cancel the list on which preventive action is to be carried out on dangerous diseases. Should I remind you, colleagues, that only in the last four years Bulgaria and Bulgarian livestock farmers have been put to extreme horror? First outbreak of foot-and-mouth disease, second outbreak of foot-and-mouth disease, third epidemic of blue tongue. And all this was because of the fact that the requirements of art. 118 for prevention. And all of a sudden, this thing is out of this law?! We will no longer prevent the Bulgarian people and Bulgarian livestock farmers from such dangerous phenomena, called in professional language epizots! So what do we do? What do we accept? Some beautiful words in the motives of two pages, marked in 14 points for something supposedly nice and at the same time we practically place the entire livestock sector in the inability to carry out prevention. I'm not going to pay attention to the fact that at some point a single laboratory, as it has so far, will be able to test the blood samples. By the time these blood samples come out, half the animals will already be thrashed by foot-and-mouth disease, blue tongue. Is that what we're supposed to accept? Personally, I cannot support this Bill at first reading. I pay attention to those who have done it, withdraw it and write it the way they should write it. Once again, the way this Law of Members of the National Assembly has been introduced is, first of all, a mockery of the Members of the National Assembly. Secondly, it actually makes a Frankenstein who can in no way serve animal health, protect Bulgarian livestock farmers, and, most importantly, protect the health of the Bulgarian people, which is now a matter of national security. Thank you for your attention.
ParlaMint-BG_2015-11-26.u5	Replices to Mr. Bayraktarov? To speak, Mr. Bojinov.
ParlaMint-BG_2015-11-26.u6	Dear Madam President, honourable Members of the National Assembly! Members of my parliamentary group, members of the Committee on Agriculture and Food, did not support this bill at first reading, and the entire parliamentary group will not support it in plenary. What is most important to us and justifies our position? I will not dwell on a number of specific shortcomings and omissions from the Bill, as the previous Member of the National Assembly, but will summarize that we are building our position on our own experts and on the opinions provided by the management of the National Council of the Bulgarian Veterinary Union, as well as the other opinions of the stakeholders in the settlement of public relations in this vital sphere, provided to the Members of the National Council of the Bulgarian Veterinary Union. What's the most important thing? The most important thing is that in the course of the preparation for more than six months no expert agreement has been reached on this amendment to the Law whether it corresponds to the absolutely necessary amendments to the current Law. The current law is assessed as a law that must be replaced by a whole new law, because the law adopted in 2013 has led to chaos and serious problems. The proposed bill does not respond to the need to overcome this chaos and to better resolve the issues that exist in this area. Only this conclusion of the experts is enough not to support the Bill at first reading. I will only address two points that my colleague has also addressed with a slightly different interpretation. Who's one of the first problems? The problem is the principle question: can the person performing the activity have control functions over the activity and other entities who are called on to carry out the veterinary work? In principle, this division is mandatory. It is not achieved to the desired extent, and with the amendments to § 2 and 3 of the Project, it creates even greater ambiguity and the problems that arise in the expert opinions that I have spoken of, this is very serious. As regards the withdrawal of that paragraph from the current law which regulates certain types of veterinary establishments, the importer must have some grounds. Because so regulated fixed veterinary establishments act and now perform their functions. Perhaps the importer means, by abolishing the current definition of veterinary institutions, to create the possibility by regulatory acts to introduce the so-called mobile veterinarians, by which there may be a reason for the aid to move closer to the site of the herd, to the farm and so on, but that is not in the reasons. And when there is not going to be a regulation in the Law, and there will also be an opportunity to be decided by a legislative act, for good reason the people who practice this profession are afraid, afraid for their investments and for the deterioration of the service which farmers themselves deserve and who guarantee the prevention and better relations between veterinary staff and livestock farmers themselves. Just so that it is, and what my colleague before me said, the importer must conclude that if the assessment of the proposed amendment of the Law is that it does not meet the public need, it does not overcome the shortcomings of the current Law, whatever the reasons that we have heard briefly in the Commission, and they were that the prevention will be improved, that the financing will be optimized, that the interaction between farmers and veterinarians will be improved, even if they had such intentions, it is obvious that the proposed text does not overcome these shortcomings. I'll say one more thing. For those 40 minutes, in which we watched the Bill in the Commission, because it was in a hurry, even if the importers had serious arguments to answer us, they had neither the time nor the opportunity to do so. I call them if they have arguments of their country, let them stand here in front of the Chamber and respond to what I have said, to what my colleague before me has spoken, and to what the experts of the health care professionals point out in their opinion. Let there be one such debate and if they have the power to convince us to respond, vote positively. But if they do not, let us show that this type of law should not and cannot be adopted in plenary. Thank you.
ParlaMint-BG_2015-11-26.u7	Any lines to Mr. Bojinov? I won't. Any other MPs? Here you go, Mr. Christov.
ParlaMint-BG_2015-11-26.u8	Thank you, Madam President. Madam President, ladies and gentlemen! The Reformation Block Parliamentary Group will support the proposed Draft Law on Amendment and Supplement to the Veterinary Activity Act. I very much agree with the criticisms that have been made regarding the period of discussion of the Bill, but I would like to remind you that it has been discussed, discussed, consulted for more than six months and, ultimately, an option has been proposed, which has been reviewed by the Committee on Agriculture and Food. In closing my speech, I will make a procedural proposal to extend the period between the first and second votes in order to take into account all the proposals made by the branch organisations, which, by the way, have entered the Agriculture Commission in time and were allocated to the MPs. It's a very specific subject. I would not say that I am the specialist who can comment in detail on everything written in the Law, but rushing is related to the idea of starting the new year with new rules, with new regulations to ease the activities of Bulgarian livestock farmers, to ease the activities of the Food Safety Agency and to make a better control body. In this regard, I call for us to be specific in our proposals and let us between the first and second votes take them to the Commission. The Commission will sit openly, as always, and we will discuss them and they can find a place in plenary for a second vote. I am making two procedural proposals, Madam President. The first proposal is to be admitted to the Chamber Mr. Evgeni Macaveev. Secretary-General of the Bulgarian Food Safety Agency and Anita Pashova.
ParlaMint-BG_2015-11-26.u9	I shall put to the vote the procedural proposal for admission to plenary. Vote 113 MPs: 97 against 8, abstention 8. The motion is accepted. The Quaestors, invite the guests. Replies to Mr. Hristov's statement? I won't. For speech Prof. Stankov, we're listening.
ParlaMint-BG_2015-11-26.u10	Dear Madam President, honourable Members of the National Assembly! The bill proposed at first reading to amend and supplement the Animal Health Act has been long expected and is essential. I agree with all those notes that were made in advance. I'll say in advance that I'm joining most of them, but I'll say there are a few positive things. And I'm going to say a few flaws that need to be considered. What is positive about this bill is that changes in the legal and legal framework of the European Union are reflected, which is important. Some poorly working texts of the Animal Health Act are being updated. It is positive for me, which is not accepted and in the Commission was the same, and in the proposals that are being made by the word organizations, is the dropping of the three-year internship limit for acquiring the right to open a management of a veterinary institution, for which we, the people who are preparing the staff for veterinary medicine, for practice, have long insisted that this should happen and that this discriminatory restriction should be removed. So we support it, despite the objections of the word organizations. We believe that another important positive proposal that comes into this Bill and I very much welcome is the preparation of a state preventive programme, and that is most important perhaps in this Law, for three years to come. So far it's been year to year, which has created problems with public procurement, with the provision of vaccines and diagnostics. It is also positive that sanctions for the uncontrolled cultivation of productive animals and pets are being increased. But there are a few things here that need to be added. Those who allow free movement of animals must surely be sanctioned. This is what we have proposed in another bill, which will soon pass at second reading. Because, especially, pets are everywhere, they are on playgrounds, on grasslands, and they carry a number of diseases. There are proposals that are disturbing and insufficiently justified. It is noticed that many undertakings are being burdened by practitioners of veterinarians and that civil servants from municipal and regional food safety services are being unloaded. I think there should be some adjustments here, because what is proposed can hardly be implemented by private veterinarians. The bill proposes that some of the preventive programmes be implemented by civil servants. This has already been said, it is absolutely illogical and unacceptable for people who exercise control to carry out these activities, which they must then control themselves. This must definitely be dismissed. It is in selection and reproduction, and it is extremely unacceptable. It is impossible to implement the envisaged deadline for entering the data into the information system. Forty-eight hours are required to register newborn animals. So many hours are also required for the slaughtered, for the dead animals. Conscious organizations offer seven days. This is the right thing to do, and it needs to be put in the Project. It is with great question mark that there is an obligation for veterinarians to visit establishments at least once every two months. There are two sides to this problem here. One is that if they visit every two months, the likelihood of finding diseases and taking measures is much greater, which is positive. But the question arises: who will pay? Because that's not definitely the thing that needs to be solved. Why is it necessary, when there is no problem, that practitioners who are already very busy visiting farms? And this is stress for animals, because many other things are also required to check animal numbers, which should not happen in two months. For me, it is completely absurd the mandatory introduction of shepherding. I have also said on other occasions that there is no such phenomenon in Europe and in normal countries, especially where there is parcel grazing. And we're going to introduce this as an obligation for all livestock farmers?! This can be done for small herds, for rural herds that are combined, but for real farming it is absolutely unacceptable and pointless. In the Bill very little attention is paid to the preventive measures. That is what some of the colleagues and preventive events said. There are very serious problems in veterinary medicine, colleagues who are not the subject of this bill. It is necessary to restore the disinfection, disinsecting and deratization system. Under current legislation, veterinarians are not allowed to make disinfection companies. And you see what happened to mosquitos, parasites, blue tongue. This is permissible only for humane doctors, so this is something that should be given as a right to both veterinary services and practitioners to organise such companies. It's a serious problem with the elevators. Since the 16th era in 1990, there have been only two remaining in the Northeastern Bulgaria in Shumen and in Varna. Imagine the contagious sick animals that have to go from Blagoevgrad and go to these scenes, isn't it spreading the disease? This is what needs to be reconsidered and we really need to solve this problem because it is a very serious, very big problem. It is essential to create a Fund that has existed for 100 years and has been closed in 1999. This is very necessary and must be urgently decided. There must be a reserve fund when animals are killed, payments must be made as quickly as possible, because the owners suffer all these damages, and not always they are responsible for it. So this Fund can help precisely timely payments, as it has been many years in advance. In veterinary medicine it is essential and this should be taken into account for integration. First of all, integration between the two organizations between private practitioners and the state. This pointless confrontation and this front is high time to stop, to avoid. This is far from the attention of those who exercise the profession, but it is extremely important. Because Europe wants to communicate with an organization. Then the preventive problems and control and everything else will be solved. So this is important. One integration between the word organizations of veterinarians and veterinary faculties, because there is equipment in the Central Institute, but there are no specialists, and there are specialists in the faculties, but there are no equipment. We need to integrate all these activities and indeed we need to make a working law. I've been thinking a lot about whether to abstain or support the bill. But given that there are several things that are urgent and need to be resolved, and the other I have made a connection with the Faculty and with people who are relevant to these problems, and they have asked me to support this bill, while making all these adjustments which Mr. Hristov proposed. So I propose that we support the bill, despite its many shortcomings and imperfections. Thank you for your attention.
ParlaMint-BG_2015-11-26.u11	Thank you, Professor. Stankov. - What's the line? I won't. To speak, Mrs. Sultanka Petrova.
