ParlaMint-NO_2010-04-21.ana.ud1911e26	The representative, Rigmor Andersen Eide, will present a proposal for a representative.
ParlaMint-NO_2010-04-21.ana.ud1911e29	On behalf of the representatives Line Henriette Hämdal, Hans Olav Syversen and I signed a proposal for a better framework for companies engaged in re-use and repair.
ParlaMint-NO_2010-04-21.ana.ud1911e34	The representative, Mr Träldal, will put forward a proposal for a representative.
ParlaMint-NO_2010-04-21.ana.ud1911e37	I would like, on behalf of the representatives of Harald T. Nesvik, Per Roald Bredvold, to promote a proposal for a representative to terminate the main agreement on agriculture.
ParlaMint-NO_2010-04-21.ana.ud1911e42	The representative of Mr Harald T. Nesvik will put forward two proposals for representatives.
ParlaMint-NO_2010-04-21.ana.ud1911e45	I would like to put forward two representative proposals, first on behalf of the representatives of Torgeir Tåldal, Per Roar Bredvold, Oskar Jarle Grimstad and signed to repeal the regulation on national policy provisions for purchasing centres. Then I would like to propose a representative proposal from the representatives of Jan-Henrik Fredriksen, Bård Hoksrud and myself to remove airport charges in connection with the volcanic eruption in Iceland. I ask that this proposal be dealt with in accordance with Section 28(c) of the Rules of Procedure on urgent procedure.
ParlaMint-NO_2010-04-21.ana.ud1911e52	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2010-04-21.ana.ud1911e74	On Monday, the Stortinget received a message from the Prime Minister's office that Prime Minister Jens Stoltenberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. - No one's getting up. We then start with the first main questions, from the representative, Siv Jensen.
ParlaMint-NO_2010-04-21.ana.ud1911e83	We have been able to read in various media that the Prime Minister has been whistling across Europe by car. I hope that, in addition to twittering, he had time to look up and take in the magnificent road standard that very many of our neighbouring countries have, and that the Prime Minister might also have a lack of conscience when he saw this road standard and perhaps tried to compare it with the Norwegian one, which he probably noticed when he crossed the border into Norway. While the Prime Minister was out driving in Europe, I spent time around Norway. I've driven uphill. 7 in Hallingdal, and I've been driving around on roads and ferries in the moors and the valley of Rome. I've been talking to the users of these services and listening to the ever-increasing frustration many of them have. Therefore, I would like to challenge the Prime Minister to what extent he is satisfied with what the Government has done and plans to do, in terms of Norwegian infrastructure construction, both in the five years of the government, and in the years that they are likely to have ahead of them. But instead of getting the customary boast response we're familiar with, namely that the government is so violent in the NTP, that they're usually a lot better than previous governments, I'd rather ask the Prime Minister: is he satisfied with what the government calls an offensive bet, which basically boils down to the following: construction of 12 km of highway in 2010 and construction of 9 km of middle parts? That's what the government calls a violent bet. So 12 kilometers is a smaller distance than Sandvika.
ParlaMint-NO_2010-04-21.ana.ud1911e90	I can confirm that I have been driving a car through Europe for several days. It was – what to say – an experience. I can also confirm that I used the time to tweet, as well as to communicate with my friends on Facebook. I would like to thank everyone for their responses, feedback and compassion through the trip. I'm going to keep going, because I like to get care and attention. In addition, I've lifted my eyes several times during the trip and looked at the roads, and what I've seen in Europe then, is varying road standards – somewhere very good, somewhere pretty bad, somewhere pretty wide, nice roads, somewhere else highways, but in some places also actually quite worn-down motorways, with lots of bumps, and – what do we say – varying standard. I followed closely when I crossed the border with Norway, because there were several of the tweeters who said that now you have to follow – and I followed along. Well, the last kilometers in Sweden was a bad road, and then we came to Norway, and there was a wide four-field new highway. I registered it, sent out a message, and got varying reactions to that message! [[Laughter]] But that's the truth, and the truth is that we've invested heavily in motorways, especially in the east. We now have more motorway than ever. Over the last four-year period, we've opened 168 kilometers by four-field road, and that means it's now becoming a four-field highway from Svinesund down to Larvik, we're starting to build into Telemark and we're opening down towards Kristiansand, and we're headed towards Hamar. We're not satisfied with that, but we're proud of the effort, and we've presented a plan that means significantly increased road effort. I understand that the representative Jensen does not like to hear that we are spending more money on the road now than ever, because under the previous government, supported by Jensen, much less was spent on the road than we are doing today. I'm proud of this.
ParlaMint-NO_2010-04-21.ana.ud1911e97	I note that the Prime Minister has a slightly different perception of reality than those who are constantly travelling on Norwegian roads, and I think it is especially that he thinks that a bet of 12 kilometres of motorway construction in 2010 is good. But I want to challenge a little bit further, because the consequences of the ash clouds from Iceland we now see in their full moon. That means that very much of the transport work is shifted over on the road, on the railway, and what we discover, in addition to the general frustration that we have in everyday life, is, of course, how vulnerable we are in these kinds of situations. We see that our preparedness is fragile, reasonably inadequate, and that shows that we haven't really invested enough, so that we also get much bigger problems in vulnerable periods because we have to move around on the preparedness we already have. It is a serious issue, which I would like the Prime Minister to say something about.
