ParlaMint-BE_2019-01-17-54-plenair-ip266x.u1	The meeting is open. The meeting was opened.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u2	In accordance with the opinion of the Conference of Presidents of 16 January 2019, I propose that the agenda for this afternoon start with the oral questions. In accordance with the opinion of the Conference of Presidents of 16 January 2019, I propose that you start this afternoon's agenda with the oral questions. Are you sure you don't mind? [[No.]] Thus shall be done. No observation? [[No]] That will be the case.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u3	Mr President, I had put a question to the Prime Minister about the demonstration of 15 000 pupils today on the streets of Brussels for a different climate. There is a sense of urgency and there is a need for a thorough debate. Prime Minister, you answered questions about the demonstration of 75 000 people three weeks ago. I really don't understand why you're doing it today, apparently, because students don't think they need to just answer, while you're here in Parliament, what you're going to change about climate policy in Belgium. You are here, you can answer my question, but you refuse to do so. I cannot accept that, Prime Minister. I would ask you, Mr President, to have the Prime Minister answer my question today, technically speaking.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u4	I will answer you technically, Mr Hedebouw. The answer to that question will be given by the Minister for Energy, Mrs Marghem. That answer binds, as usual, the entire government. What she says, she says also with regard to the pupils, with the full weight of the government. I suggest that we proceed with the order of the day.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u5	Mr President, the Prime Minister replied to questions about the three weeks ago demonstration. The debate is not just about Mrs Marghem's powers. It is also about SNCB and about international politics. So the Prime Minister could also reply today, as he did three weeks ago.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u6	I repeat to you that the government, even if it has resigned, is one and indivisible.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u7	Mr. President, Prime Minister, hard or soft Brexit? That's definitely one big question. But the main question, Prime Minister, is: which Europe tomorrow? This issue is more relevant than ever after the British Parliament rejected the EU withdrawal agreement negotiated between Mrs Theresa May and the Twenty-Seven. Everyone can realize, if necessary, that getting out of the political project of the European Union is a perilous adventure. Our political, legal, but also human, economic and geographical ties are very important; let alone our common core values. Whatever the outcome will be by 29 March, it is a matter of preparing for the future. A dual mission is given to you: to protect our interests, but also to relaunch the European project which has failed, under the blows of the Eurosceptic forces, like those unfortunately printed by your government Michel I. It is therefore up to you, Prime Minister, to ensure that all actors work together to protect us against the negative consequences of a no-deal for our economy, our SMEs, our universities, our nationals, our researchers, our jobs – more than 40,000 jobs are involved, should we point out? – but also our administrations and standards. It is also up to you, on behalf of Belgium, to relaunch a European Union focused on the concerns of its citizens and not on purely accounting rules. Prime Minister, what concrete steps do you intend to take to prepare our country, its administrations and its businesses for the consequences of a hard or soft Brexit? What position will you take in the European Council in these different cases, in particular in connection with the recent statements by Mr Michel Barnier?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u8	Prime Minister, over the last few days, the Brexit has not been removed from the news, fortunately. After all, if there is something that will have a very strong impact on our future and prosperity in the short term, then it is the Brexit. I am thinking not only of the miles of congestion that will arise at our borders, but also, and above all, of the many additional rules and controls, the rising prices, the jobs that can be lost and the uncertainty for the companies and for the many Belgians who have been living in the United Kingdom for years. Since the British Parliament rejected the agreements with Europe, a hard Brexit seems more likely than ever. So we no longer have the time and luxury to muddle and wait and see which direction it will go. Our neighbouring countries are already preparing for the worst: The Netherlands has recruited almost a thousand extra customs officers and in France the government now has special powers of attorney, so that it can act quickly when a hard Brexit comes. In our country, of course, there is a difficult political situation with a minority government. That is not what you wanted, Prime Minister, or what I wanted, but it is because one of our partners left. In any case, it means that we do not now have the strength we need at times like these, because if we want to secure our jobs, our prosperity and our businesses, then we must be able to act quickly and decisively. I am therefore pleased, Prime Minister, that you and your government are taking responsibility for working on an emergency law. In doing so, we will need to show sufficient reasonableness and common sense in order to best combat the risks posed by the Brexit. My question is therefore brief and simple: what is our plan of action?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u9	Mr President, Prime Minister, Theresa May failed to get her deal with the EU approved by the British Parliament on Tuesday evening. Nor does it appear that this will happen in the short term, even if there is an alternative proposal on the table. The urge for absolute sovereignty, which we have heard echoing in this hemisphere in recent weeks, has ended in complete chaos. A no deal seems more and more likely. It's only logical, Prime Minister, that you and your government should move up a gear. Of the Belgian companies that export to Britain today, only 20% are prepared administratively to continue exporting after the Brexit. It is therefore essential that we continue to approach our businesses proactively and that we continue to help them. In particular, we must continue to help our SMEs, who usually do not have enough resources and knowledge. Your government has acted proactively. After a meeting with the representatives of Belgian companies, Minister De Croo published a Brexit list. It was also decided to recruit 245 additional customs officers, on top of the additional 141 that had already been promised. The companies that export to Great Britain today have already been proactively given a customs number. So it looks like we on our side of the Channel are doing our job and preparing ourselves for that hard Brexit. If we continue to make a mess of things on the other side of the Channel, then we must be very concerned. We saw a small-scale test with rows of trucks in Dover a few weeks ago. It was all in the soup there. So this doesn't promise much good. Prime Minister, I have the following questions. What additional initiatives and actions can we expect from your government to respond to the questions of our Belgian companies? What is the outcome of the Brexit debate in the United Kingdom? Will they be prepared for a hard Brexit there?
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u10	Mr Prime Minister, ladies and gentlemen, our group will take a constructive approach to the problems once again raised by the poor administration of this government in our country. The assignment for which you are standing is to find a solution for the mess of Van Overtveldt. A soft Brexit required three hundred additional officials, a hard Brexit four hundred officials. In Van Overtveldt's planning 141 new customs officials were provided. There are 71 of them. Prime Minister, how are you going to deal with the problems caused by Van Overtveldt? Then there's Ducarme's mess, too. A soft Brexit required sixty new veterinarians, a hard Brexit undoubtedly a lot more. Can you tell me how many veterinarians have been recruited for animal control? There's also Muyters' mess. I am not saying that, because the President of Alfaport said on television this week that the big companies in Flanders are prepared, but the small ones are not. I now turn to Minister Peeters of Economy. What is this government going to do to bring small and medium-sized enterprises through this difficult period? Another point I would like to touch here is the fact that the Socialists are very concerned. We are very concerned because we see that a British strategy is gradually developing with the maximum possible entry into the European internal market of 450 million inhabitants, but with as little burden as possible. We fear that in the short term we will face a Singapore in the North Sea, particularly unfair competition from the United Kingdom, where we will be producing under very favourable fiscal conditions. Corporate taxes will go down, social protection will go down, environmental protection will go down, with a very negative impact on the progress we can make in these three areas: taxation, social affairs and the environment in Europe. I therefore ask you, Prime Minister, to ensure that we do not go below the minimum threshold for taxation, social protection and the environment. If we receive these guarantees, we are prepared to cooperate with your emergency legislation.
ParlaMint-BE_2019-01-17-54-plenair-ip266x.u11	Mr President, Prime Minister, Minister, ladies and gentlemen, as was said on Tuesday evening, the House of Commons rejected the agreement that had been reached with the other 27 European member countries for an organized exit from the United Kingdom. One last chance remains in Theresa May, this Monday night, to convince his deputies. The press also said that the deadline of 29 March could possibly be postponed. But for that to happen, the other 27 countries would have to agree unanimously. The United Kingdom is the fifth largest economy in the world and Belgium's fourth largest trading partner. More than 25 000 Belgian companies export annually to the United Kingdom. If we look at the agri-food sector, for example, it is an export turnover of 2.7 billion a year, or 10% of the export of this sector. These figures are on the rise every year. Mr Prime Minister, in the face of an increasingly certain no deal, what steps could be taken to counter the negative effects of this no deal on our economies, on our Belgian economy? Would it be possible to involve our regions? Is there anything planned with our other European partners? How can we help our businesses both administratively and financially, because it is more than likely that they will be faced very quickly with customs formalities and taxes to be paid to export to the United Kingdom? Nor should we forget the phytosanitary standards for the agri-food sector. Finally, Mr Prime Minister, what steps could be taken to secure European funds for the countries most affected by this no deal?
