ParlaMint-NL_2016-07-07-tweedekamer-56.u1	I welcome the Secretary of State for Social Affairs and Employment.
ParlaMint-NL_2016-07-07-tweedekamer-56.u2	Mr. Chairman. I have three motions. The first one I had arrested earlier, but it had already expired, so I have to re-apply it, because that seems to be the procedure. She's on the practice route. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas determination of the reduced wage value of people with disabilities using validated methods is carried out in practice in the workplace;]] [[Whereas in this way it is possible to establish in practice whether someone falls within the target group of the job agreement;]] [[noting that the social partners in De Werkkamer are discussing the introduction of such a practical route;]] [[calls on the Government to allow a practical route for determining reduced wage values, in which De Werk floor and municipalities cooperate, allowing this group to join the target register for the job appointment,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schouten and Mr Pieter Heerma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-21]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u3	The second motion concerns the location of the purchase of services. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, according to Berenschot's opinion, employers should only include services which they purchase from labour restrictions for the employment agreement if the work takes place at that employer's location;]] [[Whereas this unduly restricts the procurement of services;]] [[further considering that it is not possible for some companies to take these services on site, for example because of strict safety protocols;]] [[calls on the government to include the purchase of services for the job appointment if the work is not done on site with the client,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schouten and Mr Pieter Heerma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-22]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u4	Finally, at the end of the day I announced the motion on the date on which the measurement was sent to the House of Representatives. I have tried to formulate it so sec, but also as clearly as possible, so that there can really be no ambiguity about it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[invites the government, on 12 July 2016, to send the one-measurement of the employment agreement (i.e. government and business realisation figures) to the Chamber,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Schouten, Mr Koşer Kaya, Mr Voortman, Mr Pieter Heerma and Mr Karabulut.]] [[She's getting No. kst-34352-23]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u5	Mr. Chairman. I have four motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the intention of the Cabinet to suspend the re-employment requirement for sheltered workshops;]] [[noting that the removal of the re-employment condition leads to fewer jobs for people with disabilities;]] [[Calls on the Government not to suspend the re-usage condition in 2016;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-24]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u6	My second motion concerns the realisation of sheltered workplaces. It is a good thing that this is going to be laid down in the law, but the Secretary of State has to release the necessary resources for that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the intention of the Cabinet to legally anchor sheltered work;]] [[calls on the Government to release the necessary resources for the realisation of 30,000 sheltered workplaces,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-25]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u7	If we want to maintain the infrastructure for labour restrictions at all, we ask the Secretary of State to carry out the ESC opinion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering the SER exploration Social infrastructure for vulnerable groups within the Participation Act;]] [[Calls on the Government, the short-term concerns and recommendations from the Exploratory Social Infrastructure for Vulnerable Groups to be incorporated into the Participation Act and to present an implementation plan for the 2017 Budget Treatment,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-26]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u8	Finally. The great promise was that everyone, including young disabled people, would get a job and progress. However, thousands of young disabled people are currently receiving assistance. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, since the introduction of the Participation Act, young people with reduced working hours have been given assistance without being entitled to a job coach or guidance;]] [[calls on the Government to give all young people with disabilities an individual right to guidance and job coaching,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-27]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u9	This would be the least the Secretary of State could do after taking away a lot of rights from this group.
ParlaMint-NL_2016-07-07-tweedekamer-56.u10	Mr. Chairman. I have two motions for resolutions, and I will immediately submit them, because we do not have that much time. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas in practice it is possible to determine whether someone is covered by the target group;]] [[Whereas municipalities retain the policy freedom for renewal from the original objective of the Participation Act in order to create more opportunities for this vulnerable target group in cooperation with employers and other parties;]] [[calls on the Government to provide a similar practical route for new sheltered work, with working floors and municipalities working together, which will enable it to establish in practice whether someone is part of the sheltered work target group,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Koşer Kaya and Mr Pieter Heerma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-28]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u11	And then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the matching of candidates and employers is too slow and too passive, parties come with too few suitable candidates, do not have a good idea of the skills of their candidates, but also of the employer's wishes;]] [[Whereas the target group register is still not up-to-date;]] [[calls on the government to make every effort to update the target group register as soon as possible, so that successful matching can be achieved between candidate and employer, and to inform the Social Affairs Committee for the Budgetary Treatment,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Koşer Kaya. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-29]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u12	Finally, experiment in assistance. That's what we asked for. It's still a big problem. The Secretary of State said that January 1st is not being reached, while the municipalities are eager to do it. Mrs Voortman will table a motion on this, and I have co-signed it.
ParlaMint-NL_2016-07-07-tweedekamer-56.u13	Thank you. Then I would like to give the floor immediately to Mrs Voortman.
ParlaMint-NL_2016-07-07-tweedekamer-56.u14	Mr. Chairman. In general consultation we discussed, among other things, the experiments in assistance. Municipalities want that as of 1 January 2017, the VNG wants that, the State Secretary wants that and a majority of the Lower House wants that. However, there are bumps that need to be taken, because an AMvB needs to be established. We are one of those bumps ourselves, because we have to deal with this General Measure as soon as possible. That is why I have tabled a motion, which I read out. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that municipalities want to help people to work with the Participation Act, thereby exploiting the experimental space described in Article 83;]] [[having noted that a number of municipalities have been preparing these experiments for some time in close coordination with the Ministry of Social Affairs and Employment;]] [[Whereas municipalities have a desire to start from 1 January 2017 and the Secretary of State has previously promised to make this possible;]] [[points out that it intends to enable experiments in the Participation Act as from 1 January 2017;]] [[calls on the Government to send the General Measure of Management to the Chamber as soon as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Voortman, Mr Koşer Kaya and Mr Karabulut. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-30]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u15	Mr. Chairman. In March I tabled a motion on the transferability of the quota when purchasing from social enterprises. That motion was held at the time. We have discussed it again in two bodies in a general discussion. I modified the motion a little bit. It now reads as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas transferability of the purchasing quota from social enterprises can make a good contribution to employment for people with a distance from the labour market;]] [[Whereas the Socialer Entrepreneurship Performance ladder provides the opportunity to shape this in a practical way;]] [[calls on the Government to ensure that pilots are launched in the short term in order to transfer procurement to companies with the highest step on the PCA,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Pieter Heerma and Mr Schouten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-31]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u16	Mr. Chairman. A while ago, we arranged for pupils from special secondary education to enter the so-called "target group register" so that the chances of their internship during their training would be increased to a real job. I have repeatedly argued in several general consultations that automatic inclusion in the target group register should also be possible for pupils of practical education. That is why I have tabled a motion, the co-signed by Mrs Nijkerken-de-Haan. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas former pupils in practical education have a vulnerable position on the labour market and it is important to improve that position;]] [[Whereas there is a considerable risk that the internship of trainees from practical education with an employer will be transformed into a job after obtaining a diploma if such a job counts as a guarantee job under the Job Agreement Act and quota of labour restrictions;]] [[calls on the Government to make it possible, as soon as possible, for pupils from practical education to be automatically included in the so-called 'target group register', as has happened in the case of pupils from secondary special education, i.e. without assessment;]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kerstens and Mr Nijkerken-de Haan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34352-32]]
ParlaMint-NL_2016-07-07-tweedekamer-56.u17	Mr Kerstens was the last speaker on the side of the Chamber. I shall suspend briefly so that the Secretary of State has all the motions before she gives an opinion on them.
ParlaMint-NL_2016-07-07-tweedekamer-56.u18	Mr. Chairman. I thank the members of the Chamber. I'll start with the motion in part No. 21 by Mrs Schouten. It is actually asking for the practical route to be made possible with immediate effect. We talked about that in our AO. I've agreed with the partners in The Workroom that we're running three pilots. They'll be ready by the end of September. Then we'll see if the practice route can be discussed there. I am preparing the legislation in advance, but I must advise against making this possible immediately. Then I come to the motion on part No. 22 on the location of the purchase of the services. I have asked De Werkkamer for advice and I am talking to social partners and the implementing agencies about purchasing services. The suggestions I have received from various quarters about how we can count on the purchase of services have been brought to these parties. I can't anticipate that. I await the advice of the parties in The Work Room. That's why I have to discourage the motion on location. Mrs Schouten knows, however, that I, of course, also placed that location at De Werkkamer. I shall then come to the motion on part No. 23, about the date on which we can expect the one-measurement. I am committed to reliable figures on that point. I know this applies to the Chamber, too. The chairman of the board of directors of the UWV confirmed again this afternoon that I will get the figures as soon as possible, at least before 19 July. The UWV shares the importance of these reliable figures. The UWV is willing to allow the board of directors to meet in the interim if necessary. This will be done at least before 19 July. It's a matter of care and care. I dissuade this motion and I will inform the Chamber immediately when I have the figures. That's what I promised, even this morning, so that's what I'm gonna do. Then I'll deal with the motion in part No. 24, by Mrs Karabulut. He's asking not to suspend the re-usage condition. I advise against this motion. We can suspend the re-employment condition because we are of course going to anchor the new sheltered work in the Participation Act. We must also make new sheltered work. Then you don't need the re-engage condition anymore.
ParlaMint-NL_2016-07-07-tweedekamer-56.u19	That's not till next year. The motion is about suspending for this year. The Secretary of State's reasoning would be correct if the law came into force this year. However, this is not yet the case. That legislation has yet to come to the Chamber. So I do not understand why, in anticipation, we are already abandoning the re-employment requirement this year. That's what this motion is about.
ParlaMint-NL_2016-07-07-tweedekamer-56.u20	We have, of course, debated this. We are already abolishing the re-employment requirement this year, because we have agreed to do so with the parties in De Werkkamer. That's the right way to do it. We have, of course, proposed a lot of measures. The re-usage condition is one of them. That is why it is being suspended for this year.
ParlaMint-NL_2016-07-07-tweedekamer-56.u21	What kind of argument is that? The Secretary of State has made a deal with a few people in De Werkkamer and that is why the re-employment condition must be abandoned, while her reasoning for this year does not apply. It must be about the number of jobs and about the people. That's not the point in this case. In fact, it is at the expense of jobs and people. I would therefore ask the Secretary of State to at least give up this re-employment condition when the law is there. Nine places have been created. That's how I can get the number of jobs.
ParlaMint-NL_2016-07-07-tweedekamer-56.u22	The re-employment condition has not been changed with a few people from De Werkkamer, but with the directors of VNO-NCW, the trade union movement and the UWV. I made good administrative arrangements with that, too. I'd like to keep those appointments. In the motion in part No. 25 is asked to ensure that funds are made available for new sheltered work. This motion is unnecessary. I reject the motion because, of course, resources have already been made available for new sheltered work. In fact, five times 20 million extra has been made available for new sheltered work. I'll come to the motion in part No. 26. It's about the SER reconnaissance. This motion calls for an implementation plan to be drawn up. I sent a letter to the Chamber about the SER reconnaissance. In that I mentioned how I look at that and want to deal with it. I therefore consider that an implementation plan on the SER exploration is superfluous in this situation. I therefore advise against this motion.
ParlaMint-NL_2016-07-07-tweedekamer-56.u23	I don't understand why the motion would be unnecessary. This chapter contains a large number of points which I have not yet seen in the letters that the Secretary of State has written to date and the plans that she has.
ParlaMint-NL_2016-07-07-tweedekamer-56.u24	I have'recorded' the Chamber in a letter on this point as well. That was my response to the SER reconnaissance. This reaction shows that I think the SER exploration is a good basis for the follow-up to the Participation Act. So, of course, this SER reconnaissance is involved. However, I do not think that we need a separate implementation plan on this part.
ParlaMint-NL_2016-07-07-tweedekamer-56.u25	Let me say, then, that this is very brief. Is the Secretary of State then prepared to inform the Chamber again by letter, on a point of substance from the ESC reconnaissance, how it will implement it and when?
ParlaMint-NL_2016-07-07-tweedekamer-56.u26	In the letter I have already sent to the Chamber, I made it quite clear what I think of the added value of the ESC exploration. With the reconnaissance, at least I can get out of my way. I would very much like to continue to use it, even when it comes to regional infrastructure. Every time I send documents to the Chamber about this regional infrastructure, this SER exploration as a foundation also plays a role. So I do not want to make an implementation plan, as is really requested here in this motion, but this SER reconnaissance is of course important in the further development of policy.
ParlaMint-NL_2016-07-07-tweedekamer-56.u27	Chairman...
ParlaMint-NL_2016-07-07-tweedekamer-56.u28	No, Mrs Karabulut, we will continue with the motion in part No. 27. In my view, you had the opportunity to discuss this during the general consultation. The Secretary of State has given an opinion on the motion and you have given your opinion. I think we should keep going.
