ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u1	The sitting is open (9.31 a.m.). The Minutes shall be read.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u2	President. - The next item is the report (Doc. PRESIDENT. - The debate is Since there were no comments, the Minutes were approved.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u3	The list of senators on leave and absent on assignment received from the Senate, as well as further communications to the Assembly, will be published in Annex B to today's Minutes.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u4	The next item is the communication by the President, pursuant to Rule 126-a, paragraph 2-a, of the Rules of Procedure, on draft law No 1312: Delegations to the Government for the reorganization of the discipline in the matter of entertainment and for the modification of the code of cultural goods and landscape, connected to the maneuver of public finance. I invite the Senator Secretary to read the opinion given - after hearing the Government - by the 5th Permanent Commission, pursuant to Article 126- bis, paragraph 2-a, of the Regulation, in relation to the aforementioned bill.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u5	The Economic Planning Commission, budget, examined the bill in title, pursuant to and for the effects of article 126-a, paragraph 2-a, of the Regulation, and after consulting the representative of the Government, notes that the deadline of 31 January indicated by article 7, paragraph 2, letter, f), of the law n. 196 of 2009, for the presentation of the measures related to the maneuver of public finance, has not been respected, as the bill in title is submitted to the presidency of the Senate on 29 May last, but that the said term, however, on the basis of numerous precedents, can be considered as authorising. It therefore notes that the draft law, which is divided into two provisions with delegation in the field of entertainment and delegation in the field of cultural heritage and landscape, corresponds to the one indicated in the Update Note of the DEF 2018. These provisions are consistent with the programmatic objectives indicated in the above Update Note, which recalls, as part of the government's reform strategy, the adoption of actions for the rehabilitation of lyric-symphonic foundations and the improvement of the criteria for the allocation of resources, in particular for the live performance, also providing for the revision of the Code of Cultural Heritage and Landscape, also to improve the ability to enhance and mobilize the vocations of the territories. The provisions also appear to be in conformity with the content of those connected to the public finance maneuver, as governed by Article 10 (6) of the Accounting Act.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u6	Taking into account the opinion expressed by the 5th Permanent Commission, examined the related bill n. 1312, pursuant to article 126-a, paragraph 2-a, of the Regulation, taken note of the position of the Government, I inform you that the text of the measure in question does not contain provisions unrelated to its object, as defined by the legislation in force.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u7	The next item is the communication by the President, pursuant to Rule 126-a, paragraph 2-a, of the Rules of Procedure, on draft law No 1349: "Delegates to the Government for simplification and codification in the fields of education, universities, high artistic training in music and choreutics and research" related to the maneuvering of public finances. I invite the Senator Secretary to read the opinion given - after hearing the Government - by the 5th Permanent Commission, pursuant to Article 126- bis, paragraph 2-a, of the Regulation, in relation to the aforementioned bill.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u8	The Economic Planning Commission, budget, examined the bill in title, pursuant to and for the effects of article 126-a, paragraph 2-a, of the Regulation, and after consulting the representative of the Government, notes that the deadline of 31 January indicated by article 7, paragraph 2, letter f), of the law n. 196 of 2009, for the presentation of the measures related to the maneuver of public finance, has not been respected, as the bill in title is submitted to the presidency of the Senate on 19 June, but that the aforementioned term, however, on the basis of numerous precedents, can be considered as authorising. It therefore notes that the draft law, which is divided into two provisions with, respectively, the principles and guiding criteria of the delegation and the financial provisions, is substantially corresponding to that set out in the 2018 DEF Update Note. These provisions are consistent with the policy objectives set out in the above Update Note, which highlights, as part of the government's reform strategy, how the complex legislation on school, university, research and AFAM legislation also needs to be reordered through the drafting of the relevant codes. The provisions also appear to be in conformity with the content of those connected to the public finance maneuver, as governed by Article 10 (6) of the Accounting Act.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u9	Taking into account the opinion expressed by the 5th Permanent Commission, examined the related bill No. 1349, pursuant to Article 126-a, paragraph 2-a, of the Regulation, taken note of the position of the Government, I inform you that the text of the measure in question does not contain provisions unrelated to its object, as defined by the legislation in force.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u10	The next item is the debate on the draft Constitutional Act No 214-515-805-B, which was first approved by the Senate in a text resulting from the unification of the own-initiative constitutional bill of Senators Quagliariello; Mr Calderoli and Mr Perilli; Mr Patuanelli and Mr Romeo; approved, without amendment, in first deliberation, by the Chamber of Deputies. I would remind you that, in accordance with Rule 123 of the Rules of Procedure, in the second resolution, the draft constitutional law, after the general discussion, will be submitted only to the final vote for approval as a whole, subject to explanations of vote. I also warn that, pursuant to the first paragraph of Article 138 of the Constitution, in second resolution, the constitutional bill will be approved if in the final vote it obtains the vote in favour of the absolute majority of the members of the Senate. The rapporteur, Senator Calderoli, has requested authorisation to carry out the oral report. No comments were received, the request was accepted. I therefore call the rapporteur.
ParlaMint-IT_2019-07-10-LEG18-Senato-sed-131.ana.u11	Mr President, at the second reading by the Senate, the written report is not allowed, so I shall have to carry out the oral report, but I will refer to what I said in reply and explanation of vote at first reading. On 9 May last, the House of Deputies adopted the draft law at first reading, which is finally making the prospect of a substantial reduction in the number of Members concrete. Since no changes have been made to the clearly valid work carried out in the Senate, we are now in a position to arrive quickly at the second resolution required by Article 138 of our fundamental Charter. It is a resolution which, while leaving no room for any amendment, nevertheless requires a clear majority for its validity. It is a parliamentary passage of reflection, even before it is a decision: it is precisely for this reason that I think it is useful to take advantage of it, to reflect on the reasons behind this reform, of which we will now see the contents. The draft law amends Articles 56, 57 and 59 of the Constitution with regard to the reduction of the number of parliamentarians. The proposal provides for a reduction in the number of Members from 630 to 400, of whom eight were elected abroad instead of 12 in the past; the elected senators will go from 315 to 200, four of whom will be elected abroad instead of the six planned in the past, and the maximum number of senators for life is set at five. I'd like to leave with a little historical excursion. First of all, we must be aware that we are not intervening on provisions written by the constituent Fathers, but by colleagues who preceded us in this and in the other Parliamentary Assembly in the third legislature. The original wording of Articles 56 and 57 provided, in fact, for a variable number of deputies and senators according to the population: one for every 80,000 inhabitants in the House and one for every 200,000 in the Senate, and so it was for the first fifteen years. Later, as the population grew and the number of parliamentarians with it, it was decided to change the criterion by introducing the fixed number of 630 Members and 315 Senators. In the near future there was an increase: the Members who voted on the reform in 1963 were 596, against the 574 in 1948; in the perspective, however, the savings were evident, because without this intervention, on the basis of the 2011 census, we would have 743 Members today (also because the calculation must be done on the basis of the population, that is residents, so not only of Italian citizens). In the Senate, however, things would be a little better, because, applying the original system, today we would be 297, in addition of course to the senators for life; in 1963, instead, there were only 279: to some extent, therefore, we are going back to the origins of our Republic, if not in the norms, at least in the numbers. Even if we wanted to retrace the statutory experience, we would find some variability both in the composition of the elective Chamber - since the Statute did not provide for the number of Members who, at a certain point, stood at around 500 - and especially in that of the Upper Chamber, who, thanks to the "infancy" of senators - who, as we know, were all for life - gradually passed from the 58 members of 1848 to the well 520 of 1940. At the constituent assembly the issue was widely debated and, precisely because a fixed figure was never taken into account, there was the serious concern that, when the population grew, the number of parliamentarians could become excessive, with particular reference to that of the senators. In fact, it was believed that a smaller number had to correspond to a higher quality of the elected: I remember that Constantine Mortati had proposed a senator for every 250,000 inhabitants, which today would mean a much closer figure to 200 than to 315. The solution of the Constituents had a short life, as well as the 1963 reform, if not in the legal reality, for sure in the political debate: Commissione Bozzi, Commissione D'Alema, reform of the sixteenth legislature, draft Violante, reform of the seventeenth legislature; in all these texts, and they are not the only ones, a reduction in the number of parliamentarians was expected. We must remember, in fact, that since in Italy both rooms are directly elected, no other great democratic country has a proportion of the population and parliamentarians like ours. Simply put, Italy is the country with the highest number of MPs directly elected by the people (945): they follow Germany, with about 700; Great Britain, with 650; and France, with just under 600. Therefore, 400 Members and 200 Senators, or 600 Members in total, is a reasonable solution, which aligns us with Western democracies. Even if we do not reach the United States' relationship, we will, however, be at the level of the United Kingdom or France, which, with a population similar to ours, have only one House elected by universal and direct suffrage, with a little more and a little less than 600 members respectively. Above all, we will have parliamentary institutions which, without affecting the principle of broad representativeness, will ipso facto be more functional. For this to express its full potential, we will have to reform the Regulations again, which in the Senate will not be difficult, because it has just been done successfully. The new numbers - yes - will impose the necessary technical adaptations, but they will also have to be the opportunity to go further and make the organization and procedures more fluid. Only in this way will spending savings become appreciable in terms of decision-making and lead to a return of confidence and credibility. In these months, then, the issue of the compatibility of this reform with the electoral law has also been brilliantly resolved: in fact, the law of 27 May 2019, n. 51, which allows its applicability regardless of the number of elected, has been definitively approved in the House. Last but not least, I recall the novel text of Article 59 of the Constitution, aimed at definitively fixing the number of senators for life, without any margin of interpretation. As happened in the first examination of the Senate and later in the Chamber, there was much debate in this passage on the need for an overall revision of the Constitution: I'm sorry, but I don't fall for it anymore, I tried it on my own skin. All the various Commissions I mentioned earlier, as well as the 2005 reform (the one written by myself) and the subsequent one in 2016 (the Boschi) were not even able to reach the parliamentary examination or, even if approved by Parliament, they were then rejected by popular referendum. Today I am even more convinced of the need to propose limited and surgical measures, such as the one we are examining today, which, together, will lead to an overall reform. I would like to point out, in this connection, that just last week the proposal tabled by myself and my colleague, Mr Perilli, for whom I was rapporteur, which led to the deletion of Article 99 of the Constitution and the consequent abolition of the CNEL, was approved. The measure was implemented by the unanimous vote of the Commission. Returning to us, there was a large majority in favour of this bill in the first resolution in the Senate: an absolute majority that, however, if we go to add all the Groups that have declared themselves in favour, reached virtually only two thirds. I can only hope that this time the two-thirds will actually reach each other and I hope that there will be a rethinking of the first step on the part of some of the groups that had expressed themselves negatively in the Commission and that there can be convergence here: no one - I believe - will propose a confirmed referendum on a reform so shared by the public and it would be an important signal if Parliament finally approved the most recurrent constitutional revision in our public debate. The aim of this reform is twofold: on the one hand, to encourage an improvement in the decision-making proposals of the Chambers, in order to make them more capable of responding to the needs of citizens, and, on the other hand, to achieve a reduction in public expenditure, i.e. leaner bodies, which cost less and work more efficiently. Mr President, I should like to end by reminding you of the fact that lean horse runs faster and jumps higher. With this change, Parliament will be stronger and so will our democracy. [[Applause from the L-SP-PSd'Az and M5S Groups.]]
