ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u1	It's another anti-royal question.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u2	Mr President, that is your non-neutral position on this question. Madam Minister, the media has told us that you have already paid out two quarters of the civilian list to the King. However, according to Article 2 of the Act of 27 November 2013 establishing the civil list for the duration of the Government of King Filip, the civil list is paid per trimester. In the Finance Act, an amount of approximately €6 million was entered for the post-civil list. This amount corresponds to the payment of two quarters, while the Finance Act only covers three months. On 19 December 2018, my colleague Peter Dedecker asked the question in this committee what was the explanation of the increase in donations following the financing law for 2019. You replied that the increase in the civilian list was not about new policies but was in line with the Belgian State's commitments, as allowed under provisional appropriations. Your spokesperson stated in the press that the King was given the second quarter earlier because until the elections on 26 May there is certainly work with provisional twelfths. Madam Minister, why was the funding law registered for the civilian list for two quarters while the financing law only covers one quarter and, under similar circumstances, only one quarter was provided for in 2013? Why was a sum suddenly paid out for two quarters, while the law lays down a payout per trimester? Why do you think that the early payment is subject to compliance with commitments as permitted by provisional appropriations and not by new policies? Are you going to recover the sum paid in advance in any way?
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u3	Mr Buysrogge, we have already had the opportunity to debate this point in plenary, but I will explain it to you again. Derogations from the rule of the three twelfths are requested in accordance with Article 57 of the Law of 22 May 2003 for unavoidable exceptions. These are expenditures that are absolutely necessary to meet legal or contractual obligations over a longer period. The derogations relate, for example, to the payments of 100% of certain legal or contractual obligations of the Foreign Office or to the entry of the total credit provisions in the 2019 budget for the payment to Bpost for the implementation of the management contract. There is indeed an exception for the payment of the civil list. As stated in your question, the amount and method of payment are laid down in Article 2 of the Law of 27 November 2013 establishing the civil list for the duration of the Government of King Filip. Article 2 provides that the civil list shall be paid by trimester and before expiry of the period in accordance with the provisions of the law. This means, in concrete terms, that the payment of the second trimester will be authorised in March. It is therefore necessary to register credit for six months in order to make this possible. This was also the case in the 2008 Finance Act and in the 2011 Finance Act. In reply to your last question, I can inform you that the payment of the second trimester will be made at the end of March 2019 in accordance with the law of 27 November 2013, which means that no payment will be made early, as you state. Finally, it is true that only 25% of the appropriations were entered in the 2013 Finance Act. However, the circumstances are quite different. The draft law on the general expenditure budget for 2013 was distributed in the Chamber on 26 November 2012 and was adopted at the plenary session of 7 February 2013. As a result, the Finance Act lapsed and, as provided for in Article 2 of the Law of 27 November 2013, the disbursement could also take place correctly in the month of March 2013 before the second trimester.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u4	Madam Secretary, thank you for the answer. Did I hear you say that the second quarter has not yet been paid out, that it will not be paid out until March 2019 and that what was in the press about it was wrong information? Do I interpret your answer correctly in this way?
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u5	Mr Buysrogge, you correctly interpret my answer in this way. We have already had the debate in plenary. I was super clear. I was also surprised at the article that was published. The fact is that we have to follow our contractual obligations. That is what we have done with the Finance Act and nothing else.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u6	Thank you for the answer, Madam Secretary.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u7	Madam Minister, we have read in the press that the results of 2018 would be available at the moment, but I have not read much about them in the press outside De Tijd. It is a tradition in our committee to have a brief exchange of views on the results. Are you able to share the end result 2018 today? The newspaper stated that the deficit would stop at 0.5 % instead of 0.8 %, as previously stated. What are the causes of this? There is also a whole discussion about the advance payments. Companies that do not make sufficient advance payments will be fined. As a result, the advance payments of corporate tax increased enormously in 2018. We are talking about amounts that are two billion higher than structural developments. Is the 2018 deficit lower than trend, so if the advance payments could be predicted at a normal level without the introduction of the fines? Then there are the prospects for 2019. The government in current cases works with provisional appropriations. In plenary, the Minister of Finance said that 2019 would be derailed, because some compensatory measures in taxation were not taken. There is some saving in provisional appropriations, because we must not go beyond what was originally committed. That makes it very difficult to make predictions about it, as I said at the time. Madam Minister, with these questions, I would like to give you the opportunity to inform Parliament about the final account of 2018 and the perspective for 2019 with provisional appropriations.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u8	Mr Van Rompuy, first and foremost, articles always appear in the press. Sometimes they're completely correct, sometimes they're predictions. I insist on always giving the right figures at the right time. I mean that I will be able to give the right figures when they are available. That is not the case at the moment. As soon as I receive them, of course, I will make an announcement, and if you want me to come to the committee for that, I am certainly prepared to do so, as always. I am confident that the figures for 2018 are going in the right direction, so I am not nervous. I'm not hiding the numbers. That is not the case at all, but I am waiting for the final figures from my administration. It's no secret I always work that way. I don't know the source for the press article. I don't have to ask; that information doesn't come from us. That's very clear.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u9	The article in De Tijd titled: "No more budgetary control for elections" and there is a very nice picture of you.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u10	Thank you, but it doesn't mean anything.
ParlaMint-BE_2019-01-30-54-commissie-ic1024x.u11	I couldn't ignore that, I couldn't look aside and there was that famous 0.5 in it, even with a table. That's my source.
