ParlaMint-BE_2016-07-06-54-commissie-ic468x.u1	Questions Nos 12619 and 12627 by Mr Pivin are transformed into written questions.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u2	Mr Van Hecke is absent.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u3	Mr President, my question has indeed been merged with that of Mr Van Hecke. Last week Mr Van Hecke was kind enough to postpone these questions because I could not be present and now he has informed me that he cannot be present, but that I am allowed to ask my question. Perhaps the Minister's answer also contains a response to his question. Mr Minister, my question concerns the Forensic Psychiatric Centre in Hofstade near Aalst. I understand the terminology is wrong, but perhaps you can tell me what to call the centre from now on. The government decided on 13 May 2016 on the arrival of that centre. It will be built on a vacant site which is now partly owned by the city of Aalst and the OCMW of Aalst. The next step is to sell the land to the Government of the Buildings. Or maybe it's an expropriation. Afterwards, public procurement may start. The federal government, you, and the Government of the Buildings, are builders and initiators. How concrete is the construction of the centre in Hofstade currently being developed? Is there a timeline for the purchase of the land and for the public procurement? Can you give an overview of that? You may know that the neighborhood residents, quite rightly, have a lot of questions. They come to the mayor's and ship's college with it. In what way and when will the federal government inform the neighborhood residents about the plans?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u4	Mr President, Mrs Smeyers, I have just explained the basic decision of the nuclear cabinet on Master Plan 3. This plan consists, among other things, of providing an adapted infrastructure for each interned with, on the one hand, a number of projects and extensions in the existing care circuit and, on the other hand, the construction of three new facilities, including one in Flanders, especially in Aalst. I have also explained that the concrete implementation of these centres and their concept will now be further developed in a working group. All of this is now being converted into a concrete dossier which has to be validated by the Council of Ministers. Only then can more details and timing be given. I can tell you that in the last week a meeting has taken place with the four competent finance inspections. It is only when a full agreement has been reached that a financial dossier can be submitted to the Council of Ministers. I hope this will be possible before this summer, but it may also be before the summer. An information meeting for the neighborhood only makes sense if there is an insight into the concrete impact of the concept. As I said, this is still in full effect. With regard to previous technical studies, I must refer you, without wishing to pass this on, to the Minister responsible for the Directorate of Buildings. I can tell you that the concept is completely different, namely a care centre with 120 places opposite a prison with 444 places. This also needs to be reworked in technical terms.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u5	Thank you, Minister, for the answer. I am waiting with you and I hope that the dossier will not be delayed too much.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u6	Questions Nos 12725 and 12783 by Caroline Cassart-Mailleux and Marcel Cheron are transformed into written questions.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u7	Minister, in January 2010, the Play of Chance Act was amended, in particular to extend its scope. This law provides that a licence is now required, both for the games offered in the framework of a complete television programme and for the various other games in which one can participate via radio, television, newspapers or periodicals. Articles 43/13 and 43/15 of the Act refer to a royal decree for the terms of licensing, operation and control of games. However, control orders are lacking, resulting in inaction by the gambling commission. In addition, the Royal Decree of 21 June 2011, which lays down the obligations, in particular in terms of the protection of players, seems to be aimed only at complete programmes and not at television games which form only part of a programme. This order specifies the information which the licensee must display in a clearly legible, continuous and explicit manner on the screen throughout the broadcast and requires the presenter to communicate regularly the rules of the game, the highest possible rate by type of call, the prohibition on minors to participate or the warning that excessive play involves risks such as dependence and the risk of playing beyond its financial means. The presenter must also refrain from encouraging excessive participation in the game. However, it must be noted that conditions sometimes scroll into tiny characters. There's a doubt about readability. It is impossible to determine whether the minimum age, the cost or the reminder of the regulation are mentioned in writing, whereas the Royal Decree referred to above provides for it. The interpretation of "regularly" or "excessively" encouraging" with regard to the presenter's obligations also does not facilitate consumer protection. We had already asked you in June 2015 about these various problems. You then replied that five royal decrees had to be discussed before the end of the year. In particular, there was the Royal Decree on Ethics in Connection with the Advertising Organization, which was delayed since article 61 of the 1999 Act already provided for the drafting of this code of ethics, which still does not exist. In your policy note, you stated that the emphasis would be on the protection of the minor player. What is the status of the initiatives announced by the end of 2015? When will these implementing orders be implemented, which will enable the gambling commission to act effectively against the abuse of such games? When will the code of ethics be put in place? What exactly will it contain? Are you going to take new initiatives to better protect minors and to combat dependency and the risk of playing beyond its financial means? Is it true that the provisions on the protection of players, as set out in the Royal Decree laying down the conditions to be met by the games offered in television programmes by means of series of numbers in the Belgian numbering plan and which form a complete programme, do not concern television games which form only part of a programme? If so, would it not be necessary to make a legislative or regulatory amendment to strengthen consumer protection with regard to television games that form only part of a programme?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u8	Mrs Fonck, since the beginning of this year, three consultation meetings have already been held with the sectors of the game, including the National Lottery, the players' protection associations (Vereniging voor Alcohol- en andere Drugproblemen (VAD), the League of Families, Test-Achats and the media), with a view to concluding a protocol on advertising and marketing, similar to that concluded in the field of alcohol. These meetings were prepared with the advertising ethics panel, the path being that of self-regulation through the Advertising Council. Unfortunately, these meetings have not been successful. There are 75% of operators who have proposed their own convention text to the advertising ethics jury. The latter refused to validate a text that was not defended by all. I have therefore asked the Commission for a draft regulation and the Commission will therefore give an opinion at its meeting in July. Since the publication and implementation of the two royal decrees of 21 June 2011 concerning these television games and the manner in which the G1 licence relating to them was granted and used, the abuse of television game broadcasters has been stopped. To date, only one G1 licence has been granted to ITV-Shows, which operates and produces "night games", broadcast for two hours after midnight on RTL's antennas. This license and this type of game are subject to very strict and binding regulations, as well as control, both a priori and a posteriori. If you wish, I can provide you with the various annual reports that are sent to the government in this regard. Games that should be licensed under the G2 licence are not controlled for lack of framework in this area. The draft ad hoc royal decrees have not been dealt with. They were not considered a priority as a result of the complaints made in this regard. However, these games are illegal. Prosecutors can continue if this theme finds its place in their action plan. The aim is to reduce the volume of advertising and the amount of its dissemination by means of a binding regulatory text imposed on all actors. This will provide that advertising cannot target the young population or the vulnerable population. As far as games are concerned, through the media in the broad sense and as far as they are considered to be games of chance, only games covered by a G1 licence provide protection for players and, beyond that, minors. The G1 license applies to a specific type and form of gambling. Other games, whether by chance or not, accessible via the media, the Internet or social networks, are currently taking place outside a formal regulatory framework. The game rules put in place are those of the organizers. That is why I have been insisting on the gambling committee for a long time to draw up a draft of a strict and coherent legislative and regulatory framework, with the aim of increasing the protection of players. This work is under way.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u9	Minister, thank you for the various parts of your answer. I understand that an opinion will be given in July. I hope that this can lead to a code on gambling. With regard to orders that are not taken, it is true that prosecutors can prosecute. But the means of control and intervention that can be deployed, for example by the CSA on the French-speaking side and its Dutch-speaking equivalent, are much more limited due to the lack of a sufficiently set regulatory framework. In this respect, it would be good if we had a comprehensive regulatory framework for the intervention of the supervisory bodies to be effective. Finally, we will see the work to be done by the gambling committee. That seems fundamental to me. I am thinking in particular of the most fragile people, including minors. They are subject to many influences and their protection against gambling is insufficient, especially in the face of the new "palettes" of recently developed games of chance.
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u10	Mr President, Minister, although the subjects of these two questions are quite different, they seem to me to be complementary. These issues concern the disabled adults and the law of 17 March 2013 which reformed the disability regimes. I ask you this question at the request of justices of the peace who are often confronted with the problems known by centres housing deep mentally retarded persons who can no longer express themselves and who are abandoned by their families. Certain acts of a person's life may be represented and important decisions may need to be made with respect to care and/or surgical procedures. However, some acts are excluded from representation by law. These include consent to sterilization, request for euthanasia or request for termination of pregnancy. For persons with severe disabilities, the law did not provide for both consent and opposition, even in the case of surgery that would be judged by doctors as justified or even indispensable. Administrators and justices of the peace are stuck in the legal text and the consequences can be dramatic. If the operation is authorized, it is contrary to the law, but if there is no authorization, the doctor refuses to provide for problems of professional liability insurance. If the transaction occurs and it fails or leads to complications, the responsibility of the justice of the peace and the administrator will be challenged with possible insurance consequences. If no one dares to take responsibility for intervention and the condition of the patient worsens or deteriorates as a result of this defect, the administrator may also be subject to liability. Minister, do you confirm this analysis and the difficulties that result from it? Should the law not be supplemented to overcome this legal difficulty, but also the difficulties faced by justices of the peace and caregivers? There is obviously a need to find a balance. It is not simple because these are very delicate situations. However, in the field, within the existing legal framework, they are even more delicate. That is my second question. The Act of 17 March 2013 allows the appointment of an administrator of the person to, in parallel with the administration of the property, take with the protected person or by representation decisions concerning him or her personally, such as, for example, for the elderly, the decision to move into a nursing home, to be operated, the follow-up of the placement, etc. This new law has introduced, more systematically than in the past, the person of trust, who can make the link between the person, the administrator, the institutions and the family. It comes to my mind that in some justices of the peace, the same administrators are always appointed, without always taking into account the family wishes or the human qualities of the administrators. The appointment of a trusted person may also be denied. Some families then feel that they can no longer be heard in their knowledge of the needs and wishes of the protected person, who is often important, and that there is some sort of understanding between the justice of the peace and the administrator. The protected person, for his part, does not always dare to express his opposition, or does not necessarily have the capacity to do so. In the preparatory work for this law, which I have read, there was a question of being attentive to these elements and to the indispensable quality of directors, who must be good managers, but above all, when they are also appointed as an administrator of the person, professionals listening to the needs and wishes of both the protected person and his or her entourage. This is primarily about the interests of the protected person and their well-being. Minister, do you have any information about these appointments? Do you have any figures on the lists of administrators appointed in each justice of the peace? Should there not be a form of rotation in appointments, where the same directors are always appointed, in order to avoid the same appointments? To stick to the travaux préparatoires of this law, how could one organize a form of assessment of the human qualities of directors?
ParlaMint-BE_2016-07-06-54-commissie-ic468x.u11	Mr President, Mrs Fonck, articles 492/1, § 1, and 497/2 of the Civil Code must be read in conjunction with the Law of 22 August 2002 on the Rights of the Patient. The applicable regime is as follows. It is true that the justice of the peace may declare a person incapable of performing certain acts deemed highly personal for which no representation or assistance is possible. These include, for example, consent to sterilization, request for euthanasia, request for termination of pregnancy. The consequence is that if a person is declared incapable of exercising his or her rights, no one will be able to place them in his or her place. The only way to remedy this is to ask the justice of the peace to review the protective measure and to lift the measure of incapacity for such acts. This special regime applies only to highly personal acts expressly mentioned in article 497/2 of the Civil Code. It does not concern other medical procedures. Even if a person is declared incapable of carrying out all or part of the above-mentioned highly personal acts, he still benefits, for all other medical acts, from the Law of 22 August 2002 on the Rights of the Patient, which, as a special law, prevails over the provisions of the Civil Code. In accordance with Article 492/1, § 1, 15 the justice of the peace must give an express ruling on the capacity of the protected person to exercise the rights of the patient provided for by the Act of 22 August 2002. If the justice of the peace declares the person incapable of exercising the patient's rights, the protected person may nevertheless exercise his or her rights if, at the time of exercising them, he or she is capable of expressing his or her will. It is in fact up to the doctor to decide when he examines the patient. If the doctor has determined that the protected person is not himself or herself capable of exercising his or her rights, section 14 of the Law on the Rights of the Patient organizes a cascade. Priority shall be given to the person whom the patient has previously designated by a specific written warrant to replace him, provided that and as long as he is unable to exercise his rights himself. Failing this, the rights are exercised under the same conditions by the person's administrator after special authorization by the justice of the peace referred to in article 499/7 § 1 of the Civil Code. In the light of the above information, it is not necessary to supplement the legislation in force. I recognize, however, that it should be simplified for better readability. With regard to your second question, the figures and statistics of courts and tribunals are not yet available for 2015. As for the 2004 ones, they do not contain specific information on the application of the law of 17 March 2013, which entered into force on 1 September 2014. According to information provided by the National Register, 31,105 directors were registered between 1 September 2014 and 11 June 2016; of these 19,397 are property administrators, 1,177 are personal directors and 10,531 are property and personal administrators. It is not currently possible to accurately determine the number of professional and family administrators. For more detailed information on the statistics available at the moment, I refer you to my answer to Mrs Uyttersprot's written question of 18 January 2016. In accordance with articles 496/2 and 496/3 of the Civil Code, the justice of the peace must designate as administrator the person mentioned in the declaration of preference registered in the central register established for that purpose, unless there is a serious reason in the interest of the protected person. Otherwise, the justice of the peace shall preferably choose a family administrator as the administrator of the person, provided that he or she is able to assist or represent the person to be protected. As I have already stated on several occasions, my objective is to ensure that the law is enforced in the light of its spirit. Article 497/1 of the Civil Code gives the King the right to make the exercise of the function of administrator subject to certain conditions. I wish to draw up, in consultation with the Communities and all the actors concerned, an appropriate framework for the exercise of the function of administrator. The function of administrator should also be made more accessible to family administrators. For the surplus, I do not have a clear opinion on the mechanisms to be put in place or how to assess the human qualities of directors. I would like to take into account the different views expressed on this issue, in particular those of the actors on the ground. This consultation will begin immediately upon the adoption of the draft royal decree on the list of health conditions deemed to seriously and persistently alter the person's ability to assume the management of his or her property interests, and the draft royal decree on the taxation of the administrator's fees and fees, which, as you know, are under discussion.
