ParlaMint-NO_2003-01-29.ana.ud1382e28	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2003-01-29.ana.ud1382e31	On behalf of Hallgeir H. Langeland, Åsa Elvik, Inge Ryan and myself, I would like to make proposals that, in order to reduce the country's overall electricity consumption, energy efficiency requirements are imposed on end-user technologies such as electrical appliances, machinery and equipment.
ParlaMint-NO_2003-01-29.ana.ud1382e36	The representative of Arne Sortevik will make a private proposal.
ParlaMint-NO_2003-01-29.ana.ud1382e39	I'll discuss another theme. On behalf of the representative Ursula Evje and myself, I propose to conduct a referendum in which the question of a possible distinction between state and church is settled.
ParlaMint-NO_2003-01-29.ana.ud1382e46	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2003-01-29.ana.ud1382e69	On Monday the Storting received a notice from the Prime Minister's office that the following will meet for oral Question Time: Prime Minister Kjell Magne Bondevik Council Kristin Krohn Devold The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We then start with the first main questions, from the representative Jens Stoltenberg.
ParlaMint-NO_2003-01-29.ana.ud1382e85	I have a question for the Prime Minister. The UN has been a cornerstone of Norwegian foreign and security policy throughout the post-war period. We have wanted to strengthen the role of the United Nations and to make sure that the use of power is to be internationally anchored in the United Nations bodies, in the UN Security Council. Now there are many concerns about a new war in Iraq. That is why it is important that we clearly warn against military action against Iraq without anchor in the Security Council, and it is important that we make it clear that Iraq needs to cooperate and that the weapons inspectors get their job done. At the same time, Norway needs to make an independent assessment of the material found by weapons inspectors and what we believe the UN should do and adopt. My question to the Prime Minister is: What is Norway's assessment so far of the information and reports provided by the weapons inspectors to the UN?
ParlaMint-NO_2003-01-29.ana.ud1382e94	Let me first make it clear from what the leader of the Workers' Party now said, that it seems that we are fully in line with how this matter should be handled. We agree on the importance of the UN and that any military action must be enshrined in international law and in decisions of the Security Council. Unfortunately, not everyone in the debate has this clear position that Stoltenberg has now expressed, someone seems to pre-conclusion without worrying about the UN treatment. It will, in my view, increase the risk of war. We are pleased that the Workers' Party in this way is fully in line with the Government. We also agree, and we have stated that Norway must, of course, reach an independent conclusion after treatment by the UN Security Council. But doing so now, will partly ease the pressure on Saddam Hussein, so he can see himself free to develop weapons of mass destruction, and partly it will of course legitimize that other countries, like the United States, also don't care about the UN. In my view, it will increase the risk of war, and therefore it is an active, autonomous Norwegian policy that we follow the UN track. As far as the report of the inspectors is concerned, as far as Stoltenberg is concerned, it is a mixture of good and bad. Iraq has cooperated in the process and to be able to see the sites and carry out the inspections requested by the inspectors. But unfortunately Iraq has not cooperated in providing answers to and documenting important issues related to weapons of mass destruction. It's e.g. unclear how it is in the case of chemical weapons and the production and use of nerve gas. Unfortunately, biological weapons and 8500 litres of anthrax are unclear. Unfortunately, there are also uncertainties as to Iraq's stock of rockets, both in the case of SCUD rockets, and that they have probably tested two new rocket types beyond the permitted limit of 150 km.
ParlaMint-NO_2003-01-29.ana.ud1382e103	I thank you for your answer. It is absolutely right that the Workers' Party agrees with the Government that it is important that we base international law, and that we strengthen and build upon the work the United Nations is doing. It is also important that we try to maintain the broad consensus in the defence and security policy that has traditionally been in Norway. We were critical and we thought that the government hesitated long before it was ready on the question of whether a new treatment was needed in the Security Council, a new resolution. It took time before the government was ready to answer that question. We also believed that the government hesitated long before the United States was clearly warned against unilateral military operations. Now we believe that the position is clearer, and we are pleased about it. It also contributes to a necessary consensus. It is true that there is no time to conclude, but it is also important that the foreign policy apparatus, the Norwegian authorities, process the existing material in order to make the final independent assessment at a time.
ParlaMint-NO_2003-01-29.ana.ud1382e112	Of course it's done. We work unabated with what we get from information and material both from the United Nations and from other countries, and on that basis and on the basis of a UN treatment, we want to take an independent position, of course in consultations with the Stortinget. I do not agree that we have been lingering for a long time. New treatment and decisions in the Security Council have been our attitude all along. It is also in Resolution 1441, which concludes by saying that the inspectors' report should be returned to the Security Council. That is why I am all the more surprised that some parties in this Chamber will not follow Resolution 1441 to await this re-reporting, which has only begun so far. The government's position is clear. We warn the United States against going to war on Iraq alone or with any other country without an anchor in international law and decisions in the Security Council.
ParlaMint-NO_2003-01-29.ana.ud1382e121	It will be follow-up questions – Kristin Halvorsen.
