ParlaMint-NO_2020-05-13.ana.ud324e28	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-05-13.ana.ud324e33	On behalf of Lene Vågslid, Martin Henriksen and myself, I would like to make a proposal to quickly build the vocational school for fire and preparedness in the municipality of Tjeldsund.
ParlaMint-NO_2020-05-13.ana.ud324e38	The representative, Roy Steffensen, will present a proposal for a representative.
ParlaMint-NO_2020-05-13.ana.ud324e43	On behalf of Jon Georg Dale, Bård Hoksrud, Morten Stordalen, Tor André Johnsen, Helge André Njåstad, Terje Halleland and myself, I am delighted to make suggestions to ensure the progress of the project E39 Rogfast.
ParlaMint-NO_2020-05-13.ana.ud324e48	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2020-05-13.ana.ud324e53	On behalf of the representatives Petter Eide, Nicholas Wilkinson and myself, I would like to make a proposal to limit the government's powers in the IPR.
ParlaMint-NO_2020-05-13.ana.ud324e58	The proposals will be dealt with in a regulatory manner.
ParlaMint-NO_2020-05-13.ana.ud324e74	On Monday the Stortingen received a message from the Prime Minister's office saying that Prime Minister Erna Solberg will meet for oral Question Time. The Prime Minister is present, and we are ready to start the oral questioning process. We start with the first main questions, from the representative Jonas Gahr Støre.
ParlaMint-NO_2020-05-13.ana.ud324e83	Let me first say that it is good to see the Prime Minister back in the Question Time. The last time was March 11th, the day before Norway shut down. At the time it was about controlling the infection, about planes like the country on Torp with passengers from northern Italy, and about individual municipalities that started taking children out of schools and kindergartens. It's been two months to get into history. What that story will look like, we have to wait to sum up, but I will recognise the Prime Minister's clear leadership from March 12th and beyond, the Storting's ability to take comprehensive decisions and also improve packages, make them fairer in treatment here, and not least, the Norwegian people's ability and willingness to follow the Public Health Council, some of them very interventional. Then I think mostly of those who experienced losing their jobs, and of our children and young people who have not received their normal offers that they are entitled to. The main challenge now is to prevent reinfection – we have to live with this for maybe up to two years – and, on the other hand, to get the wheels going. Here too, the challenge is two-fold: how we get people back to work, and how we prevent those who are at work from losing it. Nothing is more important. 390000 have been notified outside the labour market, as job-seekers and permits. The main task of politics, in Stortinget and in counties and municipalities, is to get people back to work. But is that the government's priority? The question arises when we see the arrangements in the revised budget, summarised by the Minister of Labour yesterday said early: «The return of very many people to work very quickly now has little to do with it. We also need more time to think about what to do in the longer term, because we know little about how the labour market and the Norwegian economy will be in the harvest." Yeah, we don't know much about it, but we don't have much time. Getting very many back to work has little to do with it – would the Prime Minister use just those words?
ParlaMint-NO_2020-05-13.ana.ud324e97	Let me start by saying thank you for your cooperation with Stortinget. I would like to say that I believe we have had good cooperation through the period we have left behind on many major economic packages, many important issues for Norway, which are going to make us better rusted out of this crisis. It is true that there is reason to thank the Norwegian people and to thank all the people around the Norwegian community who have been on an exceptional level, ranging from bureaucrats in the departments who have worked hard to get things done to those who have been in the first-line health services. So the question about the statement from Torbjørn Røe Isaksen yesterday. It's an opinion that I think has a content of meaning that hasn't come out as well in what's said. The challenge is that there are still many places where we can't send people back to work for the purpose of infectious diseases, and that's still so that there are some measures you can't take to motivate people to go to work, because it's lower activity for the purpose of infectious diseases. It is not that we do not want everyone at work – everyone who can work should work, wherever there are tasks, it should be worked. But we can't now artificially try to stimulate people back to work where the rules of infection set limits on what you can do. Then we have said that it comes in two blocks of change now, the one in the revised national budget, which we presented yesterday, which is a lot about making sure that we finance many of the challenges we have seen, the public sector and individual areas, and then cancel out many orders that the Storting has had. In addition, we come back to the big package to get more people back. How we stimulate the economy, what we're going to get out of the crisis – it's coming in the month-end of May/June. This is something I had three weeks ago – it feels like three months, but it is only three weeks ago – the parliamentary leaders of the Stortinget briefed on the need, because we do not have a good enough basis for selecting instruments now.
ParlaMint-NO_2020-05-13.ana.ud324e106	After all, there were no infectious measures at the root of Torbjørn Røe Isaksen's statement. It was an analysis – he says we need more time to think about what to do in the longer term. Many quote Keynes, he said in the longer term we're all dead. So we're going to do something in the short and medium term. We know little about how the labour market in the Norwegian economy will be in the harvest – that’s right, but we have 390,000 outside, and many who are in danger of falling outside. Some of the municipalities are very exposed. "The return to work is very small now." If there was a mistake, you could go back on it, but the revised budget shows in many ways that Red Isaac has his words. Because there are no measures in the revised budget aimed at getting people to work: action places, pilot schemes to combine – in addition to 1 September – training and daily allowances, or to use wage subsidies to get people back into company internal training. What is the Prime Minister's view in this revised budget that could be a handshake to the 390,000 and perhaps more who are out of the labour market?
