year,term,context
2000,nature,paragraph of article 1 the secretariat points out that the of the transitional arrangements is to be excluded from the
2000,nature,government proposes five amendments three of which are editorial in and two of which relate to the more appropriate regulation
2000,nature,more important to this national assembly than our taxpayers and conservationists in posoča as well as elsewhere the socialist party
2000,nature,on the basis of expert reviews and assessments by the protection authority the ljubljana exposition the hydrotechnic dam manager and
2000,nature,discussion to light if these are elements of an economic of course the law can save them i myself believe
2000,nature,opposed to the fact that certain commitments of a legal are respected but not at all costs and not all
2000,nature,we are building a monetary fund for example international in such as some of the european union as regards the
2000,nature,s reports unfortunately we have been able to understand that has not yet calmed down not where it has been
2001,nature,slovenia the second problem of course is of a financial we know what kind of rolling stock we have we
2001,nature,comments and amendments that are both substantive and editorial in the slovenian liberal democracy group fully supports the committee s
2001,nature,noting that the amendment to the amendment is editorial in anybody want to talk because no we re moving on
2001,nature,carry out some minor corrections to the text purely editorial for which amendments were not necessary at the conclusion of
2001,nature,therefore firefighting is an activity of a humanitarian or humanitarian and character and firefighting in slovenia is also of exceptional
2001,nature,and neglecting this activity mainly because of the non profit of this activity unfortunately in slovenia the value of profits
2001,nature,mission more effectively which i stress is of a humanitarian with regard to non compliance with the directives of the
2001,nature,the fact is somehow man cannot prevent the morbidity of and cannot influence the fact that nature would not relax
2001,nature,the morbidity of nature and cannot influence the fact that would not relax its forces it is true though that
2001,nature,to take care of this job because say fire in for example at pohorje it is not only a matter
2001,nature,marriage is that the area will remain permanently populated and preserved and maintained i would like to warn you that
2001,nature,had an introductory explanation and was also of a substantive i have no options in the rules of procedure to
2001,nature,the secretariat does not have any comments of a constitutional to the draft law but from a legal and legal
2001,nature,8 9 10 and 16 the amendment of the editorial is introduced after which the word dln is replaced by
2001,nature,actually be fewer injuries and of course fatal accidents in and practice thank you
2001,nature,seems to us that the amendment is more editorial in namely that the title of article 17 should be amended
2001,nature,ask that we vote on this proposal of a procedural there are 63 colleagues and colleagues present there were 32
2001,nature,it possible to obtain this information which is confidential in because of course i would like to see the differences
2001,nature,have been sent by the slovenian fish association to the protection board since january this year and have not yet
2001,nature,organisation the second law which specifically regulates this is the conservation act of 1999 which provides that any construction operation
2001,nature,on the watercourse must be based on a previously acquired protection guidelines the component of which is also a requirement
2001,nature,the director of the environment agency to which the former protection authority belongs today ask what is going on with
2001,nature,denationalisation beneficiary for the return of the school premises in upon the announcement of the results of the june graduation
2001,nature,also be traced for the return of school premises in if recovery in nature is carried out in this case
2001,nature,the return of school premises in nature if recovery in is carried out in this case the problem of one
2001,nature,requests how many of these applications are for recovery in what will the financial consequences of this fact be if
2001,nature,fact be if in many other cases it returns in how can this fact of returning in nature affect the
2001,nature,returns in nature how can this fact of returning in affect the future design of the school network thank you
2001,nature,a higher level of local self government this is the of the landscapes in these starting points this project is
2001,nature,role in its role which is not of an executive but only the possibility of an opinion but not the
2001,nature,it s an obstacle that i see even of procedural i give my word to mr tank then i think
2001,nature,it this is the same conclusion as previously adopted procedural we vote on that decision let s find out who
2001,nature,action if the state behaved more consistently and returned in i e to the injured and did not opt for
2001,nature,fact when the state does not restore these things to they remain in its possession but we know what it
2001,nature,decided to return more requests under the denationalisation law in which would also be possible this would clearly be cheaper
2001,nature,is a matter of special needs and i understand the and purpose of this law from this title thank you
2001,nature,that political dialogue can also be possible since by the of the situation the state secretaries do not want to
2001,nature,want to make statements which are of a co political which is also appropriate for their situation we will therefore
2001,nature,decision has made for legal action is still unresolved in today so that s what this is all about and
2001,nature,transferring these infrastructure facilities which are not a highway in to the municipalities which are supposed to manage maintain and
2001,nature,law are a major part i would say of editorial and the national assembly could really adopt the law by
2001,nature,are also of the opinion that the agency s operational must be linked to this for example that a specific
2001,nature,but if you re an optimist which i am by and you re trying to find something good in every
2001,nature,of these solutions such reasons will certainly be subjective in as i said before they are many times now but
2001,nature,it is a complementary or transformative position of the downstream and sends the applicants to study there will no doubt
2001,nature,face other far broader aspects which also have a symbolic in any case i think that this is the initiative
2001,nature,in seven days but it s a matter of procedural i m risk taking and i m putting this proposal
2001,nature,economic sector they have virtually nothing to do with the security sector secondly in the european union the field of
2001,nature,therefore i think that this thought can be of principled but its value of life is questionable i can tell
2001,nature,i had practice when i received material from a confidential to open it up to deal with the nature of
2001,nature,confidential nature to open it up to deal with the of confidentiality as conscientiously as possible and then i tried
2001,nature,media s identity card and in some way define its thank you
2001,nature,treat it as something more than what is in the of slovenian man while this printing of publications is a
2001,nature,what needs to be protected in the media given the of their work and the definitions that we have somehow
2001,nature,start by saying that this correction is purely technical in worth looking at this is because in our amendment we
2001,nature,important and that problems if not possible are procedural in but at the same time that the employees and other
2001,nature,that they were not only some additions to the editorial but that it was a substantive amendment to the legislation
2001,nature,which according to my assessment is of a rather systemic and governs the state administration at the summit and will
2001,nature,or whether it is a decision that is procedural in now mr lavrinc from your physical gesture i have somehow
2001,nature,up by the national assembly but because of its legal it is not in a position to do so in
2001,nature,form as it is now structured because of its legal in short the issue of the telecommunications and broadcasting agency
2001,nature,and consequences of the modern economy for the environment and as well effective protection of nature and natural values always
2001,nature,for the environment and nature as well effective protection of and natural values always presupposes the introduction of certain protection
2001,nature,should be found in the introduction of protective regimes of or natural values compromise between the protection regime and the
2001,nature,and brought into line with the new system legislation on protection or with the nature conservation law adopted by this
2001,nature,the new system legislation on nature protection or with the conservation law adopted by this national assembly in 1999 the
2001,nature,the internationally accepted standards and criteria for the protection of as summarized by the republic of slovenia in the act
2001,nature,summarized by the republic of slovenia in the act on conservation already mentioned such an opinion is also agreed by
2001,nature,of a park and will not as such result in distortions a second material condition for the granting of consent
2001,nature,lack of knowledge of the rules governing the protection of and in particular the rules governing the area of land
2001,nature,solutions that will allow for a quality human interaction with i suggest you accept the proposed novel as well finally
2001,nature,this law one of the basic principles of the new conservation act is the participation of municipalities in these procedures
2001,nature,and from the point of view of the protection of that was the point that s why i think there
2001,nature,15 years ago as such the park has been in since it was created by nature with regard to this
2001,nature,park has been in nature since it was created by with regard to this amendment under which you signed and
2001,nature,also assess the ministry of environment and space or the conservation institute or the triglav national park and to the
2001,nature,that all of this is ok especially in terms of national interest and so on that positive consent and the
2001,nature,the economy of course those that do not interfere in which do not cause too much damage here i am
2001,nature,amendment which has been tabled and which is editorial in so we expect and hope that the law will also
2001,nature,legal affairs is it possible that it is of a that we can also decide on the basis of this
2001,nature,national assembly that these amendments be supported by the drafting and amendment of the proposer and the two above mentioned
2001,nature,understandable that each government must create economic optimism by the of its activities which is particularly true for the period
2001,nature,numbers which even the minister himself says are of such that i quote the 2003 spring budget debate is undoubtedly
2001,nature,styrian would have what is ours under the law of thank you very much
2001,nature,is clear that this whole project is of such a that it will not lead to the end even if
2001,nature,meeting at 9 a m which was of an informal and was linked to the question of border negotiations a
2001,nature,given that one member opposes and is of a substantive it has the right to do so the rules of
2001,nature,we have taken into account all comments of a substantive made by the secretariat for law and legal affairs and
2001,nature,proposals that went towards imposing concrete measures of an entrepreneurial on the slovenian airline but we have only retained ourselves
2001,nature,the problems caused by global terrorism the problem of this goes beyond the possibility of corporate governance even at the
2001,nature,secretariat have made it clear that the amendment of editorial will remove these two dilemmas on the basis of the
2001,nature,principles principles and legality in all libraries regardless of their surveillance both professional and administrative is not sufficiently clearly defined
2001,nature,with the amendments of the government is entirely in the of the traceability imposed by the constitutional court s decision
2001,nature,payment which is supposed to be a compensation because there does not give an opportunity for any intensive production and
2001,nature,does not give an opportunity for any intensive production and itself makes production difficult this means that we are here
2001,nature,why this content which is quite procedural and methodological in is forced into a system law because i believe that
2001,nature,of a man’s willful conscious action against the laws of due to sounding after progress regardless of the consequences the
2001,nature,to find answers to undesirable phenomena that are released in that cannot be affected or to the consequences of the
2001,nature,or to the consequences of the interaction between both factors and man but the approach must be comprehensive from the
2001,nature,accidents we all know that natural disasters especially those of such as earthquakes floods reptiles droughts floods epidemics cannot be
2001,nature,earthquakes floods reptiles droughts floods epidemics cannot be prevented because cannot be ordered however it is necessary to ensure at
2001,nature,be or that there would be significantly fewer but unfortunately is unpredictable and many predictions and also statistics of failure
2001,nature,the first part of this amendment is more editorial in and there is nothing to deny what mr kelemina said
