ParlaMint-NL_2016-03-30-tweedekamer-5.u1	I would like to welcome the spokesmen and, of course, the Secretary of State.
ParlaMint-NL_2016-03-30-tweedekamer-5.u2	Mr. Chairman. In 2015, a lot of cars were added in the Netherlands. It's 47,000 cars. There are twice as many kilometers with vans as in 1990. At the same time, there are fewer and fewer buses. In 2015, there were 3.3% fewer buses than in 2014. The increase in all those cars means a lot. First of all, it means a lot to the people themselves. It's positive, of course, it's liberating, because a car gives you the freedom to move. You can go anywhere. It contributes to their earning capacity for many and it is also a love for many, a love for a weekend because then the car has to be cleaned again. At the same time, so many cars also require a lot of society. It is becoming more crowded on the road, there are all kinds of harmful substances in the air, people's health, especially those who live along the road, is getting worse and it also contributes to more and more congestion. The answer to this problem can be formulated in different ways. This can be done in the way of the VVD, namely more and more asphalt. According to the VVD, the whole of the Netherlands has to be flattened and asphalt has to be constructed. But it can also be done in a different way, as the PvdA does. She believes that in ten years' time all non-electric cars can be banned. Jan the worker has to go back to work with horse and carriage. Unfortunately, too little attention is paid to a realistic scenario. Possible solutions are in the tax sphere and we can take the first steps for this today. Let's do that right now. I am also looking at the Secretary of State, because he obviously needs support for his proposals in both Chambers. He can try to handle that right away today. Because if it's just VVD and PvdA, the coalition partners in the Chamber, we're not getting anywhere. One of the most important solutions is to pay for use, which unfortunately is now excluded in the coalition agreement. The SP fraction chooses to pay according to usage, based on the mileage counter. This will make the car tax system not only simpler but also fairer. Whoever makes more use of the road network pays more. This also makes the system more future-proof. The SP Group does not agree with the State Secretary's qualification that paying according to use on the basis of the mileage counter is still susceptible to fraud. We have discussed this extensively in the Chamber. The IRS can just request the mileage counter annually. The mileage can also be checked at the apk, at a turn in the garage or in transactions, i.e. sale and purchase, and passed on to the Tax Administration. So that's very simple. I think the Secretary of State was also a fan of simplicity. In addition, cheating with the mileage counter is prohibited by law. We also see that more and more cars automatically communicate with their own manufacturer and immediately pass the mileage. This can, of course, contribute to the pre-filled declaration of which the Secretary of State is a big fan. The positive thing is that the Secretary of State writes in the answers that private parties take initiatives to pay for use, in which the Empire participates from 2016. There is even a car team, which has indicated to private parties to be available for questions and support. The SP has been informed that the private parties will be ready for the exploration around the summer as a result of the energy agreement of 2013, which will most likely provide a positive advice for payment to use. Can the Secretary of State state state what has been done within the car team in the last two and a half years in terms of payment to use, also following the concluded energy agreement? Is the car team already working for the next cabinet when there is a positive opinion from the private parties? Standing still is a decline in this respect.
ParlaMint-NL_2016-03-30-tweedekamer-5.u3	I have two questions about stationary mileage counters. First of all... Apparently, the SP sees a lot of good in this, but you see commercials on TV these days about someone who bought a car with a manipulated mileage counter. So according to the SP, they're based on fantasy? Second. If you're going to tax on actual consumption, so to the number of miles driven, which the SP apparently wants, wouldn't you also have to differentiate by the moment of the day? At certain times there are a lot of traffic jams on the road. I don't think a mileage counter would be appropriate for that either. What makes the SP so excited for this mileage counter?
ParlaMint-NL_2016-03-30-tweedekamer-5.u4	As far as Mr Groot's last question is concerned, we have, of course, already tried to do so with the proposal made by former Minister Eurlings. Fortunately, that's stranded, because otherwise you'd be stuck in traffic and paying taxes at the same time. We have a very simple solution, namely taxing the use on the basis of the mileage. Of course you can see all bears on the road right away, but you can also think: it is possible; let's just try to work it out and execute it and get started with it. I am in favour of the latter. And I don't want to say that all these commercials don't add up. Of course, there's been cheating everywhere. The mileage is also being cheated. That will happen, but at the same time it is less and less common. Manufacturers automatically communicate with the cars and mileage levels are read out remotely. At the apk the mileage is also recorded. You can build in more control moments. This will ensure that the fraudsters are quickly fished out. I would also point out that mileage fraud is simply prohibited, as is fraud with the gas meter or the electricity meter. We passed a bill for that. It's illegal now. If you get caught, you're the scarf. Can the Secretary of State at least work on a vision for the future and send it to the Chamber with the 2017 Tax Plan? This is a point that really needs to be worked out. This needs attention. I think it's the solution we need to go to. I am asking this question explicitly because several proposals within the current legislative proposal only come into effect later than on 1 January 2017, partly because of the implementation costs. Also introduced by 2018 or 2019 is included in the legislative proposal. It is precisely those years that are the beginnings of the next cabinet. And if you still rule your term, take everything with you. So also the possibility of paying to use. The best example where the starting date is much later is the introduction of the supplement in the vehicle tax for polluting diesel cars without a factory soot filter. Why can't we do this sooner? Why do we have to wait so long? In the note on the report, there is even a possible majority in the Chamber, provided that the CDA also supports an earlier entry date for a particulate filter for polluting diesel cars. The SP still does not agree with the fact that if good measures are proposed, no less than two and a half years will have to wait for implementation. In itself, the Secretary of State comes up with a plan B that includes a gross mrb supplement, but he also serves it to the trash can. Then I ask the Secretary of State if he would like to see again whether this is possible or not, because we have to wait far too long now. In the written preparation for this debate, the SP has clearly indicated that the Secretary of State may move a little more towards the Chamber. As a result of the preparatory debate, the draft law has actually been slightly amended. As with the Tax Plan, the CDA is not sufficient for a majority in the Upper House. The SP sees that the present bill certainly makes car taxes more future-proof, even for a few years. The SP is therefore very happy that there will be an end to the excessive tax stimulus on the so-called plug-ins. Those are cars that run both on fuel and on battery. We often see that people only use the tax arrangements and often continue to drive diesel and petrol. However, the SP also sees that there is a whole world to be won in the area of car taxes, even if it is just an exploration for the introduction of a mileage prize, as I mentioned earlier. If we then look specifically at the proposal before us, we will see a number of things. We see that the tax subsidy of business lease drivers continues to continue. In fact, if you have a company, you may first ask for the VAT for the car you lease. You can subtract all charges. Think about parking, gasoline, fuel, maintenance. Even if you take the car to the car wash, you can ask for the VAT and deduct the costs. You can also deduct road taxes. You can deduct the insurance even if you have a very expensive insurance policy with all-injury. Then the car will be on balance. You can write off on the car every year. You have to take into account a residual value, but you can write off 20% a year. That's gonna get rid of your winnings, too. Then, if you ever sell the car, you can also deduct the loss of value from your winnings. So the driver who drives business is subsidised in every possible way. What do we see in this bill? We see that the Secretary of State, who now stands at 25% for some, even reduces the addition to 22%. I understand, of course, that the proceeds will be returned in one way or another if the burden on hybrids and plug-ins is increased slightly to tackle abuse. But the way the Secretary of State does that, in our view, is unfair. The proceeds are to a large extent one-sided to the lease drivers. We don't think that's fair. We therefore propose that the addition should not be reduced to 22% but to 23%. That 1% difference also means 1% extra add-on for the business driver. We want to redirect the proceeds of EUR 60 million to the vehicle tax. This increases the burden on the business lease driver and lowers the burden on the private individual. An additional effect is that the business lease driver may choose to leave the car and take public transport faster, although I have to say that the pressure for it is very minimal. As I just said, there were 3.3% fewer buses in 2015, but 47.000 more cars. Do we think that's acceptable? I don't think it's a good development, especially if we want to keep going. For that we need fewer cars on the road and more people in public transport.
ParlaMint-NL_2016-03-30-tweedekamer-5.u5	Like the SP, GroenLinks is a warm supporter of good public transport, so that's where we find each other, but today it's mainly about cars. I hear that the sympathetic proposal is made that the most expensive polluting cars are not made cheaper, especially for lease drivers. GroenLinks agrees. But if money is found somewhere, does the SP think it should go to all the cars? Or does she agree with GroenLinks that it should go to the cars that cause the least air pollution, noise pollution and climate change?
ParlaMint-NL_2016-03-30-tweedekamer-5.u6	I fully agree with GroenLinks; perhaps we can find each other in that. Of course I'm in favour of stimulating clean cars. In fact, we have stimulated cleaner cars in recent years. Look around when you're outside and you see the result: there are more and more economical and less polluting cars. That is good and that is partly due to fiscal policy. You don't have to make the choice the Secretary of State makes. You have to go for it, and so you have to stimulate clean cars. So I fully agree with Mrs Van Tongeren's suggestion.
ParlaMint-NL_2016-03-30-tweedekamer-5.u7	That's very nice to hear. I want to go a little further on hybrid cars. I think we share that the lease driver, in the way it is now stimulated, has no incentive to use a lease car as clean and economical as possible, except perhaps his conscience. I think this will happen if these lease cars are placed on the private market, because there are a lot more ordinary men and women in there and someone will see it right back in their wallet. GroenLinks advocates that these cars become more accessible for people on a normal salary. Does the SP share that ambition with GroenLinks?
ParlaMint-NL_2016-03-30-tweedekamer-5.u8	Of course. In general terms, I have also pointed out that the plug-ins and hybrids, which are still often used in business, will be on the private market in a number of years' time. It would be nice to encourage them to stay in the Netherlands as much as possible instead of being exported abroad. We would have subsidised them but then lost them. And all the people they could have bought would buy a dirty car. I'd rather not.
ParlaMint-NL_2016-03-30-tweedekamer-5.u9	Those were nice green words from Mr Bashir. He flirts with the Secretary of State, who needs him for support from the SP Group. To be honest, that surprises me a little bit. This law has the effect of making new cars 10% more polluting and new lease cars 22% more polluting. Does Mr Bashir intend to agree at all to a law that does not make the fleet of newly sold cars more environmentally friendly but much dirtier?
ParlaMint-NL_2016-03-30-tweedekamer-5.u10	I think I've been very clear. As the bill is here, the Secretary of State cannot count on my support. If the bill is not amended, I will advise my group not to agree to it. In my opinion, I have been very clear in this regard. But the Secretary of State can get us with him. Then he'll have to do a few things. First of all, he has to promise that he's going to do a really serious job from paying to using. So he and his auto team must develop a vision of the future and see what is possible. That is not so much for this cabinet period, because it says in the government agreement that we are not going to do it now, but I imagine that a next cabinet will work on this. Secondly, he must do something about these tariffs. 22%, with all the other benefits I mentioned, is not acceptable to us. The Secretary of State really needs to move and then we can see if we can support the bill. I told you what we're thinking.
ParlaMint-NL_2016-03-30-tweedekamer-5.u11	With all due respect to Mr Bashir's plan, but with a 1% higher addition, you will not make those new lease cars 22% less polluting. That would be nice, but unfortunately it doesn't work that way. Is it a condition for Mr Bashir that this law ensures that there will be no dirtier new cars? I have a second question for him. I take it from his input that Mr Bashir is okay with the fact that a Porsche Cayenne, for example, is going to be cheaper when buying a nice car. Is Mr Bashir, if he gets his way on those few other points, happy that the driver of a Mercedes S500 or a Porsche Cayenne might be able to buy a much cheaper sports car with the support of the Socialist Party?
ParlaMint-NL_2016-03-30-tweedekamer-5.u12	There sounds a little jealousy with Mr. Van Weyenberg about that Porsche Cayenne. Who wouldn't want to drive Porsche Cayenne, I'd say? Mr Van Weyenberg should try it, instead of all those ugly Tesla's. Let us talk specifically about the proposal I have made. Mr Van Weyenberg says: 1% addition, what are we talking about? Well, it's about a lot of money. If the catalog value of a car is €50,000, then 1% of it is just €500 extra add-on. We can use this revenue, for example, to stimulate economical cars or to spare the mrb-payer, and so on, and so on. That 1% sounds little, but if you're talking about a Tesla of €100,000, you're just talking about €1,000 extra add-on. Of course, the example of a Tesla is not entirely justified, because it falls naturally into the 4% category.
