ParlaMint-NL_2019-02-13-tweedekamer-8.u1	The next item is the debate on dealing with the consequences of the continuing drought.
ParlaMint-NL_2019-02-13-tweedekamer-8.u2	I would like to welcome the Minister for Infrastructure and Water State and the Minister for Agriculture, Nature and Food Quality. I welcome the MPs, the people in the public gallery and the viewers at home. Eight speakers have come forward. Every speaker has four minutes. First of all, I give the floor to Mr De Groot of D66. Perhaps nice to know: the debate was requested on 4 September last year. We can remember that, I think. Then it was a dry period. You have the floor.
ParlaMint-NL_2019-02-13-tweedekamer-8.u3	Thank you, Madam President. I would have thought, given the importance of the subject, that the group chairmen would now be supplanting themselves for the interrupting microphone that they themselves wanted to have this debate. But that's not the case, so I'll do this myself. Indeed, my colleague, Mr Sienot, asked this with the words: "President. If we do nothing, the crops will dry up, nature will burn and the ships will crash." At that moment, I think it was still in the summer, before the recess, everyone looked a bit cozy: well, that's not going to happen anyway. But unfortunately, my colleague was right. I'm gonna say after it, this is gonna be the new normal thing, and get used to it. Mr. Chairman. The sea level is rising and the Netherlands is falling. With the disastrous dry summer in mind, D66 and GroenLinks make 62 proposals to cope with the consequences of climate change in the Netherlands, so that we can also keep our feet dry in the future. Yesterday, together with GroenLinks, we presented an initiative paper on this to the two directors.
ParlaMint-NL_2019-02-13-tweedekamer-8.u4	That immediately leads to an interruption. Mr. Geurts, go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u5	Yes, I think: the first person to take the word 'climate change' in his mouth tonight will get an interruption and the next. The D66 Group, through Mr De Groot, makes a link between drought and climate change, which, according to the D66 Group, is linked. The KNMI recently said: "An area with high air pressure above southern Scandinavia caused record-high temperatures and this drought. In the last century there has been no increase in the occurrence of this air pressure pattern, since 1979 there seems to be even a decrease. There is also no trend in less rain over the last 112 years. Therefore, it cannot be said that the drought is due to climate change in 2018." End quote of the KNMI. What is the reaction of the D66 Group to this?
ParlaMint-NL_2019-02-13-tweedekamer-8.u6	The same KNMI has said that the rise in sea level is going even faster than we anticipated. It was called 292 centimeters................................................................................................................................................................................ That means our kids are gonna go through that. That also means, has also been said by the KNMI, that the extremes will increase: it will get wetter here and sometimes drier. The fact that this summer might not fit in with this trend does not change anything.
ParlaMint-NL_2019-02-13-tweedekamer-8.u7	Mr De Groot is just unlucky that he used the word 'climate change' the first time. You can see very clearly that the KNMI says that you must not draw parallels between this drought and climate change. So I hope D66 doesn't do that yet.
ParlaMint-NL_2019-02-13-tweedekamer-8.u8	One swallow doesn't make spring and one dry summer may not make climate change yet. But that something is going on here and that sea level is rising and the country is falling, is absolutely the case, and no one will dispute that. That is why we have made these proposals, but today only three proposals, all three of which are based on the idea that we need to come up with smart solutions with nature. The first one. Waterscapes in peat meadows have been pumping away too much water for years, so the soil decline has gone far too fast: with the drought this summer up to seven centimeters. In villages and cities around, for example, the Green Heart, around peat meadows, this will damage up to EUR 22 billion by 2050 if we do nothing. That damage is caused to foundations and to houses of people living there, by pile rot. That has to do with the policy of the waterboards. Due to the over-dry peat meadows, 2 million cars are released into the air every year. Water boards have an important role to play in dealing with the consequences of climate change, Mr Geurts, but they are also an important cause of it. That's why D66 wants a study on the future resilience of water boards. Is there sufficient expertise on climate adaptation and, not to mention, in decision-making with the secured seats, the emphasis is not too strong on agricultural interests, while the residents ultimately pay the bill?
ParlaMint-NL_2019-02-13-tweedekamer-8.u9	An interruption by Mrs Van Brenn. Go ahead.
ParlaMint-NL_2019-02-13-tweedekamer-8.u10	I totally agreed with the last part, but I have my doubts about the first part. We also have difficulty with these secure seats, because we also have our doubts as to whether the citizens are democratically represented. In the first piece you question the quality of the people who work at the water boards. Then I hope that D66 will explain this, because I think they are extremely competent in the field of water.
ParlaMint-NL_2019-02-13-tweedekamer-8.u11	Thank you very much for this question. The water boards have had excellent people for 700 years and are doing their job. They do so by keeping our feet dry and also, in recent years, making sure that we can have agriculture. So it was actually functional board. This included the expertise you need for this. Several motions, including Mr Geurts, have recently been adopted in order to see whether we are not going to be able to do more work on these waterboards, including in the context of climate adaptation. Then you have to ask whether they have the right expertise, apart from projects and very good people. Do they have them in the house or should we do more? I think that is a justified question given the scale of the problem. There's another question you need to ask. It is now seen as a functional board and its background is actually "who pays, determines." But if the bill is deposited with society and the neighbors and the task becomes wider, namely that whole climate adaptation, you actually become a general government. That's why D66 thinks it's important that you adjust the way you make decisions and the secure seat will fit less.
