ParlaMint-FR_2018-01-16-O1111.u1	The next item is the question to the Government.
ParlaMint-FR_2018-01-16-O1111.u2	Mr Jean-François Parigi, for the Group of the European People's Party, has the floor.
ParlaMint-FR_2018-01-16-O1111.u3	My question is for the Prime Minister. When our police officers are caught in wild guets, when metros no longer stop at certain stations, gangred by traffic,...
ParlaMint-FR_2018-01-16-O1111.u4	Scandalous!
ParlaMint-FR_2018-01-16-O1111.u5	...when gangs rule their laws in our neighborhoods, it's the Republican order that's under threat.
ParlaMint-FR_2018-01-16-O1111.u6	Yes, and he is every day!
ParlaMint-FR_2018-01-16-O1111.u7	When prison guards are subjected to savage and abhorrent assaults by prisoners who are radicalized in prison, it is the authority of the State that is flouted. Last Thursday, in Vendin-le-Vieil, a well-known terrorist inmate tried to assassinate three guards with scissors and a razor blade.
ParlaMint-FR_2018-01-16-O1111.u8	It's serious!
ParlaMint-FR_2018-01-16-O1111.u9	Yesterday, seven prison guards were beaten in Mont-de-Marsan by a radicalized inmate. But it is every day that prison guards suffer outrages and assaults, insults, spitting, punches or beatings. Today, it was at Tarascon prison that a female supervisor was assaulted by a radicalized inmate. In prisons like the one in my constituency of Meaux-Chauconin – which I visited on December 7th – prison overcrowding is breaking all the records, and supervisors can no longer do so. [[Applause on the benches of the LR group]] Prime Minister, when are you finally going to take note of the legitimate exasperation of all officials, the custodians of public authority in our country? As far as the situation in our prisons is concerned, when will you create the 15,000 places promised? When will you strengthen the human and material resources of prison guards? When will you finally bring a firm answer to combat the drifts of radical Islam in French prisons? Our prison overseers are waiting for him, the French demand him, the situation dictates.
ParlaMint-FR_2018-01-16-O1111.u10	The Prime Minister has the floor.
ParlaMint-FR_2018-01-16-O1111.u11	Before I answer you, Mr. Member, allow me to wish the entire national representation, on behalf of the Government, the best wishes for an excellent year and personal development. [[Applause on the benches of the REM, MODEM and UAI groups]] You have asked me about the authority of the State, massaging a series of attacks, often violent, on State personnel who embody and carry out sovereign missions, as we all know, in fearlessly delicate conditions. In answer to your question, I want to start by telling all of these personnel that we are perfectly measuring the weight of the responsibilities that weigh on their shoulders. In prisons, in the streets, in public transport, everywhere in France, police, prison staff, gendarmes, firefighters sometimes, because they wear the uniform and embody – in the most literal sense of the word – the state, can be threatened or targeted. We will never accept it, neither you nor us, for it is not acceptable. I am well aware, Mr. Congressman, that it would be a little short.
ParlaMint-FR_2018-01-16-O1111.u12	Yes!
ParlaMint-FR_2018-01-16-O1111.u13	[[Claims on several benches in the LR group]] [[Same movements]] What we do not accept, we must make it impossible. But, with me, the state of the prisons, which you rightly denounce, is not entirely attributable to the current parliamentary majority, nor to the Government appointed in May or last June following the elections. Can anyone think, in the opposition or the majority, that we are not paying the price of excessive underinvestment for years today?
ParlaMint-FR_2018-01-16-O1111.u14	The argument is too easy!
ParlaMint-FR_2018-01-16-O1111.u15	[[Applause on the benches of the REM and MODEM groups]] In this new year, bad habits seem unfortunately to take over... [[Applause on several benches in the REM group]] [[New applause on several benches of the REM group. – Protests on several benches of the LR group]] Mr President, we have committed ourselves to a real increase in the resources made available to the Ministries of Justice and the Interior – perhaps even you yourself have voted for this measure – because we are aware, like you, that there is a considerable stake in restoring the authority of the State. We have not increased these budget allocations for the sake of increasing public spending, but because for too long, as we know, spending on essential elements of national and collective security, in prisons and in the police, has been too low. Let me say this, honourable Member: in this area, under-investment and under-expenditure have been shared, and for a long time – and I will say no more. I hear you on the need to be firm and to build additional prison places, and we have committed ourselves to that.
ParlaMint-FR_2018-01-16-O1111.u16	We can't see anything coming!
ParlaMint-FR_2018-01-16-O1111.u17	In the Public Finance Programming Act, we have justified a number of changes in spending through this considerable investment effort. The effort, moreover, is not only about investments: we must also ensure the recruitment of prison staff, which is difficult because missions are delicate. So we have to convince the candidates, through attractive careers and salaries. I know you're aware of this delicate problem. [[Applause on the benches of the REM and MODEM groups]] We are therefore moving forward with the ambition to do better; It will be long and difficult, but we are particularly determined.
ParlaMint-FR_2018-01-16-O1111.u18	The next speaker is Mr Eric Bothorel, on behalf of the Group of the European People's Party.
ParlaMint-FR_2018-01-16-O1111.u19	My question is to Mr Julien Denormandie, Secretary of State to the Minister for Territorial Cohesion.
ParlaMint-FR_2018-01-16-O1111.u20	Parisianism!
ParlaMint-FR_2018-01-16-O1111.u21	Mr. Secretary of State, access to mobile networks is a major expectation of the French, and the President of the Republic has pledged to expand quality mobile coverage by 2020. Together with my colleague Laure de La Raudière, we issued a report last September highlighting a clear divergence between the measured coverage and the coverage felt by our fellow citizens. There are still too many people today who cannot make a simple, uninterrupted phone call. This situation is unacceptable. Mr Secretary of State, you announced on Sunday that you had reached a historic agreement with telecommunications operators, which should allow the disappearance of white areas in France. In particular, the agreement provides for more than EUR 3 billion to be invested in this commitment. This is an essential measure of justice for the cohesion of our country. [["Yes! » on the benches of the LR group]] It must be noted, however, that such promises have already been made in the past, without the results being commensurate with expectations. That is why, Mr Secretary of State, I would ask you to clarify what this agreement really brings to our citizens and, more precisely, what quality of service, in terms of indoor coverage and on the main transport routes, you are aiming through this agreement.
ParlaMint-FR_2018-01-16-O1111.u22	Good!
ParlaMint-FR_2018-01-16-O1111.u23	Will our citizens tomorrow be able to send a text message, make a call, make bank transactions or take advantage of all the audiovisual services on mobile, without fear of interruption of service? [[Applause on several benches in the REM group]] What do you intend to do to speed up deployments, when we know today that it takes on average four to five times more time in France to deploy an antenna than in our British or German neighbours?
ParlaMint-FR_2018-01-16-O1111.u24	The Secretary of State to the Minister for Territorial Cohesion has the floor.
ParlaMint-FR_2018-01-16-O1111.u25	[[Applause on the benches of the REM group]] Member of the European Parliament, with Jacques Mézard, Mounir Mahjoubi and Delphine Gény-Stéphann, we actually signed a historic agreement a few days ago with the four mobile telephone operators. It is a historic agreement because it is deeply ambitious. Firstly, EUR 3 billion will be invested by mobile operators, especially in the least populated areas, because we can no longer bear the fact that there are entire villages in France where mobile telephony does not work or works badly. Second, more than 10,000 municipalities will move from 2G or 3G to 4G before the end of 2020. It's important because, as you said, MP, 4G makes it possible to use the Internet on his phone.
ParlaMint-FR_2018-01-16-O1111.u26	We didn't wait for you!
ParlaMint-FR_2018-01-16-O1111.u27	Thirdly, the main routes of road and rail transport will see a significant improvement in mobile coverage. It is therefore a historic agreement because it is deeply ambitious. Such an agreement had never been signed in the past. This agreement is also historic in its form, since it has the specificity of being purely binding. In other words, all the undertakings of the operators will be insured, and controlled by the telecoms constable, the Autorité de régulation des communications électroniques et des postes – ARCEP. If the operators fail to comply with these commitments, they will not be able to have an emission authorisation, which is known as frequencies, which is in the hands of the State, under the control of ARCEP. This agreement thus makes a winner, all the French, especially those living in less populated areas. [[Exclaims on the benches of the NG and LR groups.– Applause on the benches of the REM group]] It is also, if you will allow me, ladies and gentlemen of the House of Commons, a symbol of the method of this government led by Édouard Philippe. Finish the good intentions, finish the commitments under the sign of perhaps.
ParlaMint-FR_2018-01-16-O1111.u28	It's in the law that we voted!
ParlaMint-FR_2018-01-16-O1111.u29	[[Applause on the benches of the REM and MODEM groups]] We are in the concrete, in the contracting of firm commitments, with only one objective, that of achieving results for the French.
ParlaMint-FR_2018-01-16-O1111.u30	The floor is open to Mr Stéphane Peu, for the Group of the Democratic and Republican Left.
ParlaMint-FR_2018-01-16-O1111.u31	Prime Minister, in the mouth or under the pen of a communist, an insoumis or a trade unionist, the term "President of the Rich", coupled with the policy led by Emmanuel Macron, could take the traits of a simplistic formula, guided by political hostility, in short, be nothing more than bad propaganda. [[Exclaims on the benches of the LR group]] To get rid of the sparadrap of this tenacious accusation, confirmed by the polls, your government tried to argue that the finance law passed before Christmas was in fact – you had to dare! – a gift to the purchasing power of the French.
ParlaMint-FR_2018-01-16-O1111.u32	That's right!
