ParlaMint-NL_2016-05-18-tweedekamer-7.u1	I would like to welcome the Prime Minister and the Foreign Minister. I call Mr Voordewind.
ParlaMint-NL_2016-05-18-tweedekamer-7.u2	Mr. Chairman. It is good that the Prime Minister is present at this debate. This time he's not wearing a bow tie. There is not much to celebrate when we talk about Turkey. When the Christian Union called for this debate, Mrs Umar was still stuck in Turkey. Fortunately, she has returned to the Netherlands. For this, the Christian Union Group congratulates the Cabinet, in particular the Prime Minister and the Minister for Foreign Affairs. It would have been unacceptable for Mrs Umar to be held by Turkey. That is not the end of the matter itself. The trial is yet to come. I therefore ask the Foreign Minister and the Prime Minister what the cabinet will do to provide further assistance to Mrs Umar in her process. I understand Mrs. Umar's employer is paying for her security. Is it not obvious, I ask the rulers, that the Dutch State should bear these costs if a threat analysis shows that it needs security? Can the Minister and the Prime Minister guarantee that Mrs Umar will not be extradited to Turkey? I would like a clear answer from the cabinet, because I am considering tabling a motion on this point. Ms Umar's security also indicates that President Erdogan's actions in the Netherlands encourage people to threaten Ms Umar. Also because of the announcement of the hotline by the Turkish consulate, it is possible that Turkish Dutch people in particular feel limited in their freedom of expression. After all, the same thing could happen to them if Mrs Umar were to visit Turkey again. In what way is the Foreign Minister going to make it clear to the Turkish Government that we are not served by threatening language towards the Dutch? It is significant that the professor of Turkish language and culture of Leiden University, Mr Zürcher, has returned his high distinction to Turkey, in protest against "President Erdogan's dictatorial malpractice." According to Mr Zürcher, Erdogan Turkey cannot and cannot become a member of the European Union. The Umar case clearly shows that Turkey maintains totally different values than the Netherlands and Europe. President Erdogan does not tolerate criticism. In no country are there as many journalists as in Turkey. That country is sending refugees forced back to Syria. At the moment hundreds of innocent Kurds are killed in the fight against the PKK. In November 2015, the European Commission also highlighted the serious human rights violations in Turkey and the lack of progress in strengthening the rule of law. Turkey's involvement goes beyond its own borders. Recently even the Reformatorisch Dagblad was tapped on the fingers. The fact that Turkey criticises this newspaper's main editorial comment is not only inappropriate but also intimidating and outrageous. With that country in particular, the Netherlands and the European Union are making a deal on refugees. The European Union wants to speed up discussions on membership, the Turks will be able to travel visa-free and Turkey will receive another 6 billion. For visa-free travel, the anti-terror laws must be adapted, but Turkey has already stated that it does not feel that way. It is important not to amend these laws, because the Kurds and journalists in the eyes of Erdogan could soon make state-abiding activities or statements. What is the Turkey deal if no people are returned and the air bridge with which vulnerable Syrians can be taken from Turkey into Europe does not literally come off the ground? Zürcher also points out that Erdogan's measures and ideology, using Islam as a voter, make the country incompatible with Europe. Zürcher says that the standards of conservative Muslims are increasingly being raised to general standards. If you don't listen, you're gonna get your ass kicked and dragged to court. If these sounds come from previously very pro-Turkish opinion-makers, then you would say that other parties in this Chamber should also open their eyes. In conclusion, I would like to point out that Mrs Umar's case is symbolic of the Turkish attitude towards many journalists. Freedom of the press is still being restricted and the situation regarding religious freedom is deteriorating. The Turkish government still does not recognise the Armenian genocide after 101 years, the Kurds are still under attack and the refugees are driven back into the hands of ISIS. The opinion of the Christian Union is therefore clear: draw your conclusions, stop doing business with President Erdogan, stop negotiating a European membership and stop the Turkey deal.
ParlaMint-NL_2016-05-18-tweedekamer-7.u3	Mr. Chairman. It is sometimes good to start a debate with compliments, with sincere congratulations to the Prime Minister, the Minister for Foreign Affairs and the diplomats involved. They managed to lift Ebru Umar's land arrest. Unfortunately, however, the misery is not yet over. The criminal case is still pending. Therefore, the following questions. What does the Cabinet do about the criminal case? Has the Prime Minister called Erdogan yet? Does the cabinet agree with the VVD and the PvdA that Ebru Umar should never be extradited to Turkey? What does the cabinet do to prevent other Dutch travelers from waiting for the same fate as Ebru Umar on holiday or on business trips to Turkey? Umar is now in the Netherlands, but the question is whether she is safe. She's been robbed. Her house is smeared and damaged, and now she has to live in safe houses because of the threats. That's really the reverse world. Not the bereaved lose their freedom, but the threatened. I would like to hear from the cabinet whose threats are coming and what the cabinet is doing to put an end to them. Freedom of expression is one of the core values of our liberal democracy. The ability to say what you think and what you think distinguishes our democracy from dictatorships and totalitarian ideologies, which silence people who think otherwise. We must stand up for this freedom. There is no way we can negotiate with that freedom. Unfortunately, Dutch journalists are all too often victims of totalitarian regimes in the countries where they work. In Turkey alone, the Dutch journalists Fréderike Geerdink, Bram Vermeulen and Mehmet Ulger clashed with the autocratic regime of Erdogan. I am also thinking of the case of Rena Neatjes in Egypt and the case of Rik Goverde in Morocco. Often it is possible to securely bring those involved to the Netherlands, but then they are no longer allowed to practice their profession in those countries. They are literally silenced. In such cases, there is a pyrrus victory for the freedom of the press. D66 therefore wants Dutch journalists persecuted abroad to be automatically entitled to legal assistance and the corresponding financial resources. So we are thinking of a support fund for journalists in need. I'd like a response from the Foreign Minister. I told you, freedom of speech is at stake. The intimidation by Erdogan and his associates is not limited to the Turkish land borders. The Turkish consulate in Rotterdam wanted to introduce a click line. Erdogan wanted to prosecute a German comedian. Erdogan wanted to censor a photo in Switzerland. There is a list of 1,200 Belgian Turks who are no longer allowed in the country because they are critical of Erdogan. These are all examples of Ankara's long arm. Of course we can dismiss Erdogan as someone with long toes, but the problem is much more fundamental. We are dealing with a president who takes every opportunity to curtail and polarise our freedom. He also has that effect in the Netherlands. However, Erdogan simply has nothing to do with the Dutch of Turkish origin. It's not the first time a case like this has been dealt with. There's been a steady pattern. Erdogan is doing something bizarre and following the Dutch indignation from the cabinet and the Chamber. It seems to be a pattern that we cannot break unless we send a clear signal. Our Prime Minister should speak loudly and clearly against these actions, against these visible attempts to restrict our freedom and against these provocations. It is just as important that we reduce our dependence on Erdogan. He now wants to make the most of it, knowing that the EU-Turkey deal is the only thing the European Union has. It is therefore time for a plan B: a genuine European asylum policy, rapid legal migration routes and better reception in the region. I'd like a response from the Foreign Minister.
ParlaMint-NL_2016-05-18-tweedekamer-7.u4	Thank you. I shall now give the floor to Mr... No, to Mrs Maij for an interruption.
ParlaMint-NL_2016-05-18-tweedekamer-7.u5	I thought I'd ask you a question. Mr Sjoerdsma talks about Plan B, a genuine European asylum policy. That seems to me to be a good thing, but then we also have to talk to Turkey, because Turkey is and remains the country where almost 3 million Syrian refugees now reside, who also need protection. And we also very much want them to have that protection properly there. How does Mr Sjoerdsma see that?
ParlaMint-NL_2016-05-18-tweedekamer-7.u6	Of course, the Syrians in Turkey must be protected. When I think only of the reports by Human Rights Watch and Amnesty who have been mentioned here in recent weeks about how Turkish border guards have violently denied access to the country to refugees fleeing terrorist groups such as ISIS and Al-Qaeda... Of course we are dealing with Turkey. After all, we must do something for those refugees. I am therefore disappointed that the PvdA again this morning, in general consultation on the forthcoming JHA Council, notes with us that what is happening in Turkey is very worrying, but does not want to conclude that we cannot send people back to Turkey.
ParlaMint-NL_2016-05-18-tweedekamer-7.u7	It's nice that Mr. Sjoerdsma is turning it into a you-bowl, but he's not answering my question. As he rightly points out, there are problems with the reception and protection of refugees in Turkey, and that is what we need to do. This means that, as annoying as that may be, you have to talk to the authorities of Turkey to see what kind of protection you can offer, in whatever way you can, for example, give that role to an organisation such as UNHCR, which should have an important role there. This means not only being critical and not only noticing what is going on, but also that Plan B should take shape in talks with the Turkish authorities and with the authorities in Turkey. How does Mr Sjoerdsma see that?
ParlaMint-NL_2016-05-18-tweedekamer-7.u8	That is the difference between the Labour Party and D66: the Labour Party has put all its money on this EU-Turkey deal and cannot go back. As a result, it is a painful conclusion that Erdogan wants to get the best out of the can and continues under the guise of this deal. The only way to deal with this is to ensure that we are not entirely dependent on Erdogan in the joint approach to refugees. And what does that include? This includes a common European asylum policy. D66 has been advocating this for three, four, five years, while other groups in this Chamber have been talking about school milk and olive oil on restaurant tables. This was the case in the State of Europe debate three years ago. I remember it well. So that is our plan B: a genuine European asylum policy. Take that together, because that's where it went wrong prior to this deal. That's one. Two is - and Mrs Maij is partly right about this - that you should also be able to fight for each other in the region, but that does not mean that we need to make ourselves dependent in the same way as we do now.
ParlaMint-NL_2016-05-18-tweedekamer-7.u9	I note that Mr Sjoerdsma is half listening. He's half right with me, but he's only half right with me. That common asylum policy is advocated by many political groups...
ParlaMint-NL_2016-05-18-tweedekamer-7.u10	I do now.
ParlaMint-NL_2016-05-18-tweedekamer-7.u11	...and not just by D66. No, that's what other groups have been doing for a long time. You really should read that again, Mr Sjoerdsma. Even these and previous governments have been advocating it, to be precise, since 1999. However, Turkey is the neighbouring country with almost 3 million refugees, and we cannot abandon these refugees either. Nor can Mr Sjoerdsma.
