ParlaMint-NO_2017-01-18.ana.ud525e28	The representative, Jenny Klinge, will put forward a proposal for a representative.
ParlaMint-NO_2017-01-18.ana.ud525e33	On behalf of Marit Arnstad, Geir Pollestad, Kjersti Toppe, Per Olaf Lundtägen, Trygve Schlagsvold Vedum, Liv Signe Navarsete, Ivar Odnes, Janne Sjelmo Nordås, Heidi Greni and myself, I would like to make a proposal on the quality and content of the Länsmann offices following the implementation of the police reform.
ParlaMint-NO_2017-01-18.ana.ud525e38	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2017-01-18.ana.ud525e54	On Monday the Stortinget received a message from the Prime Minister's office that the Councils of State, Siv Jensen, Anniken Hauglie and Jon Georg Dale will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. We start with the first main questions, from the representative Marianne Marthinsen.
ParlaMint-NO_2017-01-18.ana.ud525e63	The question goes to the Minister of Finance. Since 2013, unemployment has increased by about 40 pst. There is almost no job creation in the private sector – in fact, there are 17 000 fewer jobs in the private sector now than it was two years ago. Norway was previously at the top of the employment rate, but since 2013 we have been passed by countries such as Sweden, Denmark and Germany. Unfortunately, the government has consistently blocked in its predictions how the Norwegian economy is going to evolve. Time and again, we have served the same lesson that the budgets have been well adapted to the economic situation, and over and over again, we have seen that the growth that we thought would come has been absent. In the budget that we dealt with before Christmas, it's assumed that we're going up to 1.7 pst. growth this year, and a very important prerequisite for that to happen, is that we get a solid growth in exports, but so far we see no sign of it – on the contrary. On Monday, the new SSB figure showed that in 2016 exports were reduced by 10.6 pst. from 2015. The trade surplus, i.e. the difference between exports and imports, fell by 36,3 pst. and now at the lowest level of 17 years. This is the serious thing. This is not just about the petroleum sector. Despite lower interest rates, despite low cost rates, exports from mainland companies are weakened. What we see now is serious, and I just want to ask the finance minister to share his thoughts about the numbers that we got from the SSB this week. Are they weaker than the Minister of Finance expected? What does she think they mean for what kind of expectations we can have about the development of activity and unemployment in the year in which we now live?
ParlaMint-NO_2017-01-18.ana.ud525e78	I would like to share both numbers and thoughts with the representative Marthinsen, and although the Workers' Party continues its negative mention of developments in the Norwegian economy, I can now present completely fresh figures from the SSB that will be published a little later today. They show that from 2013 to 2016 there have been some 50 000 job losses, i.e. 50 000 fewer people employed in the petroleum-related business. But in the same period, 80,000 new jobs have been created. This means that more jobs have been created net of what has gone away, and of the 80 000, only 20 000 have been created in the public sector. This means that the greatest growth in employment, the greatest growth in the new jobs, comes in the private sector, as this government has stressed repeatedly, is what is needed to bring growth to the Norwegian economy. These are joyous numbers, and they are blending into the image of the slightly greater optimism that is now spreading in the Norwegian business community. We are now receiving ongoing reports from various parts of the business community that indicate that they are looking at the situation more lightly. The regional network of Norway’s Bank reports brighter times, the NHO’s own business barometer reports brighter times. That's good. I think it is too early to lift the flag and cancel the challenges, because there are still challenges, especially in parts of the South and West, but things are going better. I think we should be happy about that. In addition, some of the industries in this country are doing tremendously well. We see strong growth in the tourist industry, with more hotel nights in Norway now than in the previous year. We see that the fishing industry is still setting new export records. There is a lot going in the right direction, and I had hoped that the Workers' Party too was able to enjoy it a little.
ParlaMint-NO_2017-01-18.ana.ud525e85	The Labour Party is obviously able to enjoy what's going well, and if we now get new figures that show that after seven quarters in a row, where all the job growth has come in the public sector, now looks a little better in parts of the private sector, it's fine – obviously. But it is the Minister of Finance himself who has provided a budget in which we have assumed that we need substantial growth in export figures in order to reach the direct estimates on which we are based in order to get up to 1.7 pst. And it is difficult to see that we are on our way there – with the export figures presented by the SSB on Monday. We have a drop of over 4 pst. in the value of the exports. If we are to be able to replace the loss of petroleum revenues, it is in exports from mainland farms that the growth has to come, and instead of a growth of over 4 pst., as 1.7 pst. growth in total economy requires, now we see a fall at the top of 4 pst. [[The President clubs.]] It would be interesting to hear from the finance minister what she thinks about these numbers.
ParlaMint-NO_2017-01-18.ana.ud525e90	That's it.
ParlaMint-NO_2017-01-18.ana.ud525e95	I have expressed in many contexts that while we see that it is shining, there is still some uncertainty about tracking in parts of export-related business, which means that some people have held back investments. But at the same time, there's a lot of interesting news. I went to see the Western Pole last week. The fishing industry is now talking about homesourcing instead of ‘outsourcing’, so they want to take jobs home and start producing in a completely different way from what they have done in the past. This suggests that optimism is coming back, and that also means that because we have strengthened the competitiveness of large parts of industry and competitive business, it is now more profitable to take home jobs. Norsk Industrie has talked about the same in different contexts. So yes, it's true that we've been standing and still facing a challenge for the Norwegian economy, that we're going to replace the loss of the hyper return that the oil industry has given us, but these numbers that I'm now presenting from the SSB indicate that we're going in the right direction, and so maybe the Workers' Party can soon stop painting the situation.
ParlaMint-NO_2017-01-18.ana.ud525e100	It opens for follow-up questions – first Tore Hagebakken.
ParlaMint-NO_2017-01-18.ana.ud525e105	As I said, the SSB figures show that the trade surplus fell to the lowest level of 17 years last year. Exports not only concern the oil sector but also the exports from the mainland industry are weakened. The finance minister has long been busy talking about it turning around, but the rise has been waiting. Now we hear the Minister of Finance talking about the brighter times. So there's no doubt: the working party is carved into a trailer of lighter times. We're not trying to blackmail in any way, but we think it's okay to get clarity in the Minister of Finance's assessment here. Therefore, my question is whether she still believes in her own estimates in the budget from this fall, or whether these figures give cause for concern, despite the announcement of brighter times.
