ParlaMint-FR_2018-08-01-E1044.u1	The next item is the question to the Government.
ParlaMint-FR_2018-08-01-E1044.u2	Mrs Elsa Faucillon has the floor for the Group of the Democratic and Republican Left.
ParlaMint-FR_2018-08-01-E1044.u3	Mr President, ladies and gentlemen, my question is for the Minister for Foreign Affairs. A few days after the passing of the law that de facto legalizes the apartheid regime existing in Israel, a boat of the Freedom Flotilla welcoming on board twenty-two peace activists, including a French national, was arrested on the high seas by the Israeli army. Bringing together associations from around the world, the aim of this fleet is to bypass the illegal blockade of Gaza, with medicines on board, to limit the current shortage in its hospitals. Yesterday, the boat was approached by IDF soldiers in international waters; the master of the ship was ordered to divert his route, then the crew was violently arrested, tassed for some, and imprisoned in Givon. After Salah Hamouri, another French woman is now in prison in Israel, without it seems to cause diplomatic emotion. Several questions arise as a result of this event. First of all, can you tell us, or remind us, why France does not condemn the illegal blockade of Gaza? A whole population has been imprisoned for eleven years, having no access to its airspace, nor to its maritime space, and can rely only on its jailer to provide for its needs.
ParlaMint-FR_2018-08-01-E1044.u4	It's a war, this population!
ParlaMint-FR_2018-08-01-E1044.u5	France seems to find this normal; It's extremely shocking. Why has France not yet publicly condemned the boarding of a Norwegian flag vessel on the high seas? This is like piracy. But there is still time to protect the second ship, Freedom. Why is Sarah Katz, a French activist from the French Jewish Union for Peace, still in prison? Is French diplomacy at this point at the orders of the extreme right-wing Israeli government? And when does France intend to react to finally express its solidarity with the Gazaoui people...
ParlaMint-FR_2018-08-01-E1044.u6	There's no such thing as the Gazaoui people!
ParlaMint-FR_2018-08-01-E1044.u7	[[Applause on the benches of the NG, FI and GDR groups as well as on a few benches of the MODEM group]] ...and act to put an end to Israel's impunity? That is the price of peace.
ParlaMint-FR_2018-08-01-E1044.u8	The Minister for European Affairs has the floor.
ParlaMint-FR_2018-08-01-E1044.u9	Madam Member, you are referring to what has just happened in the Gaza Strip. While there is rarely good news from Gaza, the situation has recently become particularly worrying. There are two elements in your speech: the first concerns the situation of a boat and one of our compatriots, the second concerns the general situation in Gaza. This is not the first time that a fleet has travelled to Gaza to protest the blockade and to provide humanitarian assistance; It is also not the first time that the ships of such a fleet are docked by the Israeli navy. On Sunday, all Al-Awda passengers were arrested. Among them is one of our compatriots, Sarah Katz. This is of course our first concern: the consulate visited him yesterday. We are verifying that international law is applied to it and we are implementing all the consular protection to which it is entitled. Meanwhile, the humanitarian cargo contained on the vessel is being transported to Gaza. More broadly, the situation in Gaza is of particular concern. Of course, there is a humanitarian crisis, but without a political crisis, there would be no humanitarian crisis. This political crisis is due to the lack of a prospect of peace for the Palestinian territories. [[Applause on the benches of the LaREM, MODEM and FI groups]] Our position is known and clear, but I repeat it even more clearly today, since you invite me to do so: we want the blockade of Gaza to be lifted, taking into account the necessary security guarantees for the Israeli State. Of course, we hope that negotiations will resume and that a two-State solution, living side by side in secure borders, in peace and security, with Jerusalem as its capital, will prevail. We are working on it; Jean-Yves Le Drian is now in Jordan to work on this subject.
ParlaMint-FR_2018-08-01-E1044.u10	The next speaker is Mr Guillaume Kasbarian, for the La République group on the move.
ParlaMint-FR_2018-08-01-E1044.u11	My question is for the Minister of Transport. I would like to associate my colleague Aurora Bergé, Member of Parliament for Rambouillet. The Paris-Montparnasse train station welcomes more than 50 million passengers every year, among them the thousands of daily users of the TER Paris-Chartres line, one of the most frequented in France. For these, each delay generates stress, fatigue, occupational risks and family tensions. [[Applause on a few benches of the LaREM group – Exclaims on the benches of the LR group]] Last Friday's fire in an electric transformer from the TEN company had a considerable impact on train traffic. The connection was completely cut off for several days between La Verrière and Paris. You reacted immediately, announcing the opening of an investigation. The SNCF and TEN refer to each other as the ball of responsibility. In the meantime, it is the users who suffer. Many of us have organized citizen solidarity. I myself have taken several of our fellow citizens in carpooling. Beyond this exceptional crisis, 10% of trains on the Paris-Chartres line are lagging behind, often due to infrastructure: equipment failure, signalling, failure to switch... These daily delays require investment, but also an immediate response to the dissatisfaction of users: undisputed statistics, fair compensation, agile alternatives, clear information. Madam Minister, who are responsible for last Friday's crisis at Montparnasse station and what are the solutions to ensure that this situation does not happen again? More generally, what investments are planned to modernise rail infrastructure and improve service to users, for all the French who get up early and lie down late, who are waiting for concrete solutions to improve their daily journeys?
