ParlaMint-NL_2015-10-28-tweedekamer-6.u1	I give the floor to Mr Van Meenen. He has indicated that he will speak for fifteen minutes.
ParlaMint-NL_2015-10-28-tweedekamer-6.u2	Mr. Chairman. I look forward to next year's budget debate. When I open the newspaper in the morning on the day of the budget debate, I see all the great ideas of the coalition parties. One year or two ago, these were the ideas of D66, after which they were carefully fired by the coalition, to present them as brand new on this day. Delicious. I count my blessings, but I would like to do it a little bit more efficiently this time and recommend that we go along with my proposals today. Whose education is it? This question is not easy to answer. Previously it was special education of parents and public education of the government. Now it seems that education is mainly from the school boards. They are about whether or not to accept students and they may or may not ignore advice from parents, teachers, students and students. In the end, however, education belongs to all of us. The question is how do we make education really everyone? The question for whom we do it is more unambiguous: for students and students. We want to give them the best luggage for their future, because that is ultimately in the interests of our society as a whole. It is therefore strange that in education we have better established the position of the school boards than that of the pupils. Our education laws are aimed at educational providers and not at educational enthusiasts or enthusiasts. Our system leads to educational institutions that only allow students or students who already score well. Institutions also allow students or students because this is financially more attractive. The funding is not aimed at the student, but at the school. Passage is not rewarded but made expensive. If a school wants to offer a chance to a child by looking for a higher level of success, it will be punished in the context of drainage if it does not succeed. Students have a compulsory education, but what is compulsory education worth if there is no school that can provide you with education? What good is a secretary of state trying to force you to go to school when there's no school that can give you a suitable place? It is the drama of appropriate education and thousands of homeowners. This creates opportunities for children and therefore, in line with international treaties, D66 advocates a legal right to education. It is really too crazy for words that this does not exist in the Netherlands. Of course, care is required here. That is why we propose that the Netherlands Centre for Education Law, in which professors cooperate on education law, should carry out research into how a learning right can be enshrined in the law, perhaps even in the Constitution. Whose education is it? Too often decisions are taken on education, without those who are at the heart of education having a say in decision-making. However, this is necessary in order to improve the quality and flexibility of education. After all, they know best what good education is and they know best how to adapt to the rapidly changing world. They know what skills students need, and I say it to Mr Beertema just to get into the labour market, to start their own business, to do research, or whatever. Therefore, the legislative proposal on strengthening administrative power is a missed opportunity. As far as D66 is concerned, it is precisely about strengthening participation. Therefore, in the run-up to the debate on this subject, I will come up with my own participation plan which contains concrete points to really strengthen participation. Some of them cannot be surprising: right of assent on the main lines of the budget, right of assent on the appointment of directors, the allocation model as a natural part of the main lines of the budget, and the student's presence at the meeting of the board of directors, which should have been settled for a long time. Such elements will be part of the plan. I hope to find a lot of partners for it. The Co-determination Support Point risks disappearing due to lack of resources. Is the Secretary of State prepared to ensure the continued existence of this important focal point for participation? Then I'll come to the money and the teachers. D66 has said it many times: appropriate education is a nice thought, but to offer customization extra hands in the classroom are needed. With puff classes and growing differences in the classroom, appropriate education remains a lip service. On Monday we received the message that the 150 million euros that this cabinet had reserved to hire young teachers in schools was not spent on that, but on teachers sitting at home. So that promise didn't come true, while those extra hands in the classroom are so incredibly needed. How is the Secretary of State going to ensure that the money is spent on additional teachers? How's he gonna get unemployed teachers back to work? How does the Secretary of State respond to the PO Council's message that the extra money is not sufficient to compensate for the rising costs in primary education? This observation is, moreover, in line with the report of the General Court of 2013. This isn't the only thing that worries D66. The wage agreement concluded by Minister Plasterk with the unions also threatens to keep teachers in the bank rather than in the classroom. This is particularly true if the pension premium is going to increase rather than decrease. The same budget for schools, but rising employers' burdens: this is a recipe for education in the tights and fewer teachers at work. Has the Secretary of State discussed this with his colleague Plasterk? Can he guarantee that rising pension contributions do not lead to larger classes?
ParlaMint-NL_2015-10-28-tweedekamer-6.u3	I hear Mr Van Meenen summing up all kinds of things. He speaks of increased pension contributions, increased WW contributions and increased over-statutory WW contributions. He is asking a number of questions about this to the Secretary of State, who I think are quite obligatory. He asks if this means anything for the size of the class. I believe that every euro we spend not on teachers but on these kinds of things means that there is less money for education. Does Mr Van Meenen have any idea how we can change that, so that the money gets into class?
ParlaMint-NL_2015-10-28-tweedekamer-6.u4	I have put forward proposals on the control of teachers, parents and students as to where the money is going. I will repeat it in the course of the discussion of the strengthening of administrative power bill. Moreover, we should not have high expectations in primary education that this will suddenly lead to major shifts there, because that is where the overhead is extremely small. After all, primary schools are not responsible for their own new buildings, because these are the municipalities. That is not where the solution will lie. I therefore believe that extra investment should be made in primary education in particular. That is why my group has in the General Political Reviews that want to achieve an additional 100 million for appropriate education. I'm afraid that didn't work out. I do not see the solution either, but it can only be found in the cabinet. An agreement has been reached with the expectation that pension contributions will fall. That is the responsibility of this cabinet. I'm not gonna take it. However, I am in favour of the strict condition that the classes do not increase.
ParlaMint-NL_2015-10-28-tweedekamer-6.u5	The CDA Group supported the motion for extra money for appropriate education, but it did not achieve a majority. We have to see that with each other. That is the reality we are living in now. My question to D66 is next. If you see that there is now a lot of money going on in pensions and other matters -- that's all prejudged by the PO Council and we've all got that data -- what's D66's answer? Does she accept this reality, or does she want to bend it?
ParlaMint-NL_2015-10-28-tweedekamer-6.u6	It is not clear enough for me to bend over; that sounds like cuts to me, and we do not want that, of course. We've been wanting to invest extra in education for years. We did. The fact that there is also a plus in primary education, in addition to those loves, is due, among other things, to the autumn agreement, which the CDA unfortunately did not participate in, but which adds EUR 289 million to primary education every year. We can see from the figures from the PO Council that this is not enough to cover the rising costs. My group is concerned about this, but at the moment it considers the problem that arises in primary education, especially as a problem of this cabinet. That is what caused it by concluding that agreement and then failing to honour the agreements, which I think is a very bad thing. Recently, a ranking was published by the OECD and the Netherlands was at the top of the list. This is normally good news, but not in this case, because in the Netherlands education contributes most to inequality. So that's not a list you want to be on top of. Shameful, actually. The recent report on education systems compared indicates that early selection as in the Netherlands is related to social inequality in learning outcomes. It is good that we are now looking at a revision of the curriculum with Education 2032 but more is needed for the future. An education system that promotes inequality is, as far as my group is concerned, a bankrupt system. Where's the flow and where's the customization? For D66: on the shovel with the shufflebox model in which you are pushed unrelentingly into a box after a run-up to the primary school and where you have to defy the laws of aerodynamics to get into another box. Are the directors willing to look with the Education Council to see how we can set up our educational system in such a way that equal opportunities, flow, flow and tailor-made work become the norm again? Let me now turn to the refugee children. All children are entitled to good education. At present, many schools host children who have just fled a war zone. Teachers do everything in their power to provide these children with good education, sometimes in special classes, sometimes in regular education. This requires a lot because they are children with emotional baggage and lack of knowledge of Dutch, although they often learn quickly. D66 believes that we should also offer these children a chance for a hopeful and bright future. This means that there must be sufficient hands in the classroom and sufficient funding. This calls for a more flexible handling of the moments of measurement on which funding is based. We also need to consider how we can provide additional guidance for these children and for these schools in the short term. Is it possible, for example, to hire temporarily unemployed teachers for this purpose? What's in the way of that? Can teachers with a pabo diploma also be used for first-care education, the international link classes? At present, this is reserved for the VET group, but as far as D66 is concerned, pabo-qualified people are also perfectly capable of providing this education; perhaps they can do so even if no other. For refugee children who have had education in the Netherlands for more than a year, the training of parents is looked at. Often the parents are well trained, while the children are still lagging behind. This can not only put the children, but also the schools in trouble. Does the Secretary of State recognize this problem and want to look for a solution? I shall now make a proposal to solve a number of problems with one stone. That must sound like music to the rulers. How can we increase the investment opportunities of schools, prevent speculation with educational money and in the meantime reduce public debt? It could be through treasury banking. Instead of depositing assets on an Icelandic bank or putting them in risky real estate, they are placed under government control. This will also enable projects, such as initial investment in ICT projects or other projects, to be financed responsibly. D66 proposes that schools and educational institutions should have treasury banking as municipalities and provinces are already doing. Are the Secretary of State and Secretary of State prepared to look into that? I'm coming up on digitization. In many ways, our daily lives have changed due to the rise of ICT and the Internet, but education has not yet sufficiently penetrated that digital revolution. I am therefore pleased that more attention will be paid to digital skills and programming in the curriculum. Last year, D66 suggested the same thing. If I have to believe Twitter, more and more parties see its importance, but it still needs to be demonstrated in the votes. So let us not wait too long and start training teachers for this profession. Is the Minister prepared to develop a plan of action in this respect? ICT is not a panacea for any problem in education, but digitalisation offers opportunities for the quality of education and for tailor-made work. In order to make the most of the opportunities offered by ICT, it is important that teachers discuss how they can best use ICT in their lessons. It is often new techniques that teachers have to learn to work with. Then it helps if they can hear from other teachers what is possible. D66 therefore advocates using the teacher fair in such a way that teachers can share best practices of digital education. Is the Secretary of State prepared to make this possible? ICT opportunities lie not only in higher education. The best possible use should be made of this product in all sectors. However, many schools, especially in primary education, do not yet have the fast and adequate internet available, and that is downright bad. What is the Secretary of State going to do about this as a matter of urgency? I come to lifelong learning. The Minister rightly writes in her recent letter that rapid technological developments call for continuous retraining, retraining and retraining of people. It takes a government to encourage people to do that. I am pleased that the Minister is working on a number of points, but I am disappointed that she does not want to embrace the extension of the study advance to people over 30 years of age. According to the study, a study advance facility of between 2% and 5% of the working population over 30 could convince them to take up training. That sounds limited, but out of a total of about 4 million people between 30 and 55 years of age, 80,000 to 200,000 people could be trained as a result of this possibility. Doesn't the Minister think it's worth making sure that these people are also going to receive this education? Does it really want to work on lifelong learning instead of just saying warm words about it? I'd like to deal with some loose topics. In an interim ruling, the College of Appeals for Higher Education questioned the "nominal is normal" policy of Erasmus University. A student successfully challenged the binding study advice he received. According to the college, a binding study advice is intended to see if a student can handle a particular study. For this it is not necessary that a student achieves all points in one year. Does the Minister agree with the College and with D66 and what conclusions does it draw from this ruling? The Dutch language and cultural education abroad is incredibly valuable, but soon the funding will stop. The Secretary of State writes in response to questions from D66 that it is the responsibility of parents to pay. And if they don't want or can't afford it, that's the end of Dutch education abroad, the Secretary of State writes. D66 strongly disagrees with that. Dutch education for Dutch children is as valuable in the Netherlands as abroad. Why is this distinction made? I'd like to hear a response to this. What can we do to keep this? The next point concerns green education. There has been a lot of changes, but for my group it is clear that the green education must go to OCW. Mr Slob had already commented on this in the General Political Reviews. I wholeheartedly agree with that. We are done: green education belongs to the Ministry of Education. The word actually says it already!
ParlaMint-NL_2015-10-28-tweedekamer-6.u7	I heard my name, and then, of course, I'll spring right up. I've learned that since I was a kid. My esteemed college rightly states that something must be done with green education. Indeed, I also think that green education should eventually go to OCW. That has been quite a process. But then the financial problem remains. What is the financial solution for green education in the view of the D66 Group? The problem is very urgent for the aocs.
ParlaMint-NL_2015-10-28-tweedekamer-6.u8	It is constantly said, also by the Minister, that this funding must be equal. We can now conclude from all kinds of studies that there are at least questions. It's probably not even. We are told that from all sides. That's where we're gonna have to solve. If, for example, the funding in the green mbo is less than in the other mbo, that is obviously too crazy for it. There's no sensible reason for that. This is because I say that there is a policy of its own at That policy must therefore stop and the policy must be brought into line with that of OCW. In my group's view, this can only happen if OCW is responsible for this. That'll raise new questions. We'll see about that. However, it cannot be the case that 15,000 pupils in this country receive education of insufficient quality.
ParlaMint-NL_2015-10-28-tweedekamer-6.u9	I agree. Last year, of course, we had the problem of 2%. We have been able to tackle this problem thanks to the fraction of D66. At the time, the VVD was involved in this. In my view, we have arranged this almost Chamberwide, perhaps even Chamberwide. There is, of course, one more problem: that a cut in the coalition agreement has been agreed which I do not think has been properly considered. That austerity is working pretty hard in green education. I agree with Mr Van Meenen that we really need to get rid of that problem. It's best to get green education to OCW. Then everyone is treated equally and there is no distinction between the rocks and the aocs. However, it must also be regulated in the budget. I say this to Mr Van Meenen, and I will say it to the rulers in my own contribution. However, I also say it to the coalition: think with it, because if we do nothing now, there will be a really big problem. Moreover, we agree entirely with each other when it comes to saying that something must be done.
ParlaMint-NL_2015-10-28-tweedekamer-6.u10	I couldn't agree more. There has been a brief discussion of the DP card for underage talents. We've seen the dance girls here. My group also believes that this needs to be resolved, especially since the coalition has also spoken firm words about it. I call on the coalition, in particular, once again to do something about this now. Then we will certainly agree to that. Otherwise, we're gonna figure it out another way. I recently learned of a plan by Mr. Eric van 't Zelfde of that superschool in Rotterdam-Zuid. You know him. He's got a plan to take that neighborhood even further with the help of the school, but he's running out of money. I can't take care of it here either. I would like to draw attention to it, both for the space in rules that must be there but also for the money. I'm just asking the Minister if there's any possibility of doing this after all. I think there is an opportunity here to help the students about whom we are most concerned in the Netherlands. Of course, I hesitate to bring that up here; it is unusual to do so, but it is also an unusual situation there, so I dare to do so.
ParlaMint-NL_2015-10-28-tweedekamer-6.u11	In my term, I have also argued for a small experimental budget so that we can make possible initiatives such as the Promise Academy in Rotterdam, a wonderful initiative, and then research them scientifically well to see how the right of access for all children to the child centres can take shape. In Rotterdam they build on that and that is what they want, a right of access for all children. They're running out of money for that for the next two years. Does Mr Van Meenen agree with me that there should be a small experimental budget for this? Then I'm really only talking about 2 million, which allows you to make different initiatives in the country possible and which can then scientifically well underpin them.
