ParlaMint-IS_2017-05-24-71.u1	The president considers it possible for a meeting to last longer than the Council of Congress.
ParlaMint-IS_2017-05-24-71.u2	A respectable president. I recommend a committee study with a bill-change proposal to correct a change in the legal handling of credits that depend on the specific limits, No. 37/2016, with subsequent changes, assessment warrants. This is a report from the Economic and Business Committee. The committee took care of the case at their meeting on May 18th. As a result, the Committee received a discourse from Iceland's Secret Bank showing that the World Bank's embassy had been made comments on 1st paragraph. The bill wouldn't cover the payouts of the same amount of credit. The committee was contacted by a representative of Iceland's Central Bank on the case. In view of the comments made by Iceland's Pentateuch, the Commission proposes a warrant according to Article 1. The bill includes terms of contractual payments on the end-days of loan commitments, but not credit bonds, which involve only payment on dues. The committee suggests that the bill will be agreed with the following adjustment, and the change is in the Senate document, which reads: Instead of the words ▪ for the final days of the fee, 1st par. Come on: other than bonding. This was approved at a meeting of the Economic and Business Committee on May 23, 2017. Under the opinion of President Óli Björn Kárason, Chairman Vilhjálmur Bjarnason of History, Áslaug Sigurbjörnsdóttir Sigrnjörnótttir, Braunr Níelsson, Jón Steindór Valdimarsson, Katrín of Jakobsdóttir Jacobs, Alfreðsdóttir Alfredótir, Resak Brynjólfsdóttir Brynjosdósdótir, and Smári Mccarthy. A respectable president. I've finished my case.
ParlaMint-IS_2017-05-24-71.u3	Madam President. We'll discuss a document designed to be one of the most important documents in every government along with financial policy. It is not a small responsibility of this contribution, but it involves not just writing numbers, it is a fundamental factor in the political policy of every government for the next five years, a fundamental factor in determining the kind of politics here to rule over the next five years in raising funds for state funds and distribution. Thus, the budget is the political policy of a government that is sitting here with one person more part and less part of the vote behind him. It's not that it's political that comes out here, like that. This is not a political entity that contributes to the true reform of the nation and its community, which the government groups praised and announced for elections. This is politics, and it's inactivity, politics contracting, and inactivity. The basis for the budget of the Independence Party budget, the restoration and the bright future, is weak and will not contribute to economic stability or social stability, much less. A five - year budget is now submitted a second time. As stated in Article 1, the law on public financial and financial matters is intended for them. Theirs, to promote economic well - beings and the robust and responsible government of public finance. Of course, this plan is worth a lot of money, and it certainly has to be reciprocated for public financial matters, for it was very different from the political powers of the Council in its own time. However, when it came to the final payment of the case, it was found that the intention of the then state of the government, an independent party, and a forwarding group, was that the law would be a very rigid financial code that is now to be found, an order of absence, an obligation, and a fall in debt. Thus, when representatives of the left movement decided to act alone against the members of the administration and the whole case and strongly object to these strategies on grounds of a tightening of rules and legally establishing them to hold government control in a decisive way in dealing with the contractions and difficulties of the economy. Instead, it is planned that the welfare system and public activity will be summarized under such circumstances. We all know that such a recession is always worst for those who are economically inferior. These financial rules that I mentioned are, in fact, in fact, leading to legalization of cutback policy and maintenance that right - handed governments have ever used in public finance over the past decades, when economic problems have been ill - treated, with the result that in many countries the well - being and important basic services of the government have been expanded by the long - term financial resources. Thus, it has been created an application tool for wealth and privatization in behalf of capital owners with reason that they should act where the government does not choose its work. In the financial program of the present government, which foretold at the beginning of its power period a dramatic conversation and words, it is chosen to expand the debate on these budgets and to be observed when the government proposed its financial policies leading to the financial agenda that we are discussing here. There the current government added a new and very limited fence, a total tax sheet for the government as a proportion of GDP. This roof is attached to the current public activity, making virtually nothing possible for building up, and there is virtually no room to soften the impact of the negative economy when it comes. This has been critical of members of the left movement, with financial policy being a clean right policy in the spirit of cutbacks and right - to - hand policies, which can be found in most places other than here. It was not just council members of the left green who criticized their policies and plans. An independent financial adviser put it as if governments could easily end up in a straitjacket of economicism if the sequence of events proved to be different from what they predicted. The budget is now based on this financial policy. The reports on the plan show that many share financial concerns with the above - mentioned straitjackets. The one here is on both the Economic and Business Committee and the Foreign Affairs Committee, so I would like to use my speech lesson to highlight the emphasis they will review with the financial committees. For one thing, a financial programme is completely uncertain about economic conditions. Not only do I have my opinion but it is explained by the review of a financial board that there are a lot of uncertainty about national and economic factors. Thus the Council points out that a consistent effort could be made in Iceland's models and projections when the budget is being worked. In the opinion of the Council of Economic Affairs, the President's permission states: ▪ Every major member of the country uses the Society's model in its forecasting. This is a concern. Single models lead to uniform forecasts and economic debates become uniform. Such a course increases the risk of all making the same mistakes. The Council's review gives additional comments to the methodology used in the development of the financial programme. For example, during recent years the forecasts were not repetitious, and so the national interest forecasts changed significantly over time. No analysis, however, is found in the financial program on these systematic forecasts on government finances. Such an analysis would, in the opinion of the financial Council, increase the transparency that is supposed to be one of the baseline financial and financial policies. At that time, financial advisers question the basics that the secretary of finance seems to favor him in a financial program. For example, national interest projections assume that national savings has increased permanently without a lack of evidence. The only evidence for the claim of such progress is a description of personal contractions from 2008. According to one financial board, private consumption as a proportion of GDP is usually about one third in Western countries and it is difficult to see why Iceland should stand out in its long term. Another example of uncertainty is that the plan is based on Iceland's Habitat, which assumes that smooth landings after the present trend of the Icelandic economy, and hence this long economic growth will go through without difficulty. On the other hand, the review of the financial board states that history teaches us that hard landings, not as follows, in Iceland and that it is desirable to have stayed below itself and consider the risks. In any case, it would be reasonable to take into account the predictions and analyses of other investigators as specified in the law. When it comes to the low level and content of income sources published in the financial programme, the main tax change is that travel services will be moved from lower levels to the top level of the valuable tax system, but the upper level will be reduced. Many talks have been held and strong criticisms have been raised, both during the council and in the community. But if we just focus on the income that this procedure is to bring to the state's fund, moving the tourism to the top level of the worthy tax system, it should contain 17.5 billion dollars. every year starting in 2019 but there is a decline in the upper level of the value tax system, which is estimated to result in 13.5 billion dollars. reduces the annual income of the state funds. The net effect of this operation should therefore be 4 billion U.S. This change was the most common thing in the management of the economic and business committee. This procedure seems to have surprised tourists, as we have all observed, on the contrary to the words of various government officials before elections. In the treatment of the case, it was stated that there was no consultation with these parties on the operation, despite the fact that tourism and the government are running a common so-called travel center with the intention of developing a common policy. The reason for the operation is that tourism should be comparable to the tax environment and other occupations. At the same time, Icelandic tourism is competing with tourism in other European countries and this increase will become reality, with a high level of value taxes compared to other European countries. During the treatment of the case, there was repeated concern that the increase in worth taxation could affect the distribution of tourists across the country, which has yet been a declared government policy until now, but the distribution of tourists into the country is closely related to their residence duration, where a shorter stay would inevitably be closer to the capital area and the centre of international flights. The evaluation of financial resources tax increase in tourism is of interest, but the board believes that tax treatment should be comparable to other employment practices. However, in the timing of the procedure, question marks the time of the procedure as well as the option to lower the top value tax level, which is followed by the procedure transporting tax collections of domestic demand. Other than that, I miss finding a much more ambitious and detailed plan for green taxes. It's certainly offered a double carbon charge as another tax-based operation, with the merit of tax increase in tourism. That double is a very reasonable arrangement, for the price must be higher than today in order to produce the desired results in the reduction of carbon emissions. However, it is disturbing to know how short the policy on green taxes is, and no consultation seems to have been made, rather, on the rise of carbon taxes or other potentially green taxes. A financial minister has spoken for parking expenses as part of these green taxes, but it has not been considered how such costs fit in with other policies. There is no analysis of the number of parking spaces in areas where some more extensive analysis of regional tolerability and the basis for their population is needed. I am the burden, Madam President, that we must do much better when it comes to policy and vision regarding green taxation. I remind you, the highest. Environment Minister has spoken here at the council about green taxes and needs to increase the number of green taxes within the tax system. There, I wholeheartedly agree with the highest. Environment Minister, but I doubt that all government ministers agree with that statement. This is not shown in the financial program. I also refer to words and magazine articles as the highest. The minister of justice wrote in the February 12 issue of Awake! Since it challenged green taxes and green incentives and economic and economic levels, it greatly challenged and warned against them. I ask, then, is there no agreement within the government on the taxation of green taxes? Iceland has to take really good care of her pants, and it's going to be a lot better when it comes to climate change. A part of it is green taxes and a strong vision for the future. Another thing I'd like to consider here is a review in which we in the 2nd smaller part of the foreign committee pointed to and severely criticized both here at the General and in our financial reviews, which are contributions for development. When it comes to developing and providing for them, the proposed contributions for developing cooperation adopted at the General Assembly of all the then members of Congress, except Vigdís Hauksdóttir, in 2013. The financial program for the next five years shows that the government supports the UN's goal for industrialized countries to provide 0.7% of the nation's incomes for developing cooperation. Of course, we in a smaller part of the State Department agree with the objective, but we also agree on how a budget of this important category is being implemented in a financial program for the next five years. It says that developing cooperation contributions were 0.25% of the budget of national income in 2016 and aim to continue to be 0.25% in 2017, increasing by 0.01% throughout the period. This is certainly not in harmony with the moral duties of Iceland as one of the greatest nations in the world and not in accordance with the international duties we have had and have aimed for years but never fulfilled. Now that the economic situation is in such a way that it is indeed an opportunity to add in these expenditures, what is the focus of the present government? It is continuing with this contracture set out in 2015. The need for international humanitarian and evolutionary support has rarely been greater in the world than that of the United Nations Refugee Organization for Refugees, now over 65 million refugees are fleeing from war, persecutions, natural disasters, and poverty. This year, the refugee agency sent out a distress call to the world to increase resources for humanitarian work and development cooperation. A lower part of the State Department denounces this ambition of the government and suggests that immediately a plan will be made to increase the contribution to development cooperation in order to achieve the goal of the United Nations. If the 2013 Parliamentary Directive had been followed, Iceland's contributions to development teamwork would have received 0.42% of the population income in 2016, were 0.5% in 2017, and entered the UN standards of 0.7% in 2019. This schedule was offline in the spring of 2015 and the contributions were combined. This sad recession continues in the financial program of an independent group of governments, reforms, and the bright future. In the world, there are dangers that can lead to security. Unfortunately, the response to the government's financial programme for safety should be based on increasing safety rates, while at the same time extremely vague military emphasis at the same time as the Icelandic state is struggling to meet its own goal in developing cohesion. At the same time, the government is expected to contribute more to the conflict and inadequacy and the state that drive a number of people away from their homelands, thus adding to world instability and insecurity. A respectable president. This is outrageous. It is a disgrace to the government parties to support these plans. I wondered, and I have previously said in the House of Congress that they would ask questions about which categories of independence, restoration, and a bright future have come into existence by supporting this program. It is likely that it would be unsatisfactory to list all the uncertainty issues that have been identified in the financial program of the Council treatment of the committees of the council. However, a red thread in the review of the financial council is missing more data and analysis. When it comes to the review of property and debt, it is stated that dissociative data are not available, so it cannot be said to policy on the evolution of debt does not damage sustainableness or balance it, which, though, should be baseline in financial and financial policies. If you rely on social stability in Icelandic society, it is crystal clear that the institutions of the State need to be established. Don't weaken them. There is plenty of urgent social projects, but we can allow ourselves to give up. Who are we giving up on? Yes, to those who live best in Icelandic society. By strengthening to develop companies and other enterprises and to those with the very best money in Icelandic society. The recent budget, after many conservative years, has not been used for social building. Tax and expenditures on the richest community groups have been reduced in a way that has resulted in the state of the world of 2,530 billion. Let us take a year's basis that would surely have been useful for the better and the upbuilding of all of us. How we as a community decide to manage our finances is at the same time a decision to build up a community. In the left green, we want the objective and purpose of government funds to ensure all the opportunities to enjoy themselves in the community and that everyone is committed to a decent standing. It can be done through financial and financial policies that aim to increase the balance in society by obtaining a wealth of government income in a just way. As a result, it will be new to promote health care, education systems, welfare systems, infrastructure development, and to ensure the most vulnerable groups of people. It is irresponsible to provide economic management so as not to earn enough money, that, when things become less intense and expand, they will inevitably be cut down. Where, then, will they be cut down? It will be cut down on the expense of the economy, on the welfare system, on the health system, and on the education system, because it is always what comes first to the operating of the right government. The imminent cutting is hardly compatible with the baseline financial policy presented here, which is sustainable, careful, stable and transparent. I'm afraid not. I regret the dreary political bitch here called on for the next five years in the government of the Independence Party, the Restoration and the Career's Future. I dispute that this financial program, which should be called, will be agreed.
ParlaMint-IS_2017-05-24-71.u4	V.E.G. President. I'd like to start by saying thank you. A senator for a very good speech. The budget shows that the current budget is 1.5%, a substantial change from a previous national budget of 1%. According to analyses, this could remember about 10◯12 billion. Takes it. A senator will assume that this large increase in maintenance requirement could suffer on the infrastructure, such as In the health system, in the education system, in the transportation system? Does it also agree with me that this national budget is based on a very weak foundation? A very long economic growth is expected to be uncertain. I would also like to ask: " What is it? ' In this program, how difficult is a senator to see how to meet the goals set out in this financial program when it is set in such inadequate terms as we see here? [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u5	The president will begin by addressing the council to see if there is a time limit. There are 51 people on the rosary, and if everyone takes an additional 10 to 15 seconds, it works.
ParlaMint-IS_2017-05-24-71.u6	Madam President. Thank you. paritaprevir Arnardóttir Arnard's daughter for the inquiry. She asks me if I agree with her about the high standards presented here, by the billions, i.e. an additional requirement. Yes, I agree with her. Despite all of us agree to pay off debt and that it is the good, we go under this financial programme for the next five years down to the legal limit when it comes to payment. We stretch so far in the subsidies that it falls on the multi-digited infrastructure and structure of those to whom it truly needs. If we could just relax in paying off the debt of state funds - we would always pay them down, never would we have to reach that far - be money to care for this urgent task that is truly obvious to us wherever we come from. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u7	V.E.G. President. Thank you. The senator's answer. That's what I'm talking about. A senator agreed that all classes spoke of the importance of infrastructure in leading the last election? Got it. Is it not difficult for a senator to establish some structure based on the national financial programme that we are discussing here? On the other hand, we see a 23% increase in hospital service, but this gives us a sharp picture of the situation, since a new Hospital Building is being mixed up and the cost of operating in the hospital. It has been shown in a material process in the council that 13 billion are needed to complete a new land hospital and 7 billion to complete the rebuilding of old buildings. Is this not, in fact, an election fraud, which discussed the importance of improving the situation of patients and employees, but then no funding is given to complete the work mentioned? Is that not very critical?
ParlaMint-IS_2017-05-24-71.u8	Madam President. That is exactly one of these critical factors, not just members of Congress, but what is pointed out in the number of comments that have been presented during the conference treatment of the case, i.e. The type of deception presented in this program when it comes to mixing concrete with operating costs. The estimated stone charge in the building is put under the same hat as the cost of operating. Whether we speak of the construction of the Land Hospital or of contributions to the university, there are houses included in that number. It is critical and almost intolerable. Not only is this because there is little money for the real building of these fundamental structures in our society but it is also some sort of number play that does not fit in with the light being presented here. [[The president calls.]]
ParlaMint-IS_2017-05-24-71.u9	V.E.G. President. I'd like to start by saying thank you. paritaprevir Rósa Brynjólfsdóttir Berry's daughter for a very good speech. She even remembered. the value of tax changes planned for financial programmes. I'd like to take a little deeper into that matter and hear her view of the comments made by SAF, the Traveller Association. I'm here with the review and I'm asking if the Senator read it. It is, in fact, there. It is now only a short period of time - on page 20 - that shows negative effects on the country's environment, gang changes that have severely impaired the competitiveness of the article. 11 The review shows that these changes are actually going to complicate the system and potentially increase the complexity and efficiency of the system. [[The president calls.]] I'd like to hear a point of view. A senator's review of this and this aspect of it.
ParlaMint-IS_2017-05-24-71.u10	Madam President. I want to thank you. A senator's inquiry. Yes, I've read that review from the Association of Tourism and the Criticism it presents. As noted, this increase in worth tax rates adds up to a value tax increase in the past year and gang strength and is fully poorly implemented, there is no basis for analysis, much less consultation with the article. I also wondered if just checking with the article and possibly waiting for the validation of this increase would have made it possible for me to make greater peace about this operation and to take into account the factors involved. A senator mentioned the effect on the memory of the people, especially smaller members of the region that are farther away from the capital area. This will, as stated in the review of the 1st smaller part of the Economic and Business Committee, affect the remainder of the period.
ParlaMint-IS_2017-05-24-71.u11	Madam President. Thank you. A senator for an excellent answer. I'd also like to come to the countryside. Iceland's Union brought in a much greater and more detailed review of the matter. At a meeting with a Government Review came in, including ........................................................................................................................ It is known in advance that the numbers do not work at all. Government Accounters said it was just crazy to put it this way. Here on page 16. 1 The review says the relationship is that the targets for rural society are unrealistic, and the agreed financial programmes of rural society are mispronounced. They strongly criticize the lack of consultation on the shape of financial criteria for the survival and economy of rural society. This is a huge case in which the contribution of rural society is a very large part of public business today and is very important. I'd like to hear a point of view. A senator's concern on this grandly important matter.
