ParlaMint-NL_2018-12-06-tweedekamer-5.u1	We now proceed to the VAO Climate and Energy. I see the first speaker isn't ready yet. We'll wait.
ParlaMint-NL_2018-12-06-tweedekamer-5.u2	We continue with the VAO Climate and energy. I give the floor to Mrs Beckerman on behalf of the SP.
ParlaMint-NL_2018-12-06-tweedekamer-5.u3	Thank you, Mr President. In Limburg, people with mining damage have long been in uncertainty. I would like to make two motions on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Roermond Court ruled that the mining damage suffered by two residents of the municipality of Kerkrade was not subject to a limitation;]] [[Whereas the Minister would use this pilot process as a guide for further decision-making;]] [[noting that many Limburgers have been in uncertainty for a long time and that an appeal will take another long time;]] [[calls on the Government not to appeal,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-250]]
ParlaMint-NL_2018-12-06-tweedekamer-5.u4	Then my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas there are still many Limburgers with mining losses in uncertainty;]] [[calls on the Government to clarify before 1 July whether the damage is mining-related to all Limburgers with mining damage who have a case at the Tcbb and, if that is the case, to proceed as soon as possible with compensation in accordance with the revised scheme,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman, Mr Agnes Mulder and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-251]]
ParlaMint-NL_2018-12-06-tweedekamer-5.u5	I'll leave it at that, Mr. Chairman.
ParlaMint-NL_2018-12-06-tweedekamer-5.u6	Thank you, Mrs Beckerman. Mrs Akerboom on behalf of the Animal Party.
ParlaMint-NL_2018-12-06-tweedekamer-5.u7	Thank you, Mr. Chairman. I have three motions. The first is in response to the worrying news that environmental organisations are considering not signing the climate agreement. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that for almost a year poldering has still not led to measures limiting global warming to 1.5°C;]] [[noting that environmental organisations now risk not signing the Climate Agreement because the agreements as far as they are concerned do not lead to the halving of greenhouse gas emissions by 2030;]] [[points out that the polder model is not an appropriate model for effective climate policy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Akerboom and Mr Van Raan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-252]]
ParlaMint-NL_2018-12-06-tweedekamer-5.u8	This report on the negotiations at the climate tables shows that we must not leave effective climate policy to the whims of the market. The same applies to renewable energy subsidies. It is now time for political leadership, and for that I will table the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that manure production costs a lot of energy; imports of feed alone cost just as much energy as 5 million households consume;]] [[noting that the fermentation of manure produces little energy;]] [[Whereas manure is therefore not a sustainable energy source;]] [[calls on the Government to exclude subsidies for manure fermentation in the SDE++ scheme,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that biomass is scarce and that it needs to be carefully weighed where it is now used;]] [[noting that the ISDE scheme is largely used for the installation of pellet stoves and biomass boilers;]] [[noting that there are sustainable alternative methods of heating homes;]] [[calls on the Government to remove the subsidy for the construction of pellet stoves and biomass boilers from the ISDE scheme,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Akerboom. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-253]] [[This motion has been proposed by Mr Akerboom. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-254]]
ParlaMint-NL_2018-12-06-tweedekamer-5.u9	Thank you.
ParlaMint-NL_2018-12-06-tweedekamer-5.u10	Thank you, Mrs Akerboom. I now turn to Mr Van der Lee on behalf of GroenLinks.
ParlaMint-NL_2018-12-06-tweedekamer-5.u11	Thank you, Mr. Chairman. The alarming reports are fluttering all over each other. Yesterday we heard that there is a global increase of 2.7% in CO emissions. We can't even stabilize emissions, let alone bring them back. We also see an increase in CO emissions in the Netherlands. And three renowned research firms are already saying that we're not gonna make it to the Urgenda target. And not just a little bit: we only reach 15% by 2020 instead of the 25% required. We have asked the Minister to respond to the pressure that environmental organisations are now exerting in the final phase of the negotiations. We get a meaningless note, and meanwhile there are negotiations at tables, including at the Ministry itself with all parties, and in the cockpit meeting with a lot of pilots from the cabinet and the coalition. As a chamber, we do not hear what concrete steps the government is now putting on the table. That's very necessary. The same applies to measures which are currently excluded from the coalition agreement. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the negotiations on the climate agreement are in a difficult final stage;]] [[noting that we are heading for 15% less CO emissions by 2020, rather than the 25% required from the Urgendavonnis;]] [[Whereas the coalition agreement blocks the introduction or preparation of specific instruments necessary for achieving the Dutch climate targets in the short and long term;]] [[Whereas the climate crisis is more urgent than ever;]] [[points out that the government must rise above the government agreement in order to honour court rulings and actually achieve a 49% CO reduction by 2030,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-32813-255]]
