ParlaMint-NO_2013-11-27.ana.ud280e26	The representative, Gunvor Eldegard, who has been licensed, has once again taken the seat.
ParlaMint-NO_2013-11-27.ana.ud280e41	On Monday, the Stortinge received a message from the Prime Minister's office that the Councils of State, Siv Jensen, Bent Höie and Torbjørn Røe Isaksen will meet for oral Question Time. The advertised members of the government are present, and we are ready to start the oral question procedure. The first main question is from the representative Jonas Gahr Støre.
ParlaMint-NO_2013-11-27.ana.ud280e48	I have a question for the Minister of Finance. Thank you for yesterday, to say it like that – or today early. What is the Minister of Finance's comment? [[Laughter]]
ParlaMint-NO_2013-11-27.ana.ud280e55	It was very pleasant, I'd say. [[Laughter]]
ParlaMint-NO_2013-11-27.ana.ud280e60	This budget has got off to a good start, we can say. One of the most important things that has happened in our country since 1970 is that women have increased their participation in the labour market. Much of this can be attributed to profound changes in our society, but also to the fact that we have made it possible for women to combine family and work. The welfare community facilitates such development – combining work and family. It is an important part of welfare policy. Over the years, we have achieved full child care coverage, the kindergarten has become cheaper, the quality has increased, and we proposed in our budget option to escalate up to two babysittings this year. The birth rate has increased from 5 weeks to 14 weeks, and we have removed the cash support for two-year-olds. The budget we adopted yesterday — or almost today early — reverses this trend. It's cut in cardboard, it's cut in babysitting, and it's getting more expensive kindergarten than in our proposal. Cash support is increased and tax class 2, which weakens the labour incentives and integration of immigrant women, is reintroduced. Individually, these cuts are helping to weaken the line of work, the equality and, I would say, the integration. Now I know that the Minister of Finance is busy stimulating people to work. For example, in the supplementary proposition, she writes: removing tax class 2 can promote equality, and this is particularly important for the integration of migrant women. So she sees the relationship between these arrangements and work. Now she didn't get a majority for that view. But how does the Minister of Finance think we can stimulate people to work if we look at the welfare system, on how we can combine family and work? I notice that the answer to that is very quickly reduced tax. As we illustrated here last night, for most people, it will be about NOK 1 day of reduced tax – not a heavy incentive to change people's habits. But as far as welfare systems are concerned, it is important. So how does the Minister for Finance view the questions when she is planning the budgetary policy further?
ParlaMint-NO_2013-11-27.ana.ud280e71	Let me thank you for a very important question that it is possible to reflect quite a lot on. It is clear that, on the one hand, it is important for the value creation in Norway that as much work as possible is being done, and that work is as far as possible. On the other hand, there are also some fundamental values in our society that relate to the family's ability to be with their own children. Therefore, it is important to strike a good balance between care options, especially when children are small, and the instruments we use to stimulate a maximum proportion of the population to be at work. Then, of course, we have to look both at all welfare systems and at how we can link welfare systems up with other incentives to stimulate people to work. I'm doing a lot of this work with the rest of the government. It's about turning all the stones around to see if we can arrange some of the arrangements in another way. It is quite right, as Gahr Støre says, that the previous government put forward a proposal to remove tax class 2. It maintained this government, but after the negotiations and conciliation in Stortinget it has been reduced halfway. It's a step in the right direction, I'll say. I have also recorded that the debate that is taking place in Stortinget is that if you are going to take the step completely out and remove the entire tax class 2, you have to do it with an opportunity to prepare it and through other transitional arrangements. I think we should be open to a broad debate on how to get even more of those who are on the outside of the labour market into the labour market today. It's really the most important job in front of us, getting all those outside to come in – at least those who have the opportunity to do it.
ParlaMint-NO_2013-11-27.ana.ud280e84	In this context, the topic of social security exports has been discussed regularly – we see it in the paper today. People who work in Norway receive cash benefits at Norwegian level and send them to their home country, where they have much greater value. One measure that is currently being discussed is the cost adjustment of these benefits. The Minister of Labour and Social Affairs raised this question, but the Brochmann Committee pointed to the basic relationship, that more cash benefits, such as cash support, could also be turned into services that cannot be taken out of the country, for example. children's gardening space. What does the Minister of Finance think about this proposal? If I can take it one step further: Social security exports increase the risk of social dumping, because it makes it easier for foreign workers to accept low wages in Norway because the value of the cash benefits they can send home is getting relatively higher. What is the Minister of Finance thinking about this policy of increasing social security exports and the risk of social dumping? It is interesting to know how the government will work against social dumping, which is a major challenge in our high-cost country.
ParlaMint-NO_2013-11-27.ana.ud280e91	There were a lot of questions here at once. The government has stated that we will also work against social dumping in Norway. So the question of social security exports. It is clear that it is a demanding issue, as I note that the previous government did not do much to combat it. This government has determined that it will both follow up the Brochmann Committee in an appropriate way and look at how, for example, a may consider converting the cash support into a statutory municipal benefit. I record that the Minister of Labour and Social Affairs in today's newspaper says that he will look at the possibility of cost-adjustment of these benefits. He will certainly come back to that in an appropriate way, but I can assure you at least that the government will follow measures to combat rising social security exports, both on the platform and in the proposal that we will come back to the Stortinget at a later stage.
ParlaMint-NO_2013-11-27.ana.ud280e102	It opens up two follow-up questions – first Hans Olav Syversen.
ParlaMint-NO_2013-11-27.ana.ud280e105	First, I would like to say that I am pleased that the Minister of Finance has a slightly different view than the Workers' Party, which clearly believes that the Norwegian family is primarily a production unit in AS Norway. I am glad that the Minister of Finance has a slightly broader view of what family life really is. So to this with social security exports, which also the Workers' Party uses about the specific arrangements they themselves do not agree with. So these are the systems where the export problem is the least, if we first call it that. It's the other, larger and general arrangements where this is the most important thing to address, if you're going to discuss this. My question then is: Does the Minister of Finance think that Norwegian beneficiaries of these benefits living in other countries also need to be assessed, and that these benefits should also be adjusted, where appropriate, at a cost?
ParlaMint-NO_2013-11-27.ana.ud280e112	The government has announced that it will review the Brochmann Committee’s report and look at all the measures that can contribute — individually and collectively — to limit social security exports, which is an increasing challenge, not only for Norway but also for many other countries with good welfare arrangements. It's a growing problem. I register – and I am so pleased – that the opposition working party has become more concerned with doing something about this. So they had eight years to do something about it, but I can't record that social security exports were getting smaller then. Then I think it might be a little easy to say that all the challenges associated with social security exports will be solved if we remove the cash support. I don't believe anything in it. It's a limited system, a small part of a family's time with little children. But that we have to turn all the stones to see how we can get this done, this government is set to do.
