ParlaMint-NO_2009-01-21.ana.ud580e22	The representative, Elisabeth Røbekk Nørve, will present a proposal for a representative.
ParlaMint-NO_2009-01-21.ana.ud580e25	On behalf of the representative Ivar Kristiansen and myself, I would like to propose an action plan to prevent a supply crisis in the power supply to Tøndelag and Møre and Romsdal.
ParlaMint-NO_2009-01-21.ana.ud580e30	The proposal will be dealt with in a regulatory manner.
ParlaMint-NO_2009-01-21.ana.ud580e56	On Monday, the Storting received notice from the Prime Minister's office that the following government councils will meet for oral Question Time: State Council Tora Aasland State Council Trond Gian State Council Anniken Huitfeldt The advertised members of the government are present, and we are ready to start the oral question procedure. The representatives who, in addition to the pre-announced representatives, would like to ask questions of substance. We then start with the first main questions, from the representative Anders Anundsen.
ParlaMint-NO_2009-01-21.ana.ud580e75	My question goes to the Minister of Research and Higher Education. For many years, the Progress Party has been strongly committed to a long-term commitment to higher education, while the government parties have not been able to meet the expectations of the sector since 2005. This has led this sector to feel the pressure on the economy over many years now. The government itself has said that it is necessary to do something to improve the situation, and I expect that the crisis package that the government is presenting until Monday, contains never so little thanks for higher education. However, in times of decline, the number of students in higher education is increasing. The head of the research association, Bjarne Hodne, has already said that the institutions may not have the capacity to increase student mass, that the staff is already under pressure, that there is too little time for research, and that there are major challenges in terms of increasing capacity in the short term. Therefore, the long-term nature of research and higher education is crucial, and new and emerging seizures do not solve the long-term challenges in the higher education sector. That's why the Progress Party is not so concerned about what the Government is going to do by Monday, because we're told that by Monday. However, the challenge lies in how the Government will manage in the long term to secure a university and higher education sector that can take the increase in student mass that is now due to declines, and not only this year, but also in the years to come. How is the Council of State to guarantee that the sector will simply be able to meet the challenges imposed by the Council of State?
ParlaMint-NO_2009-01-21.ana.ud580e86	I'm really happy to get that question, because this is something I work with all the time, that's to strengthen the opportunities for universities and colleges to do their job. I want to remind the representative Anundsen that during the last year we have strengthened the basic allocation three times. It is essential for universities and universities to be able to do their job both in research and education. I would also like to remind you that we have had a number of actions with regard to scholarship holders, both ordinary scholarship holders and by taking care of the researchers, and also on the research side to get a more long-term impression. I also agree with the representative that the long-term thinking that lies in everything that has to do with higher education is not exactly inviting for a crisis package solution alone. It invites long-term thinking, and that's why we're working on it over the budgets all the time. But I also want to remind you that we have a situation in Norway where we want to have education across the country, and there are inequalities – there is variation – between our study places in the big cities and our study places in the districts. The places of study not located in the major cities may report slightly different conditions from those in the major cities in terms of leave in study places; they do not have the same pressure. So here we try by the actions we are doing now, to promote cooperation, division of labour and concentration in a good way, so that we can get a good study offer and a good research across the country.
ParlaMint-NO_2009-01-21.ana.ud580e95	I want to thank you for the answer, and hear that the Council of State says that it is working to improve the economy of the sector in every single budget. After all, this government's period was started with a crazy big cut in higher education, and so the three reversals have not solved the expectations that were then. I would like to point out a concrete example: the two subjects of low-energy nuclear physics and space physics are now disappearing, despite the fact that there are priority subjects within Food.Nat. and the need for that type of competence emerges, for example, in the Cancer Act, which obliges all hospitals to have at least one radiation physicist. But without a living trade union environment, of course, it will be impossible to achieve. So we know in this room that universities and colleges are relatively free to dispose of their funds. But now trade unions are moving because the general economy in the sector is too bad. At that time, the question to the Council of State whether the Council of State considers it reasonable that important areas of research and education could be closed down due to the poor economy of the sector.
ParlaMint-NO_2009-01-21.ana.ud580e102	It is quite right, as the representative Anundsen points out, that it is up to universities and institutions themselves to give priority to their fields of activity. But in addition to that, we have an overall investment, not least in real science and the type of subject mentioned here. I can't go into and instruct the individual school in what to do, but I can try to motivate and inspire to be part of the important research and education in these areas. Then I have my systematic work of building up a foundation and a framework that is satisfactory enough, so that they can do the job. I look quite bright on the future. I think we should look ahead, not just look at what has been in the years that were, but see the possibility that the university and higher education sectors can do a much better job both in providing good education and in conducting research in important areas both for society here in Norway and globally.
ParlaMint-NO_2009-01-21.ana.ud580e109	There will be four follow-up questions – first Gunnar Gundersen.
ParlaMint-NO_2009-01-21.ana.ud580e112	I really have to disagree with the Council of State when she says that the thinking in today's situation does not invite me to a crisis package solution. For the situation in which the government has put the sector in, it's that you cut first, and then you've come back to your starting position. Now the Council of State has, among other things, New year interviews clearly signaled that with increasing unemployment, students should seek higher education, they should take more education and acquire more skills. Then the sector has to expect quite a few tens of thousands of new students to be admitted. Governments also gave clear signals at yesterday's contact conference for research that there were no measures for the sector in the crisis package. Does SV therefore mean that the sector will receive tens of thousands of students without increased resources?
ParlaMint-NO_2009-01-21.ana.ud580e121	Governments believe that it is important to take into account that there are more students. But it's a continuous task. The understanding must be there, whether you are talking about crisis packages or budgets – understanding that we need more places to study in the future. And why do we need more places to study? Well, that's because youth schools are increasing, it's because people have a tendency to take higher education now more than before in all disciplines, and that's because a possible crisis situation that had to hit people who would otherwise not have taken up education leads more people into the places of education. So we are very well prepared to receive more students in the future. What is important now is to get that understanding into the ongoing and continuous budgetary work. For this is a long-term and long-term matter.
