ParlaMint-NL_2016-03-24-tweedekamer-4.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2016-03-24-tweedekamer-4.u2	Mr. Chairman. Today we are talking about the amendment of the Long-Term Care Act, the Social Support Act 2015, the Youth Act and the Health Insurance Act. They're all minor adjustments, although they may not be as small as they seem. Last year and the year before, with steam and boiling water, several legislative proposals were pushed through this Chamber. Everything had to change by 2015. Therefore, care was left to be desired. That's what we're seeing today. It's a repair law. We would have liked to have seen the care the Secretary of State speaks of today, for example when it comes to further figuring out the removals. That could have saved us a lot of trouble. Care has become a maze for many. Where am I supposed to go? Where am I supposed to be? The question is whether we are discussing carefully legislation today, which at least makes it clearer. It is a wood-rope repair that is sometimes necessary, but it is absolutely clear that the clarity about where you should end up in care is not increased today. In fact, a number of exceptions are proposed and created which, as far as the SP Group is concerned, may be logical in nature, but not in scale. I'll get back to you on that. What happened to the CIZ indication rules? Last week, the Secretary of State promised to talk to Sander Hilberink. He needs heavy care, but still doesn't get access to the Long-Term Care Act. The Chamber doesn't think that's possible. We have tabled a motion on this matter. The Secretary of State has agreed to talk so that we have held the motion. It would have ordained the Secretary of State if he had sent the indicative guidelines to the Chamber. Because today, again in Zorgvision, it says that access to the Wlz is a major problem. I'm a little done asking for clarity every time. Can the Secretary of State simply send the indicative guidelines to the Chamber by hand? Because when we talk here today about arranging bridging care, of course that sounds very good and then our intentions are clear. But if it turns out you're not entitled to that, because the CIZ has or uses far too strict indicative rules, then we're talking a little bit past each other. I miss in the bill the transition from the ggz to the Wlz. Why isn't it in there? That has to be repaired, too. Is there gonna be any more repair legislation? If so, what is the Secretary of State thinking? In rehabilitation care we see that it is very difficult to get someone who has to rehab at once in the right place. Someone often needs to be watched for a while. In addition to physical problems, is there anything cognitive going on? It's getting harder to do that. You don't end up in rehabilitation clinics well, staying in the hospital isn't really the best place. Is this bill exactly a solution to this problem? If you come to a rehab facility in a nursing home, a patient should be gone within three weeks. Then the funding will stop. Is this bill gonna solve that? There are now patients who have to sign before they rehab that they will be gone within three weeks; if they don't sign up, they won't be admitted. What are we talking about? Good bridging care is essential. That is caring for people who need care, but waiting for a place in a nursing home, for example, and should be able to stay at home at that time. Someone can't go straight to the place he would like and then that time must be covered with care at home or elsewhere. That's what this bill is about, among other things. At a time like this, you don't want to have the discussion under which law someone falls, because that care has to be provided. The Long-Term Care Act is a very logical one, especially if there is already an indication of care. But the transition period is very fragile. We would be very pleased if there were one party or one designated to take the lead and ensure that care is provided and that there is no twitching during that bridging period. How exactly is that going? People who have an indication of the Long-Term Care Act and have to live in an institution and will receive their care there often have different care through another law or another provider. People have to stay home longer. The Secretary of State states that the proposed amendment does not explicitly address the situation in which the municipality and the health insurance company are already prepared to continue and perhaps even weigh up the current form of care. Then someone has a Wlz-indication, but that cannot go into immediately, because at that time there are also Wmo-care and community care. Let me get this straight. I'm not in favour of stringing. I would therefore like to know from the Secretary of State exactly what that is about. Does the five-day payment period apply from the care that someone already has before passing to the Long-Term Care Act, a term that is agreed between the parties really as the limit? What happens if the municipality and the health insurance company are not prepared to pay for those five days? I'm confused about that. Furthermore, the bridge care is now regulated for a period of thirteen weeks. I have seen an amendment by the CDA stating that this period should also be extended by 13 weeks. I think that's wise. We want someone to get to the most appropriate place as soon as possible. In addition, self-direction is also important. If someone wanted to wait perhaps 14 or 15 weeks and would like to overcome that, that would be a new problem if we passed this law, which talks about thirteen weeks. That is why I asked in my introduction whether we are solving something or creating a new problem. We will support Mrs Keijzer's amendment. The Secretary of State is going to lay down a number of requirements and conditions per ministerial arrangement. One requirement is that a Wlz application will not apply to bridging care and that care in the home situation should be effective. I'm getting a little confused about that, too. What exactly does the Secretary of State mean by that? Is the Secretary of State thinking of other conditions? Care in the home situation must be effective. Does that mean that care shouldn't be more expensive than in a nursing home? If care at home would be more expensive than care in a nursing home, and someone wants to stay at home, would someone be forced to go to a nursing home? Don't you think we're doing the wrong thing? If anyone chooses to stay home, shouldn't they? We are concerned about the continuity of this legislation. The intention is good. There has to be a bridging arrangement, but aren't we making it much more complicated? Can the Secretary of State guarantee us that this is a solution rather than a new problem? The bill lays down that care offices must comply with their duty of care within "reasonable time" and "reasonable distance." I'm getting a little freaked out about that. We have also asked for this in the written preparation of this bill. What exactly does a "reasonable term" and a "reasonable distance" mean? Will different healthcare agencies deal with that differently? Can you, as health insurance companies do with their budget policy for example, suddenly have to travel 130 kilometres for care? Is that another "reasonable distance"? Can the Secretary of State say that there can be a standard? Can he promise to give more direction to this? If not, we shall table a motion on this matter. In this context, I also have a question about the purchase of small-scale care. We are getting signals that small-scale residential facilities that are not pgb-financed, but simply standalone through care in kind................................................................................................................................................................................... The health insurance companies and health care agencies say: merge, because that is easier for us in the contracting. That's not supposed to happen, is it? If you take a standard for the "reasonable term" and the "reasonable distance," do you not get the urge to do so? If care is not contracted nearby and the health insurance company thinks that you should go to a next village or city, while there is also care nearby, shouldn't it be the other way around? Shouldn't care agencies just take the nearest option? Wouldn't that be much better to actually improve the position of small-scale healthcare institutions? Which brings me to another part of this bill. The admission requirements for the Care Institution Admission Act expire for pgb-funded accommodation centres. The Health Institution Admission Act lays down organizational requirements: you must have a supervisory board, a works council, a board of directors and all of them. The smaller you are and the more flexible you work, the harder it is to arrange it. So I think it's a good thing that we're looking at how we can change where the WTZi is struggling for small-scale care. However, an exception is now being made for accommodation centres, when you would say: do so for other small-scale care institutions that run against these borders. This is an exception for the pgb-funded accommodation centres. I don't think it makes sense for them to have an exception. This should apply to other health care institutions. Imagine that you want to go to a sleepover shelter and actually want to pay for it through care in kind, but that is precisely the one kind of shelter that does this small-scale, which only offers through personalized budget. There will then be a situation in which you are forced to apply for a personal budget. It'll be a personalized budget. In order to prevent this from becoming the measure for people, I would say that the admission requirements of the WTZi also fall for other small-scale forms, which have been financed through care in kind. Or turn it around: if you provide pgb-funded care, make sure that you deliver that care through care in kind, so that people can really choose how to access such a small-scale provision. Is the Secretary of State prepared to look into that? That seems logical to me. I'm gonna go into two other cases. The house adjustments are also described in this bill. What is the state of play with regard to home adjustments, aids and household care in the context of the transition from the Wmo to the Long-Term Care Act? This means that someone first falls under the Wmo and then goes to the Long-Term Care Act. The Secretary of State says that he does not want to take the risk that people who have tools and home adjustments should exchange them because they are in another regime. I'm glad to hear that, but how do we proceed with this? What bottlenecks have been identified? When is the Secretary of State thinking of a permanent regime? After all, we are still in a transitional regime. How do the financial consequences become clear, including for municipalities? I think it is good to clarify this in the very short term. Perhaps that can already be done in this debate. Finally, I would like to comment on the right of trekking for a personal budget. In the case of long-term care, we have arranged that the care agreements of budget holder and healthcare provider must have approval before the SVB can pay out. It's about all kinds of things. The SVB will then pay the tax; well, we all know the drawing right. This is now also going to apply to the pgbs in the Youth Act. Can the Secretary of State let me know if that's gonna work right now? Or are we creating a new problem? Is it wise to do this right now?
ParlaMint-NL_2016-03-24-tweedekamer-4.u3	I call Mr Van Weyenberg, who is replacing Mrs Bergkamp today. It's not a maiden speech.
ParlaMint-NL_2016-03-24-tweedekamer-4.u4	Mr. Chairman. That is true, but I am glad that I have already released so much inspiration from Mrs Leijten. I am indeed replacing my colleague Vera Bergkamp. This also means that, unfortunately, due to other commitments, I cannot follow the whole debate. I ask you to understand that. Normally it is extremely rude not to be in the Chamber at the time of the answer; therefore, I would like to say this explicitly. I would like to explain the amendment tabled by Mrs Bergkamp and I would like to ask a few questions about youth aid. It is a good thing that the Wlz bridge care is provided, but I am asking the Secretary of State what the current situation is. How long has it been possible to deal with bridging care? Mrs Leijten has actually asked the same question. The present amendment states that after the start of the bridging care the care office must have settled in an institution after thirteen weeks of care within a reasonable distance from where the client wants to live. That raises a question for the D66 Group, because what is "reasonable" and who determines that? Is that determined by the care office, or is the client involved? The purpose of the Secretary of State is to put the client at the centre and to assume his wishes. It would therefore be reasonable for clients to have a say in this, for this also depends, of course, on the travelling time that is feasible for a family. I would like to receive a response from the Secretary of State. The Secretary of State wants the deadline laid down in this law to be 13 weeks, otherwise the duty of care of the care office will be weakened. Of course, that purpose of declaring that duty of care is beautiful. However, it is not intended to restrict the rights of a client. But couldn't that be an unintentional side effect? When the thirteen weeks are over, it must be ensured that the client goes to an institution, even if that is not the institution of his preference, while perhaps a place will be available there a week or two weeks later. That is why we have tabled an amendment: the duty of care of the care office remains unchanged, but it is possible to extend that period of thirteen weeks by mutual agreement. That period is no longer a hard limit. I saw that Mrs Keijzer also tabled an amendment. This is about the same problem, but it contains a slightly different solution. I am curious about the reaction of the Secretary of State to both amendments. In my view, the starting point for both amendments is the same: is this thirteen-week period not too painful in practice and do we not miss the opportunity to give people a place in their preferred institution a little later?
ParlaMint-NL_2016-03-24-tweedekamer-4.u5	You referred to the amendment to item No. 12. That amendment has now been amended. It is now the amendment to item No. 14.
ParlaMint-NL_2016-03-24-tweedekamer-4.u6	That's right, Mr. Chairman. Thank you. So I would like to receive a response from the Secretary of State, precisely because of the patient's interest, that we want to remain at the heart of the law. I have two more points on youth aid.
ParlaMint-NL_2016-03-24-tweedekamer-4.u7	It's a little hard to get a question from a material expert if you need to replace someone.
ParlaMint-NL_2016-03-24-tweedekamer-4.u8	Still, you're gonna do it.
ParlaMint-NL_2016-03-24-tweedekamer-4.u9	That's why I'm trying to put it quietly. I do not expect an answer from Mr Van Weyenberg, although I think he is doing so reasonably well, that I actually expect an answer. There is a transitional period of 13 weeks, but people must go to an institution as soon as possible, preferably to an institution of their preference. It's really a transitional period. The CDA is tabling an amendment proposing to extend that time limit once, but that is an end to it. Mrs Bergkamp's amendment seems to create a situation in which it can go on indefinitely. This may be an incentive for the person concerned to think: I will only be in this temporary situation for a while, because it may be possible for that place in my preferred institution to be there. When does it end for the D66 Group? Isn't it better to set a deadline, if only to take away that incentive effect?
ParlaMint-NL_2016-03-24-tweedekamer-4.u10	I think there are two differences between Mrs Keijzer's amendment and D66's amendment. A difference is that there is no limit of one additional period of thirteen weeks. That's right. But there is something else in it. With Mrs Keijzer's amendment, that 13 weeks is an extra hard right, while with the D66 amendment it must be in consultation with the healthcare office. There is already a limitation in this: one cannot ask for an infinite delay by not participating in a placement. It's looking for a balance. I understand Mr Potters' concern. I believe, however, that the risk of limiting it to 13 weeks is that the law would stand in the way of a solution that everyone is enthusiastic about in the fourteenth week. I'd like to avoid that. That is the reason why we have chosen to do so.
ParlaMint-NL_2016-03-24-tweedekamer-4.u11	I understand the D66 Group's wish. That makes sense. In fact, Mr Van Weyenberg says that after weeks of 14 or 15, the healthcare office can say: it is important now that this temporary situation is lifted and that you do indeed go to that and that institution, although that is not your preferred institution. In the end, that is what he says with this amendment.
