ParlaMint-BE_2017-02-14-54-commissie-ic590x.u1	Question No 15425 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u2	Mr President, Minister, European Commissioner for Agriculture Phil Hogan has identified three priorities for the new Common Agricultural Policy: a sustainable production model, more resilience in agricultural markets and easier business follow-up. He wanted to launch a first public inquiry at the beginning of next year, because my question dates from last year. The main thrust of this policy is to define an agricultural sector that is more efficient in dealing with its raw materials and becomes climate-smarter. To this end, more investment will have to be made in innovation and new technologies, for which farmers would be compensated. In my opinion, investment in new technologies is a good thing and crucial for farmers to continue to play their part in the economic landscape. The budget would therefore be available to compensate farmers for this. As you know, we are in favour of a reduction in the general agricultural budget. We believe that there are more efficient ways of obtaining the same output, such as insurance. However, if the equal agricultural budget is retained, a budget shift towards technological investment could be useful. In addition, according to that note, more instruments will be available at the level of the individual farmer to cope with a market dip. The chain must react more resiliently, as it is said, and thus become stronger. Income aid continues to play a central role in maintaining the farmer's position in the chain. In addition, the Commissioner wants to cut the administrative burden in agricultural legislation. I cannot get rid of the impression that these are many balloons with little air. The Commissioner is very vague in his proposals, which makes me wonder how this will be implemented. That is why, Minister, I would like to ask you whether you have a view of the way and the time at which that survey will take place and who will be included in the sample. In what way will the Commissioner free up the budget to meet the cost of energy-saving investments? In what way does the Commissioner intend to make the chain more resilient and strengthen the position of the farmer, other than the measures that have been taken before? What timing was set for the development of this new policy?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u3	Indeed, the President of the Commission, Mr Juncker, stated on 6 December 2016 that the Commission would communicate before the end of 2017 on the future of the CAP post-2020 with the aim of simplifying the rules. As part of its consultation on the future of the CAP, the Commission launched a public questionnaire on 2 February 2017. Unfortunately, this gives very few indications of the direction the European Commission intends to take with the next reform. I believe that the CAP should be post-2020 simpler, more common and more stable. In parallel, it will be necessary to maintain the two pillars of the CAP. As a reminder, some farmers are still the hostages today of the political consequences of the conflict between the European Union and Russia. It is therefore important that the agricultural budget be kept at a reasonable level. Moreover, the CAP represents between 1% and 2% of the EU's total public expenditure. Let us not forget that this budget makes it possible for European citizens to have access to quality food in abundance. I also note that the markets are becoming more volatile. This factor should also be better taken into account in the future in order to ensure a fair income for farmers. In this context, it is also necessary to consider the introduction of stabilisation instruments. As far as the agricultural budget is concerned, a large number of actors are expecting a global budget which is declining. That is why this aid should be used as well as possible. The European Commission calls for increased use of financial instruments, in particular the resources of the European Investment Bank, but also the state guarantees, which is a good thing. In particular, as regards the strengthening of the farmer's place in the food chain, Member States agreed at the December European Agriculture Council, under the impetus of the Slovak Presidency, to ask the Commission to draw up an impact study on the introduction of a new legal framework to combat unfair B2B trade practices. The Commission has not yet acted on it at this stage. On the Belgian side, we insist that concrete measures, proposed by Mr Cees Veerman, be taken in parallel with other initiatives, in particular the milk package. I would also like to emphasise the role of the presidencies in the follow-up to the recommendations. The main objective of the Maltese Presidency seems to be the problem of access to water. This issue is very sensitive in this Member State. The next Presidency to be held in the second half of the year seems to have the aim of thinking in depth about the CAP post-2020. Finally, I would like to point out that the March 2017 Agriculture Council will have an exchange of views on the future of the CAP, the market situation and work on improving the functioning of the food chain.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u4	Thank you, Minister, for your reply. It seems that we still have a long way to go before we obtain the concrete and structural measures that we have been asking for for a long time. I do not hear you say much about administrative simplification for which agriculture is a very demanding party. I am somewhat pleased that discussions are being held and that an impact study will be carried out on a new legal framework around this unfair trade. You know that we are very much in favour of something finally happening. If it's not European, let's do it ourselves. So I keep repeating that. The agricultural budgets must be used efficiently. I do not hear much about the insurance system that proves its usefulness in America. We also need to think about how farmers can insure themselves against the risks associated with this profession. Anyway, I'll take your answer with me. I hope that at the end of 2017 we will still have far more, better and more concrete proposals that can eventually be implemented.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u5	Minister, this is a question that I tabled in December in view of some elements in the press. The European Commission will decide in a few weeks about the battle that has lasted for more than seventeen years between the producers of Ardenne's sausage and two agri-food giants, Ter Beke and Guina. Ter Beke and Guina believe that the name "saucisson d'Ardenne" is generic and not a geographical reference, based on other products such as the Brussels waffles or those of Liège which I believe should also be geographical. The Region referred to a food guarantee. Smoking conditions are not the same in all regions: Ardenne's sausage has local characteristics. A protected geographical indication therefore seems necessary for our Ardenne sausages. To claim the name "saucisson d'Ardenne", it is necessary that the sausage be produced in Ardenne. It seems to me to be a matter of common sense. In any case, that is not what the agri-food sector wants to make sense of. Minister, it is important to protect artisans, small independents and SMEs in the face of agri-food giants and to protect know-how in the face of current junk food. Have you been aware of this case? What steps have you taken to support our regional producers?
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u6	Thank you very much, Mrs. Lalieux, for your very interesting question about the battle of Ardenne's sausage.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u7	Member of Parliament, you know other battles of the Ardennes. Here is a different one, that in favor of the sausage and its older brother, the ham of Ardenne. Thank you, in any case, for putting our products in the spotlight on this Tuesday morning of the parliamentary committee.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u8	And as a Brusselser, it's also great!
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u9	I was well aware of this conflict. I am trying to keep a close eye on everything that concerns agri-food in general, including specific and important issues such as this, which, as you have rightly pointed out, have been opposing the producers of Ardenne's sausage for more than seventeen years now to two companies in the agri-food sector. The fight led by the producers, especially the smallest of them, the Ardennes butchers and their representative structures, as well as by the company Marcassou, is coming to an end (since the moment of your question) because the European Commission has indicated that it will soon grant the request for a protected geographical indication, with the result that only the sausage produced in Ardennes will be able to bear this name in the future, which I am delighted to note. The protected geographical indication (PGI) "saucisson d'Ardenne" will therefore concern sausages produced in part of the provinces of Luxembourg, Namur and Liège and, consequently, productions, enterprises located outside the area I have just described will have to adapt to the European decision. Thus, and in addition, the PGI will offer both a guarantee of production and a guarantee at the food level, without counting on the economic impact for the local enterprises concerned, for the independents concerned and for the trade of these different products. There are also employment implications, as you can imagine. As you know, the geographical indication protects a local product, a product that has a very clearly identified link to a territorial area. This protection concerns the whole of the European Union. Today we are in a jurisdiction that has been largely regionalized. I would therefore like to take the opportunity of your question to insist that the Regions, in the context of the free trade agreements, should in future be able to ensure that applications for production or applications for the introduction of these products covered by protected geographical indications are made so that they can be included in these trade negotiations. As you know, this was not the case with regard, for example, to CETA, to make a link today with current events, since there was no demand, in particular, for regional Walloon products within the framework of IGPs in this context, unlike a whole series of other IGPs at European level covering other productions from other European countries.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u10	Minister, my question was tabled on December 16. For once, it is good news that comes from Europe and very good news for the Ardenne sausage that will finally be protected, after seventeen years of fighting. It seems a bit long to protect artisanal know-how. Of course, I know that one part is regionalised, but this conflict has been going on for a long time. So, I'm totally happy. On the other hand, if you want to open the debate for CETA, but I am not going to open it, Mr President, indeed, there have been many Walloon demands, and if CETA was not accepted by Wallonia, this is in particular because there was no protection for small craftsmen and artisanal productions. This must, of course, be part of our demands for free trade and therefore for the demands of the federal state, because we know that it is he who negotiates these free trade issues.
ParlaMint-BE_2017-02-14-54-commissie-ic590x.u11	Mr. President, Minister, the tax shift is one of your government's leading points. Under cover of too high social charges and obstacles to competitiveness, the latter has decided to reduce the burden, putting at risk the financing of social security but also the purchasing power of our citizens. The objectives were clear: to make our economy more competitive, particularly in terms of investment, promoting commitments and relieving SMEs. However, the Neutral Union for Self-Employed Persons (NIF) indicates that no additional jobs were created through the tax shift. The real wages of Belgians have declined over the last two years. Taxes have increased. Tax revenues have decreased. And the public authorities have seen their resources reduced. In short, citizens have less services and less quality. The tax shift is slowly moving towards a huge failure. Minister, the SNI, a union of self-employed people (assumed to be the first to benefit from your policy), condemns the effects of the shift tax on employment. This would be a white operation. Given all the budgetary efforts and collateral damage, how do you feel about the position of the NIS? How do you look today at the effects of the tax shift? The real salary, according to the Hans-Böckler-Stiftung research institute, has been declining for two years. We are barely doing better than Portugal and Greece. How do you explain that your measures have contributed more to reducing wages than to increasing them? I am aware that the problem is wide-ranging, but I find it appropriate to launch the debate.
