ParlaMint-NO_2011-12-02.ana.ud1812e24	The representative Lise Christoffersen, who has been licensed, has again taken the seat.
ParlaMint-NO_2011-12-02.ana.ud1812e41	At the request of the Judicial Committee, the President will propose that the debate be limited to 2 hours and 5 minutes, and that the speaking time be allocated to the groups as follows: the Working Party 45 minutes, the Advance Party 30 minutes, the Right 20 minutes, the Socialist Left Party 10 minutes, the Central Party 10 minutes, the Christian People's Party 5 minutes and the Left 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies from the main speakers of each batch and up to five lines with replies from the member of the government within the allocated speaking time. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2011-12-02.ana.ud1812e50	The Committee feels that there is a repetition of each budgetary procedure. But despite that, I'll be allowed to praise the committee. Although I have not been involved in the whole process this fall, I have at least recorded that the committee has been just as effective and has led a good and proper progress in getting to a position. I don't want to go into the priorities and comments of the other parties, as the committee's chairman, but I would nevertheless say that there is some kind of progress towards consensus on the challenges you see in the field. But then, of course, someone is a little more impatient than others, someone thinks you should spend some more resources, and there's the Progress Party. We register again that we have had a deboarding within the police. In fact, 18 police districts have a real downfall. I do not think the government has taken that into account in its budgets, for 2012 is likely to be a new year of focus and debate on reducing visibility, presence and crime prevention. It's very unfortunate from the situation we're actually in, where you get the insight that safety and preparedness in Norway are not of the quality that it should have been. This in turn leads to that we do not create security, but perhaps contribute to establishing insecurity. Is there something we need now, after this year, it's to the best of our ability to create an image of security. Looking forward to the goals we've set across the board, the police against 2020, where we all agree that we should have a police coverage of two per 1,000, it's almost sad to see things going in the wrong direction. We were on our way up, we were at 1.8 per 1,000, now we're at less than 1.6 per 1,000. There's a lot of factors that play in there, I'm aware of that. In particular, there's an area that we haven't covered well enough, and that's population growth. Now it is that the Statistical Yearbook actually no longer sees it as a population increase, but that we might experience a population explosion up to 2025. Then I believe that even if a framework has been established to achieve the target of two per 1,000, we can't do that. Not even by raising the police high school admission to 720, we can do it. I'm going to come back to that a little bit, because it's not just about getting more hands at work in the police, it's about a lot of other things, too. That is why the Progress Party is once again promoting a proposal, proposal No. 4, that we should probably say in the run-up to 2020 that we guarantee in advance a job for everyone who leaves the Police College and pass the necessary tests and exams. Then I'll come back to the second. The progress point is adding 470 million. kr extra in its alternative budget. Large parts of this are for investment, 190 million. kr of this is for investment. One of the factors that have caused us to have a downturn in the police force is that large parts of the investment needed by the police must be taken off the same operating budgets. We've experienced that for two or three years in a row. In particular, ICT bets are made. Therefore, by 2020, there should also be a separate investment budget for the police outside the ordinary operating budgets to ensure that we get the necessary recruitment. In addition, we expect a result reform next year. I think it'll be very important. Because I'm also – and I've never hidden it on – sure it's not just about giving more money to the police to hire more people. It's also about structure. I think this year has taught us that the structure of the police is not good enough. With 27 police districts, with 360 officers' offices and county districts, with the Police Directorate, Kripos, Økokrim, PST – I think, with all due respect, that there are many annual works here to pick up from another type of organization, which can free hands that can be made visible, and presence for the population. The same thing happens when we go to the criminal services, where it works hard every day, but unfortunately you have an exploitation that is almost maximum all the time, and where the government actually has a real downturn, when you should have had an upturn, both in terms of training and employment, and in terms of securing those who are employed. I have experienced that now that the settlement queues again are soon at the same level as in 2005, you see some tragedies. People who have been sentenced stand there waiting and are almost in prison in their own home, because you can't get a job, you can't take care of the family. You are waiting to get this letter in the mailbox to get the zone completed. That picture hasn't come out well enough. So once again, we have a huge reward queue, despite the fact that this government has actually given a penalty discount and opened up a larger proportion of free settlement. The Progress Party significantly increases the appropriations in the field of criminal justice. We also see that the courts are struggling right away. For several years, the courts have done a considerable job to reduce payments, to stick to deadlines, and then we register that the government actually cuts the appropriations to the courts. If I'm allowed to say that -- this seems to be an evil circle that doesn't look like the government's getting out of it. The situation within this field is actually at the exact same level today as it was six years ago – unfortunately. That is why, perhaps now that we have the result reform, and when we are going to deal with the revised budget next year, we should go further into the issues together to make sure that we get this sector up once and for all to go, to form an image of security. Finally, I would like to promote the proposals on which the Progress Party is alone, and the proposals on which we agree with others.
ParlaMint-NO_2011-12-02.ana.ud1812e76	The representative Per Sandberg then addressed the proposals he referred to. It's going to be line change.
ParlaMint-NO_2011-12-02.ana.ud1812e81	We got first and foremost focused on what the Progress Party wanted to spend more money on. Some would use more resources, said the representative Sandberg. What Sandberg said little about, but which is definitely one side of this case, is that they do big, dramatic cuts in child protection measures for lone minors and asylum seekers. 225 million. IMDI and UNE shall receive less. That's 100 million. kr less for training in Norwegian and social sciences, and there is 100 million. kr less for investment grants in municipalities. I could have done this list very long. This does not contribute to criminal prevention, nor does it contribute to speeding up voluntary or forced deployment. Can Sandberg explain this paradox?
ParlaMint-NO_2011-12-02.ana.ud1812e90	I am surprised that the representative points to all these areas of asylum and refugee policy, including: as regards young asylum seekers, and directly links it to the fight against crime. It surprises me that it comes from the Workers' Party. But the answer from the Progress Party is quite simple. With our policies, we see that the number of people will be reduced and that the number of institutions will be reduced. That is why we are also granting less money.
ParlaMint-NO_2011-12-02.ana.ud1812e95	The representative Sandberg is quoted in the Evening Post on 22 November. I quote: ‘The police have been budget winners many times in the last decades.’ The representative, Sandberg, is a good politician. He knows what he's saying, and I expect him to be behind the quote. Then my question, in the light of this quote, will be: How does his persistent criticism against the government that it does not bet on the police – not least in his last post, today’s posts – lie in hand?
ParlaMint-NO_2011-12-02.ana.ud1812e105	It is quite right that the police have been budget winnings in dollars and cents, but this government has also imposed so many tasks on the police, which have eaten up these resources at such a rate that we now see a reduction in the operating budgets. Thus, at the same time as increasing appropriations, more than 100 new tasks have been assigned to the police – and this has been forgotten in all contexts. Obviously, it does something about the situation in the police. So now this government has used the large budget of 1.4 billion. kr, which you have put on several times. At the same time, I must be allowed to say that my article was not just about increased resources. I also concluded by saying that next year we are going to have the result reform. I hope that the Storting then dares to enter into the debate on structural changes. I think it's a lot of years to pick up within the sector in that area, but in the short term it's about employing enough people. That is why we must have a guarantee for the police students.
ParlaMint-NO_2011-12-02.ana.ud1812e112	The party of progress and we share the perception that there is a demand for increased numbers of foreign prisoners in Norwegian prisons. That's why we have a lot of things to do. entered into the settlement transfer agreements and speeded up deployment of foreign criminals. The entire committee agrees that the government will try out a separate prison unit for foreign criminals. The Progress Party's comments state that one must have a lower standard for it to seem terrifying. I would like to ask: how bad conditions do you think it should be in order to be sufficiently deterrent to foreigners, and how my Advance Party agrees with the international commitments Norway has in spite of everything, not to discriminate against them for example. ethnic background, etc.? So in the end, with the police students, is it that they realize that the guarantee applies to the provision of work throughout the country, that students must be able to move anywhere, and that they must also accept the Vicariat and temporary positions?
ParlaMint-NO_2011-12-02.ana.ud1812e121	Until then, of course, this applies to the whole country. I don't see any more use of vicariates and redemption. Here we need to talk about setting up permanent posts. That's what the problem is now, that you go to the vicaria and you're not sure if you're safe to work in the police in the future. Therefore, unfortunately, many beautiful young people who leave the Police College today also choose a different career. So it's a little neat, I think, when the Center Party is now challenging the settlement transfer. Here, the government boasts of transferring — sending — prisoners to settlement in the country of origin, for example. to Romania. The representative Klinge and I have been to Romania and looked at the settlement conditions there. They're accepted. What is the standard of the settlement there is far below the settlement conditions we have in Norway. When the Progress Party points out that we can have our own prisons for foreign criminals in Norway, I think we have a long way to go before we come to a situation where the standard is similar to that of the country of origin.
ParlaMint-NO_2011-12-02.ana.ud1812e128	So the word change is over.
