ParlaMint-HR_2018-04-25-0.u78151	The next will be an independent representative of the respected Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u78152	Dear colleagues, dear Vice President of the Parliament. I would refer here to recent developments related to Croatian foreign policy or to statements by Serbian Minister Vulin, or the statements and behaviour of Serbian President Vujčić. It is clear to all of us that the perfect PR campaign by our prime minister eventually escalated that the Croatian delegation from Belgrade had simply escaped even though it was not known whether Mr. Seselj had even trampled the flag. But this campaign goes so far that now all those things that were being ignored are suddenly coming out and now suddenly we see them. Vulin spoke in our homeland of civil war in the Republic of Croatia, demeaning our country, I'll say he spit on the Homeland War, and no one saw it, no one noticed either the president, nor the prime minister, nor any of the ministers noticed it. However, it is now as if Prime Minister Plenkovic needs one move to the right, and suddenly it is said that we have the unauthorized behaviour of the Serbian minister who has always been an illicit behaviour, suddenly neglecting that walking attitude towards Serbia where it is extremely, extremely obvious that the only mission by Andrej Plenkovic is in this direction to get Serbia into the EU at all costs. And Croatia will do absolutely anything to get her in without finding out where the remains of Croatian defenders are, without anyone being told about all those crimes that were committed in the Homeland War without being paid for and the kuna of war damages. And then we need Mr. Vulin the Serbian Defence Minister to come to our homeland and talk about his warlord, about his commander and how he listens to him to open his eyes to us. I think it is only about the PR that here as far as the current furniture is concerned, the current government has no interest in protecting our country and its foreign policy finally being consistent with what the Croatian people will. When we talk about Serbia, there is not a single Big TV daily that we don't have any news from Serbia, it's very interesting. Both state television and private television daily we have news from Serbia, and by the way, we have no idea what's going on in our friendly neighbouring Hungary. We had an interesting political situation in neighbouring friendly Italy, no one knows how it got rid of it, but we know when Seselj sneezes, when he sneezes. And we forget and ignore constantly that this same Serbian president was a member, a member of a radical party today rehabilitating Chetism and calling for big Serbia in Croatia and ignoring it, without any excuse as if nothing was happening. I believe that Croatia's policy here should be really resolute, not just used for daily policy purposes. I think that Croatian politics should say a lot in relation to Serbia, you have to apologize, you have to tell us where the remains of Croatian defenders and civilians are and finally you have to pay us war damages. And I'm telling Mr. Vulin from this place, many of his contemporaries, unfortunately, left the Republic of Croatia on tractors, don't forget that.
ParlaMint-HR_2018-04-25-0.u78153	Let's move on, now it's an independent representative, respected Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u78154	You've already heard we're marking Europe's day. In 1950, Robert Shuman went out with a so-called The Shuman Declaration in which he announced the Coal and Steel Community. And today, along with the anthem, we also have a flag on this day, which is the official EU Day, that is, Europe. However, this same Europe has failed us many times. I will remember here a fatal event, perhaps the biggest tragedy of the Croatian people that occurred just in May. And that drama, that is, the first act of that drama, began to take place on this very day. I'll talk about forbidden history, talk about whispering for 40 years, talk about Bleiburg. I will talk about an event that was to fall into collective oblivion, about an event that was not to be talked about, about a Bleiburg field that did not exist on Yugoslavia's geographical map or socialist Croatia. This month is a month of recollection of 100,000 victims, Croats above all who died, who were slaughtered, killed in the Beiburg field or later on the Crossroad. The path of death that the Croats called the Crossroad because the Croats lived there is the most severe torment. It was the bloodiest revenge that was remembered in World War II. And this same Europe whose day we are marking just then failed the Croatian people. There, as during the war in BiH, Croatian soldiers turned themselves in to English officers, and they, as during the war in BiH, handed over to criminals in the Bleiburg field of Croatia, butchers who had no pythetics for weeks afterwards, killed and slaughtered, filled Hude pits, filled Jazovka and later banned from talking about it. I must stress that these are the same English officers, Europeans as we are always seen as well as very well aware of what conventions are and what can be done and what cannot be done. But here, the Croats are a tough people. The resilient people of the dog survived and Bleiburg. So many years later, they heard the truth and told the truth. And today, from this highest home of Croatian people, you can talk about Bleiburg no matter how much it bothers someone because Bleiburg is a sacred place for the Croatian people. And I call upon all Croats and Croats to remember these victims, young men and girls who have been killed by the removal of criminals and who we remember these days.
ParlaMint-HR_2018-04-25-0.u78155	Next on behalf of the Independents, the MP will speak to the respected representative of Hrvoje Zekanovic. Here you go.
ParlaMint-HR_2018-04-25-0.u78156	Dear colleagues, dear Vice President of the Parliament, I am not independent. I'm a member of the Oak Party, but I'm not in any club, so that's the difference, and I'd like it to be emphasized. So, I'm a member of the Oak Party. Apology accepted. [[I'm sorry about my lapus. Here, I'm sorry.]] Dear colleagues from the SDP, the Living Wall, the Most, the HDZ. As you probably know, democracy is taking place in our homeland in the squares of all Croatian cities in all municipalities. Signs are being collected for two referendums. One referendum is “The People decide”. A referendum for a fairer electoral system. The second referendum is "For Cancelling the Istanbul Convention", which you welcomed with applause in this home. So it's about two separate referendums where people, ordinary people who don't belong to the political elites that you belong to, took an annual vacation, gave it to their country to make this country better, to make it fairer. And at this moment while you are sitting here in the Croatian Parliament, thousands and thousands of volunteers in Croatian squares, on the streets of Croatian cities stand and collect signatures for these two initiatives. "The Truth on Istanbul" and "The People Decisions". They're collecting signatures to make our country a better place to be fairer to us. Unfortunately, I have not heard from any of you from any of you that any of you have referred to the harsh obstruction of the democratic right of your fellow citizens. Your colleagues from the SDP, your colleague Vojko Obersnel, the mayor of Rijeka, obstructs democracy in the worst possible way. He decided to ban the referendum's "Truth on Istanbul", or an initiative to cancel the Istanbul Convention to collect signatures in the area of the city of Rijeka, so we understand each other. Another initiative made the same thing impossible for a few days, so after he thought about it, he decided that he might allow it. Unfortunately, your SDP colleague isn't the only one who made it impossible. Your colleague from Graz near Makarska did the same thing. Mr. Mayor of Senj has decided that he will only allow one day to collect signatures. I have to point out another very big problem here, which is that many of the mayors, the mayors of the municipalities, have taken the right to charge for the use of public city areas, and thus also make it impossible for the democratic will of the citizens. And I wonder if you would be as quiet if it were an initiative that suits you? Unfortunately, I have not heard from my colleagues in HDZ that they have stood up, that they have raised their voice against the will of Private Obersnel and similar to him. And it is about the harshest violation of democracy, and not even you, Vice President of the Parliament, who has one function, which is extremely responsible, you were expected to say something and your colleague Jandrokovic, to oppose the prevention of democracy in our country. Not only that, but people in front of citizens' initiatives gave them submissions to the State Election Commission, the Ministry of Administration, the Ministry of Interior, the Constitutional Court, where they reported these events. We've got silence, no one's saying anything. Today, correctly, at this very moment, the DIP was manifested, that exactly the Ministry of Administration, our Minister Kustević has been in charge of solving this problem, and he has not been pleading on this issue for 8 days, i.e. ignoring the inability to collect signatures for these referendum initiatives. However, however, people will continue to sign on and on this occasion, I urge everyone, that these 3 days, as far as we have, take advantage of the opportunity, to take advantage of the opportunity, to sign it, both for one and another initiative, to have the best, the fairer Croatia, the fairer election system, but to cancel this controversial document, which you have welcomed with the dance here. And this very community that we have today in the stands of Croatian streets, in the squares of Croatian cities, I am sure that it will win success and prove to all political elites that the Croatian people are breathing.
ParlaMint-HR_2018-04-25-0.u78157	Thank you very much.
ParlaMint-HR_2018-04-25-0.u78158	Dear MPs, respected MPs, continue our work and before we move to the point of the Amendments and Supplements Act in primary and secondary schools, we have a free debate. So far, six representatives and six clubs have reported themselves. Comrade Pernar, reported on behalf of the Living Wall and SNAGA Goran Aleksic, so you can't have two. Then we'll start with a respected colleague, Hrvoje Zekanovic, an independent representative.
ParlaMint-HR_2018-04-25-0.u78159	Dear President, dear colleagues. Last time I warned your deputy, I'm not independent, I'm a member of the Oak Party, a movement for a successful Croatia, but I don't have a club right now, so I'm performing this way. So that's it, in the future if you can keep an eye on it.
ParlaMint-HR_2018-04-25-0.u78160	I can't. You speak here as an independent agent.
ParlaMint-HR_2018-04-25-0.u78161	But I'm not independent, I'm a party member. Then I couldn't actually talk at all, could I?
ParlaMint-HR_2018-04-25-0.u78162	If you don't want to talk, you've got a chance to talk, so please don't teach me what's right yet, which isn't.
ParlaMint-HR_2018-04-25-0.u78163	So, the Honorable President of the Croatian Parliament, dear colleagues. I'd talk here about hate speech. I am glad that my colleague Stazic is in the Assembly right now because I am about to refer to some of his recent statements, so I will also quote what the esteemed colleague Stazic recently wrote on his Facebook account. Did the Croatian defenders have the advantage of going to Ireland for that? Very nice, very funny, in late nights. My colleague Stazic wrote a statement that deeply offended all Croatian defenders, their family members, my colleague Stazic, and I will dare tell all Croatian citizens, especially all those patriots, obviously in which you do not put yourself. But that wasn't enough. After a Facebook shootout, he continued his hate speech and said or wrote, it seems that in May 1945, war winners did not do the job properly. There wouldn't be any comments like this, and it was a Facebook shootout. If it was someone, I'd say conditionally, the representative from that other part of the political spectrum, I'm sure my colleagues, Mrak-Taritash, would have reacted very much. But no one from the SDP, except for some small comment also on the social network, Mr. Bauk, who was not so explicit, was fenced by this hate speech, such a clear speech of Mr. Stazic's hatred. And it's unacceptable. I'm wondering if the DORH is specifically taking care of this and whether it's going to happen by chance as it was going to be for hate speech, I'll say, on the other hand. It is a terrible fact that nearly 500-600 of our fellow citizens have squeezed that character, lagging these statements to Mr. Stazic. But he still has a chance. She has the opportunity to justify this to her own, continue to claim and regret that the victorious army has not killed and slaughtered absolutely everything she encountered in Bleiburg and the Crossroad and has the chance, here perhaps for the first time to apologize. To apologize to all Croatian citizens, all those victims who were innocently killed there, apologize to all Croatian defenders for these two statements that are extremely unacceptable. Dear colleagues from the SDP, from GLAS, from the HNS, you are extremely loud when hate speech on the one hand should be condemned. Jump on your back legs, go out on the street, write petitions, demonstrate, and here in the benches together with you now sits the man who is the elected Croatian representative, who has done something that is in line with all possible laws in the Republic of Croatia, with the Constitutional Republic, and I will say with common sense. And you keep your mouth shut. And I believe, primarily you from the SDP, because you are one of the strongest parties in the Republic of Croatia, you need to make it very loud and clear on this matter. If not, then we know what you mean or we have the tacit approval of this extremely clear, explicit hate speech unremembered by Croatian representatives. Also, Croatian Parliament Speaker Mr. Jandrokovic, I believe that as president of this higher home, the highest home in Croatia, you should also put this topic in focus, as well as Mr. Pupovac, who is always the protector of those weaker, minorities and against hate speech. But everyone shuts up like a bay, silences an unremembered scandal, and thus approves of it.
ParlaMint-HR_2018-04-25-0.u78164	Comrade Zekanovic, it is not my duty to react to all the nonsense that is being heard. I'm one of you, and I don't have to react to anything that any parliamentary representative says. So I'm asking you not to call me that way and you're still imputing my responsibility, very incorrectly.
ParlaMint-HR_2018-04-25-0.u78165	Dear colleagues and colleagues, good afternoon. Before we continue to work on the scheduled agenda points, we have several applications for a position on behalf of the club of representatives. The first came an independent representative, a respected counterpart, Hrvoje Zekanovic. Here you go. Comrade Zekanovic, here you go.
